,a1,a1_std,a2,a2_std,b,b_std
sympy__sympy-12419,0.039087877,0.75211805,-5.8257666,1.1988845,1.3564755,0.6207591
django__django-13109,0.21145515,1.030907,-6.809667,1.1211866,-6.675329,1.049204
django__django-11133,0.23416978,0.7268429,-4.0634756,0.6301858,-5.103847,0.89237356
django__django-13449,0.06840481,0.9604836,-7.2567105,1.5335205,-1.0007166,0.96914387
pytest-dev__pytest-10051,0.092011094,0.84752595,-5.6718755,1.0837712,-0.073017955,1.1106218
scikit-learn__scikit-learn-14141,0.71959376,0.8104004,-5.0843964,0.49320644,-6.6454287,1.0583173
sympy__sympy-18211,0.21269271,1.0227197,-5.993644,1.2143983,0.85771865,0.7372726
sympy__sympy-21847,0.4459554,0.9710691,-5.4949384,1.0550265,-3.6772056,0.75833726
pydata__xarray-7229,-0.2044303,1.1203817,-4.915174,1.6868019,8.545106,2.7477682
scikit-learn__scikit-learn-13328,0.21057531,0.7654178,-5.024176,0.7582418,-4.389957,0.6729621
django__django-14725,-0.23030393,0.7422979,-6.398723,1.3339504,3.922078,1.6080402
sympy__sympy-21596,-0.11556175,0.96911377,-6.070407,1.7993394,6.817182,3.4097836
django__django-15525,-0.42590198,0.7204932,-4.4252954,1.1541024,-0.5911907,0.547626
sympy__sympy-13974,0.3848815,0.8774641,-5.2412405,0.98692787,0.20063835,0.8630984
django__django-11964,0.9363603,0.7478285,-4.741108,1.2749724,-0.17619605,0.8586496
django__django-15561,0.85939336,0.73946047,-6.89493,1.1786318,-1.0077105,0.7044828
django__django-11885,0.44335452,1.0250773,-6.516765,1.1153555,6.3855915,1.5869762
pytest-dev__pytest-7521,0.33037904,0.7167474,-7.297558,1.294449,-1.1083145,0.7311804
sympy__sympy-16886,0.55344665,0.49503708,-4.1867003,0.8526692,-2.64192,0.46213406
scikit-learn__scikit-learn-12973,0.26819682,0.79978466,-7.4382725,0.8848213,-2.8233967,0.9144215
pytest-dev__pytest-7205,-0.73760366,0.96520466,-6.043827,1.0430523,-4.6301355,0.8495891
django__django-15315,0.5192537,0.91592234,-6.527354,1.4134415,-3.9994051,0.86741406
django__django-13346,-0.1367497,0.941452,-7.2189612,1.4751436,1.8376607,0.88097167
django__django-11951,-0.20472279,0.9465206,-5.595501,0.80232364,-3.4962265,0.77169377
sympy__sympy-18199,-0.20113161,0.87942725,-5.3822203,1.8038638,8.812626,2.6975372
django__django-11551,-0.3860433,0.9572552,-6.1818867,1.060286,-4.3356357,0.7794256
django__django-13807,-0.07857736,0.8594947,-3.3848739,0.70747685,0.34994677,0.6629167
django__django-13417,0.36527514,0.8753708,-6.6858234,0.98929787,-3.8310122,0.7654264
matplotlib__matplotlib-25479,-0.14735278,1.0127306,-5.3905244,1.6599896,7.8905797,2.6654284
django__django-10973,-0.1859835,1.1467583,-7.060742,1.0100368,-3.2728143,0.7003281
django__django-11292,0.37793583,0.7644942,-7.5416455,1.1333632,-2.2790022,0.73743486
django__django-16454,0.97231734,0.52222866,-4.7465563,1.1197402,0.04194086,0.7576084
django__django-11451,0.7292294,0.74079645,-4.814919,0.7517859,-6.653643,1.0314103
django__django-11848,0.08615511,0.8393247,-5.015415,1.2601023,-1.896901,0.6899492
django__django-17029,0.03844616,0.6293549,-2.7066593,0.56189704,-3.8842876,0.649488
scikit-learn__scikit-learn-10908,0.0076670824,0.87287104,-6.8913107,1.3165709,-1.6238352,0.8401997
sphinx-doc__sphinx-8475,0.025565721,0.9857712,-5.314204,0.8561368,-2.2856188,0.689127
astropy__astropy-13398,0.10154334,0.8623085,-5.7261944,1.8870155,8.1356,3.8481174
sympy__sympy-19783,-1.262929,0.71991265,-5.95345,1.1124148,0.7445744,0.70246345
scikit-learn__scikit-learn-25747,1.2660716,0.68823373,-5.161701,1.2227463,2.2237616,0.6440761
sphinx-doc__sphinx-7454,0.58754534,0.90104294,-6.987911,1.4609601,-0.1132307,1.1334497
django__django-13568,0.03268524,0.8765402,-6.9488506,1.3103161,-1.4291492,0.9177487
django__django-13551,0.60643035,0.77715755,-7.1086626,1.6935306,-0.34710154,0.92041606
pylint-dev__pylint-6386,-0.6567682,0.64555514,-4.64906,1.1626375,-0.5538266,0.65635777
pylint-dev__pylint-6528,0.48302463,0.6598901,-6.290898,1.2824898,0.6947201,0.61841345
sphinx-doc__sphinx-9711,-0.2673491,0.84033954,-5.993227,0.752048,-4.071418,1.0570087
astropy__astropy-14096,0.72449046,0.89989823,-7.5448956,1.5192182,-2.1416829,0.8922301
sympy__sympy-22080,-0.32650045,0.9389124,-5.7489214,1.1362741,8.227192,2.230092
sympy__sympy-17318,0.13623483,0.8963384,-3.2766933,0.9114912,-0.7615788,0.75708014
django__django-12741,-0.38766676,0.93155277,-5.552108,1.3528982,-1.4681978,0.7291446
django__django-16485,0.23380901,1.1889157,-6.1574054,0.7013444,-6.211324,1.2083169
matplotlib__matplotlib-24970,-0.27662286,0.6760222,-6.5403914,1.3791115,-1.878487,0.6234797
django__django-16256,-0.092748374,1.2323265,-6.277763,1.214228,5.5905457,1.74773
django__django-13344,-0.10638324,0.93050957,-6.313426,1.0694149,6.527233,1.5425503
sympy__sympy-13551,0.7164381,0.65761185,-5.4583592,1.3214995,0.40135098,0.7602117
sympy__sympy-13757,0.21774176,0.73215115,-6.0679007,0.9468038,0.8671079,0.8308829
pylint-dev__pylint-7080,0.7516868,0.7933405,-2.6591465,0.79812515,0.29446894,0.500435
django__django-11265,0.15308245,1.1104757,-7.262381,1.4765292,-0.28758866,0.75564575
sphinx-doc__sphinx-8548,0.20676982,0.8973831,-6.527929,1.2587034,5.4795194,1.8413073
sphinx-doc__sphinx-8595,1.392169,0.6732735,-4.917511,0.9846515,-3.3252392,0.6104994
astropy__astropy-12907,0.8643163,0.9051314,-6.902794,1.3282702,-0.49365613,0.7260351
django__django-12304,0.15111881,0.73629224,-5.322062,0.9332478,-1.2638589,0.7529364
sphinx-doc__sphinx-9658,-0.44146708,0.84055275,-5.650083,1.1796336,2.2602956,0.991112
django__django-14787,0.32159787,0.8504793,-6.1341434,1.0323702,-2.7280426,0.7160346
django__django-14915,0.8268435,0.5927147,-3.9771664,0.60698646,-2.5439649,0.65539056
sphinx-doc__sphinx-8035,-0.47232413,0.75726354,-6.6385384,1.4383888,0.31277466,0.7388095
astropy__astropy-7166,-0.14248577,0.5817585,-3.4543025,0.78724444,-1.7566063,0.5270286
astropy__astropy-13977,0.09261215,1.206491,-5.81453,2.0056813,7.093056,4.705567
django__django-16569,-0.19581598,1.0000477,-5.7884707,0.67650294,-11.257793,1.3825058
sphinx-doc__sphinx-10323,0.08688786,0.5592592,-3.0923362,0.5595097,0.09637569,0.58777785
pydata__xarray-4695,0.2156886,0.6833523,-6.732263,1.3142061,0.27159375,0.836535
scikit-learn__scikit-learn-25973,-1.4640355,0.64671373,-4.335534,0.8786822,-0.5071426,0.40162137
django__django-14017,-0.21047676,0.94273484,-7.861675,1.6043894,-1.3298061,0.87887985
sphinx-doc__sphinx-9229,0.008719928,1.0917991,-4.6482596,0.7816759,9.684705,2.046436
sphinx-doc__sphinx-9591,1.1440768,0.793519,-6.30411,1.4061962,0.28550753,0.7338942
django__django-11734,0.014508009,0.65724754,-6.061209,1.2195289,6.9039865,1.8194784
sympy__sympy-13647,-0.5333056,0.6920644,-5.1896186,0.9681405,-2.0979755,0.6085076
pydata__xarray-4629,0.22280759,0.8360058,-6.53504,1.056938,-6.3270235,1.0140394
django__django-14351,-0.13649839,0.7714344,-6.070121,1.3263266,-0.022688005,0.9318205
astropy__astropy-13453,0.50228244,0.97081584,-7.01619,1.408051,-0.85518026,0.9877055
django__django-13158,1.0165403,0.675418,-6.1697984,1.4792757,-0.31472388,0.66112673
django__django-14999,-1.0876898,0.8526199,-4.560751,0.8438567,-2.6908822,0.72665644
pylint-dev__pylint-6903,-0.080817856,1.105525,-6.605761,0.6121202,-8.9241705,1.1399319
django__django-11163,-0.7187139,0.8249037,-4.7590837,0.8909996,-4.225558,0.9191836
pytest-dev__pytest-7571,-0.38017642,0.6218188,-5.2353225,0.72449815,-2.6350224,0.61317587
scikit-learn__scikit-learn-13124,0.25306588,0.95982873,-7.620663,1.5841655,-1.3610222,0.90179473
sphinx-doc__sphinx-9698,0.030910531,0.54552484,-4.183952,0.88113815,-1.2455605,0.4406506
django__django-14349,1.1138793,0.6730608,-5.914487,0.986072,-2.609981,0.53129655
django__django-12262,0.1994399,0.8010539,-7.7624555,1.335151,-1.4638965,0.6269232
sympy__sympy-22914,-1.4566007,0.84942776,-5.987957,0.6685754,-5.31276,1.0286235
django__django-13590,0.14024487,0.83864117,-6.313035,1.5023459,-3.1558516,0.8133834
scikit-learn__scikit-learn-11578,-0.7141744,0.67696273,-2.98939,0.69947517,-2.851855,0.6241965
django__django-13401,-1.3885626,0.7085248,-5.6203084,0.87167454,-2.348913,0.774871
scikit-learn__scikit-learn-14053,-0.1530545,0.7216185,-6.48527,1.4948459,-3.854869,0.7777612
django__django-13658,-0.8385144,0.6480244,-2.7063632,0.48216403,-4.395256,0.7166822
pydata__xarray-3677,0.29444,0.57562435,-6.8579016,1.1311762,-3.7904623,0.8442701
sympy__sympy-13372,-1.1217837,0.8681266,-4.334955,0.917164,-2.2864091,0.60718673
scikit-learn__scikit-learn-11310,-1.3976237,0.43417594,-5.0431166,0.99475074,-3.3709362,0.86382586
django__django-16801,-0.73542666,0.60909736,-2.8275182,0.59099334,-2.9066358,0.550064
psf__requests-5414,0.06568978,0.8401743,-6.8154106,1.1698778,-2.1085784,0.7946573
matplotlib__matplotlib-22871,-0.000548522,0.8733958,-6.5058694,1.3248448,0.54136705,0.8215989
django__django-13195,0.4860379,1.1082237,-6.206795,1.5868907,7.068574,2.087486
django__django-12193,-0.1935931,0.75145715,-4.5867715,0.74258506,-3.9236002,0.7653192
django__django-13128,0.41265684,0.7857862,-6.4515157,1.2821794,-1.2990779,1.0488245
matplotlib__matplotlib-25775,0.46346626,0.6652904,-4.816072,1.0606068,-0.3453463,0.5282135
pylint-dev__pylint-7277,-1.0302677,0.62803245,-3.0626407,0.6530829,-3.7784061,0.69103205
pytest-dev__pytest-7236,-0.14788012,0.64494306,-6.8582315,1.207364,-1.3088897,0.76855624
sphinx-doc__sphinx-8638,0.2658686,0.97113544,-6.325763,1.5640297,2.5100017,1.2758026
django__django-12325,1.009702,0.87411195,-4.7845488,1.0822142,0.22895694,0.73704803
matplotlib__matplotlib-24637,-0.50394225,0.7500859,-4.8005586,1.0590507,-1.0680776,0.6139413
scikit-learn__scikit-learn-13779,0.08324778,0.6283629,-3.649916,0.7387606,-2.8207684,0.6139593
django__django-12406,-0.17434824,1.1427684,-5.2354503,1.9616601,8.14835,2.977934
django__django-15563,0.52548045,1.0369606,-6.563334,1.3622702,1.5378988,0.94662285
matplotlib__matplotlib-25287,-0.06085527,0.76954013,-4.1920676,0.82377553,-1.5723888,0.567472
django__django-12125,-0.29012784,0.6729803,-4.7990355,1.1151444,-0.53935677,0.6701262
django__django-13925,-0.45231628,0.6120858,-6.3613043,1.3605565,-0.6592006,0.7119979
scikit-learn__scikit-learn-12585,-0.2734324,0.9456349,-6.029874,0.5798254,-9.981467,1.264704
matplotlib__matplotlib-24627,0.954644,0.763944,-7.005273,1.5189232,-0.9856859,0.7250245
django__django-16082,-0.21365768,0.7177539,-7.7475724,1.8246683,-1.294749,0.7575071
sphinx-doc__sphinx-8269,0.1284367,0.61256707,-5.3794627,1.3927305,-1.2739476,0.6258183
django__django-13837,0.059390232,0.7377328,-5.4090753,1.0330347,-1.9520243,0.6040476
django__django-16612,-0.38987574,1.0898439,-5.8252206,1.0752858,-5.394556,0.95302474
matplotlib__matplotlib-20826,-0.12625001,0.85803163,-6.36149,1.3947445,0.11993331,0.8416582
django__django-14140,-0.2626415,0.5988454,-4.6654744,0.9512406,-0.71164554,0.5770993
django__django-15731,-1.0141635,0.7046542,-3.7473707,0.78858864,-3.4233842,0.6109178
django__django-13741,-1.9044505,0.7054746,-4.090229,0.7100493,-3.8755436,0.5695217
django__django-7530,2.558501,0.4908253,-1.3177559,0.26221377,-1.6574705,0.35503894
sphinx-doc__sphinx-8621,0.5836881,0.7018766,-6.188117,1.4405102,0.52743375,0.92820096
astropy__astropy-14309,-0.21425325,0.9326548,-5.629352,0.75140846,-9.352412,1.000347
django__django-15916,-0.11703534,0.7434461,-6.679756,1.4695554,1.1324819,0.9366002
django__django-12039,0.31790853,0.9520969,-6.6145964,1.1828958,-3.3647695,0.83131355
sphinx-doc__sphinx-11445,0.3456518,0.8490059,-6.5511723,1.2059495,0.6458782,0.82981145
pydata__xarray-6744,0.6753624,0.8284703,-7.35186,1.2961168,-1.9443458,0.80120635
pallets__flask-5014,-0.044801414,0.8628359,-5.0965652,0.95351064,-4.3429203,0.96814066
sphinx-doc__sphinx-8551,-0.58833337,1.1476023,-6.778923,1.4606233,1.0893161,0.85507655
django__django-11433,0.06838945,1.0263216,-6.1159263,1.3233536,2.318563,0.96672434
django__django-15741,-0.056210306,0.7915778,-7.089973,0.9862885,-3.5987897,0.6827368
django__django-16032,-0.48627836,0.6754939,-6.198038,1.2555393,0.62059206,0.6640328
sympy__sympy-24539,-0.6130307,0.91048795,-4.3492236,0.90207267,-3.6484022,0.7874404
sympy__sympy-21379,0.514426,0.89807117,-4.6889467,0.567412,0.87942034,0.4899783
django__django-14315,-0.08667605,0.8834579,-6.0643587,1.7337815,2.6862116,1.8075203
django__django-11095,0.22815603,0.9018327,-6.375913,0.8579813,-6.0381474,1.141572
mwaskom__seaborn-3187,0.15678898,1.0265747,-5.797778,1.5469526,6.580939,2.6835377
scikit-learn__scikit-learn-13496,0.58260775,0.6920662,-7.176245,0.9521772,-4.6485925,0.79741704
scikit-learn__scikit-learn-13135,0.35651752,0.7117305,-7.8341093,1.4555811,-2.4073472,0.6671004
pydata__xarray-4966,0.6475802,0.7088413,-5.2033,1.1968718,-2.6204941,0.5996308
django__django-15695,0.65472025,0.8175313,-5.58948,1.3708941,2.1668587,0.9361923
sympy__sympy-24066,-0.25058013,0.95073473,-6.288625,1.1157155,-4.668152,0.9654373
django__django-12273,1.2800401,0.70077014,-4.6396513,0.63177055,3.7377837,0.7340009
matplotlib__matplotlib-23314,0.59536743,0.593779,-5.830629,1.0580769,-1.8424731,0.57141197
django__django-15022,-0.7110477,0.7489197,-4.9356,1.0852664,-1.2952546,0.6013818
sphinx-doc__sphinx-9461,0.2952892,0.866923,-4.989181,1.8689178,9.138052,3.0621915
scikit-learn__scikit-learn-14710,0.19136491,0.48012766,-1.3938069,0.35131434,-1.5948999,0.4245049
astropy__astropy-14182,-0.14479554,1.040268,-6.6200023,1.2006859,3.5059247,1.7761348
scikit-learn__scikit-learn-15100,0.4479301,0.79033715,-6.5262675,1.0120368,-6.0156474,1.0793024
django__django-14765,-0.11915541,1.0447024,-6.25617,0.8715824,-9.009558,1.2291064
sympy__sympy-19040,-0.32910165,0.7917142,-4.943241,0.7570852,5.022043,0.9048799
django__django-15973,0.4955686,1.0337285,-6.2267437,1.1332076,7.1799045,1.5115298
django__django-14534,-0.39726076,0.70200694,-6.4522777,1.7211647,3.9001105,1.4354979
pytest-dev__pytest-7490,0.04704404,0.75121605,-6.759885,1.3244264,0.20783375,0.75140035
astropy__astropy-14508,0.025593856,0.82666516,-7.399844,1.595383,-0.61741054,0.7417732
django__django-13410,-0.033539616,0.80982596,-5.7520895,1.0150014,-5.5379596,0.8298692
django__django-11066,-1.2709224,0.5511187,-3.5765305,0.6259702,-3.7632132,0.77160347
sympy__sympy-13798,-1.1153202,0.9144553,-3.322081,1.0021152,2.322557,1.0036225
django__django-11999,0.2490537,0.7685033,-6.5400944,1.137527,-4.439424,0.948457
matplotlib__matplotlib-22865,-0.30003884,0.7258446,-4.8777857,1.2764981,0.41911864,0.67347497
matplotlib__matplotlib-20859,0.61375505,0.6690549,-4.75531,0.9295862,-1.2539903,0.64660215
pydata__xarray-3305,-0.8658703,0.73141086,-7.582222,1.0042541,-1.7371954,0.6792348
django__django-16819,0.51773745,0.72030765,-6.71643,1.1918335,-1.4932102,0.7086675
django__django-16899,0.38970003,0.7688353,-4.2646604,0.9559781,-2.1046665,0.5659184
django__django-11815,0.5738294,0.74419695,-6.743728,0.934872,-3.8217142,0.8803277
sympy__sympy-15345,-0.77214384,0.63527054,-5.2563286,1.2298849,-1.6020817,0.73690337
django__django-14373,-0.3454796,0.8980526,-6.213658,0.78517246,-9.014383,1.0688708
sympy__sympy-14248,0.22382522,1.1833907,-6.307524,0.8313333,6.11731,2.044478
scikit-learn__scikit-learn-10297,-0.3236953,0.6975969,-6.317225,0.9272296,-5.9848537,1.1705393
django__django-14559,-0.9860245,0.73558605,-4.886038,1.2025052,-2.395052,0.57358015
django__django-11477,0.017981984,0.77850115,-6.2217803,1.2401117,2.3611414,1.0461439
django__django-11555,-0.53415066,0.7507205,-5.2756157,1.0883012,0.13464513,0.7607371
django__django-16100,0.4268542,0.7669928,-6.296517,1.0336646,-3.1909282,0.79598033
pytest-dev__pytest-5809,0.28497133,0.9233452,-4.032333,0.6782956,-5.424401,0.7847573
django__django-15268,-0.63725424,0.8913736,-6.5208244,1.4882139,1.2192361,0.67996716
django__django-11333,-0.19369699,0.99989814,-4.820175,1.3201224,-0.020869266,0.9270711
sympy__sympy-17630,0.054683413,1.0935552,-5.681763,1.9322307,6.115684,2.7213004
django__django-13516,1.1227262,0.98762405,-5.414246,1.1601615,-2.7465618,0.6343502
django__django-15382,-0.12669408,0.7470129,-6.3430686,1.3181936,-1.9493135,0.94509053
matplotlib__matplotlib-24177,-0.09411383,1.0652303,-6.818705,1.3142626,5.498568,1.8347248
django__django-12774,0.67571145,0.9182028,-6.1575046,1.2331047,0.7900468,0.75222784
django__django-14170,0.1494796,1.0562559,-6.4595804,1.351208,5.9032717,1.9888178
django__django-12858,-0.33046645,0.7967019,-6.290776,1.3050656,-1.6378522,0.7647449
sympy__sympy-20916,-0.32304144,0.7703606,-6.6555777,1.0568395,2.646701,1.4566765
pytest-dev__pytest-8399,0.66291183,0.7763899,-3.1955707,0.589975,-2.9971972,0.63189304
django__django-11141,-0.32645527,0.9675747,-7.012092,1.2306288,1.7057331,0.9726281
sphinx-doc__sphinx-8265,0.018571066,0.92446446,-6.8547273,1.3206913,4.6613655,1.8300018
django__django-13033,0.5342894,0.8422639,-7.7748246,0.5034262,-1.2402161,1.0602959
django__django-15280,0.61184436,0.8642998,-6.5793686,1.294272,6.1814203,2.0322595
django__django-11820,-0.005477609,0.7969897,-6.003731,1.431427,5.0070677,1.7282269
sympy__sympy-15976,-0.6775232,0.8805013,-6.654848,1.3773272,1.4074281,1.3450074
astropy__astropy-13236,0.6655552,0.87866646,-6.7511263,1.6599394,-0.105442375,1.0765948
django__django-14155,0.322156,0.96024317,-5.5300317,1.6505983,6.8853936,2.6991816
sympy__sympy-23262,0.5436694,0.66400516,-6.108199,1.2478604,-1.1940116,0.6840371
django__django-12276,0.032781705,0.64731413,-2.954156,0.5168296,-3.1093144,0.76316786
matplotlib__matplotlib-25122,0.4174106,0.77392477,-4.499347,0.90407133,-3.2756276,0.746645
astropy__astropy-7671,0.0399025,0.5762253,-2.45683,0.4709269,-2.321752,0.41866708
django__django-15572,-0.42770028,0.7795412,-5.7544994,1.1921005,-3.3652093,0.85048264
