,theta1,theta1_std,theta2,theta2_std,theta_avg
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,-0.046741273,0.2930799,-0.6894412,0.12430836,-0.36809123
20241120_artemis_agent,-0.36466444,0.37562382,-0.38259482,0.103286296,-0.37362963
20250901_warp,0.67997366,0.47220674,-1.4811146,0.13706747,-0.40057048
20250511_sweagent_lm_32b,-0.12029821,0.5597647,-0.7537365,0.15809153,-0.43701735
20240824_gru,0.24614635,0.62421364,-1.172003,0.20472252,-0.46292835
20250228_epam-ai-run-claude-3-5-sonnet,-0.10490472,0.3774972,-0.85635495,0.11076058,-0.48062983
20241028_agentless-1.5_gpt4o,-0.25895786,0.30041328,-0.73287886,0.1726831,-0.49591836
20250901_entroPO_R2E_QwenCoder30BA3B,-0.51469964,0.25552312,-0.5566483,0.06918751,-0.535674
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-0.40291706,0.6445851,-0.74768543,0.21655674,-0.57530123
20241202_amazon-q-developer-agent-20241202-dev,0.13198282,0.44706872,-1.4010199,0.2447172,-0.63451856
20240924_solver,-0.008028714,0.7277565,-1.2866927,0.4098457,-0.64736074
20241028_solver,0.2361323,0.64939225,-1.537275,0.3570969,-0.65057135
20250203_openhands_4x_scaled,0.06662913,0.67650545,-1.4151564,0.34098315,-0.6742636
20241113_nebius-search-open-weight-models-11-24,-0.35174844,0.5691084,-1.0025235,0.2998136,-0.677136
20250110_blackboxai_agent_v1.1,-0.62369746,0.3555835,-0.7499366,0.08076765,-0.68681705
20250629_deepswerl_r2eagent,-1.2842325,0.26015994,-0.15177183,0.04202948,-0.71800214
20241022_tools_claude-3-5-sonnet-updated,-1.0205145,0.30669665,-0.43228394,0.062495634,-0.7263992
20250611_moatless_claude-4-sonnet-20250514,-0.11939476,0.39827955,-1.4170102,0.27969804,-0.7682025
20241025_composio_swekit,0.60254574,0.71886617,-2.2413943,0.58461475,-0.8194243
20251110_frogboss-32b,-0.84451437,0.26114103,-0.8564257,0.122074224,-0.85047007
20241022_tools_claude-3-5-haiku,-1.4196523,0.37004453,-0.2890446,0.047485955,-0.8543485
20250206_agentscope,-0.26371208,0.6714159,-1.466026,0.3253616,-0.864869
20250623_warp,-0.6337463,0.32220167,-1.1514108,0.17506967,-0.8925786
20250901_entroPO_R2E_QwenCoder30BA3B_tts,-0.76296455,0.36550033,-1.0469936,0.1394808,-0.9049791
20250226_swerl_llama3_70b,-0.08112819,0.58906794,-1.7436694,0.3821445,-0.9123988
20250928_trae_doubao_seed_code,0.3281211,0.5407191,-2.1574607,0.3146251,-0.9146698
20250930_zai_glm4-6,-0.3297062,0.45834723,-1.527938,0.34467557,-0.9288221
20251103_SalesforceAIResearch_SAGE_OpenHands,0.110217385,0.5788131,-2.0190845,0.35666084,-0.95443356
20250515_Refact_Agent,-0.15916327,0.6231169,-1.7816316,0.35633278,-0.9703974
20250929_Prometheus_v1.2_gpt5,-0.12346796,0.5817249,-2.1894805,0.42139766,-1.1564742
20251110_frogmini-14b,-1.3280654,0.4115169,-1.0156221,0.16215642,-1.1718438
20251120_livesweagent_gemini-3-pro-preview,-0.30279005,0.39107427,-2.1045864,0.25818178,-1.2036881
20250804_epam-ai-run-claude-4-sonnet,0.18113403,0.5740956,-2.6956205,0.43040398,-1.2572433
20250430_zencoder_ai,0.20594032,0.8145719,-2.7265244,0.55550206,-1.260292
20250117_wandb_programmer_o1_crosscheck5,0.04684439,0.68219125,-2.6582732,0.76680076,-1.3057144
20241125_marscode-agent-dev,-1.119123,0.5086024,-1.5326569,0.38627008,-1.32589
20251015_Prometheus_v1.2.1_gpt5,-0.17825678,0.5855043,-2.7046719,0.45354983,-1.4414643
20250629_deepswerl_r2eagent_tts,-0.9370912,0.4975961,-2.031714,0.3094859,-1.4844025
20250415_openhands,-0.0005555013,0.591251,-3.5442648,0.45850348,-1.7724102
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,-0.0017857216,0.6475897,-3.5553827,0.5351391,-1.7785842
20250728_zai_glm4-5,-0.24100798,0.65761036,-3.4415002,0.89215523,-1.8412541
20250716_openhands_kimi_k2,-0.1442663,0.7188501,-3.7410324,0.68998444,-1.9426494
20251021_SalesforceAIResearch_SAGE_bash_only,-0.36147612,0.65788615,-3.565173,0.77358764,-1.9633245
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,0.092748605,0.90055054,-4.047246,1.0122597,-1.9772487
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,-0.28171113,0.6295477,-3.8073764,1.046889,-2.0445437
20241212_google_jules_gemini_2.0_flash_experimental,0.13854918,0.7711295,-4.269727,1.2289475,-2.065589
20250616_Skywork-SWE-32B+TTS_Bo8,-0.28602126,0.6052567,-3.8853817,0.3110078,-2.0857015
20250603_Refact_Agent_claude-4-sonnet,0.019728903,0.5962873,-4.318108,0.9632417,-2.1491895
20241213_devlo,0.15764666,0.7597761,-4.4752088,1.1142689,-2.158781
20250612_trae,0.08955398,0.66209894,-4.614115,0.9304238,-2.2622807
20250710_bloop,0.116426945,0.6591539,-4.6723146,1.3138126,-2.2779438
20250522_tools_claude-4-opus,0.16877851,0.7113998,-4.802433,1.0920836,-2.3168273
20241208_gru,-0.064696856,0.5739534,-4.680549,1.0045034,-2.372623
20250524_openhands_claude_4_sonnet,-0.48621443,0.95622027,-4.456211,0.9698854,-2.4712129
20250224_tools_claude-3-7-sonnet,-0.1454379,0.6925309,-4.853587,0.92703664,-2.4995124
20250915_JoyCode,0.25584084,0.69884723,-5.455613,0.6581415,-2.5998862
20250807_openhands_gpt5,0.39955145,0.66928625,-5.66326,0.4270591,-2.6318543
20250519_trae,0.04863837,0.75645906,-5.33418,0.6450566,-2.6427708
20250522_tools_claude-4-sonnet,-0.122700915,0.75388455,-5.2185283,0.5165038,-2.6706145
20250819_ACoder,0.018239535,0.724099,-5.4140615,1.0184567,-2.697911
20251014_Lingxi_kimi_k2,0.31099674,0.6831006,-5.955066,0.3841925,-2.8220348
20241016_composio_swekit,-0.009483198,0.68484396,-5.768139,0.37342983,-2.888811
20250410_cortexa,0.13187116,0.7186203,-5.9138923,0.24083595,-2.8910105
20250405_swe-rizzo_claude37,-0.023303028,0.75733894,-5.9324164,0.4461556,-2.9778597
20250405_amazon-q-developer-agent-20250405-dev,0.083139524,0.84030324,-6.304728,0.37290668,-3.1107943
20250902_atlassian-rovo-dev,-0.10649634,0.6963247,-6.130264,0.59081864,-3.11838
20250522_sweagent_claude-4-sonnet-20250514,0.20593362,0.6779903,-6.5756097,0.25930324,-3.184838
20250519_devlo,0.2149653,0.6790614,-6.6902633,0.55362105,-3.237649
20241223_emergent,0.13151917,0.86996675,-6.7199445,0.36314636,-3.2942126
20250514_aime_coder,0.3205764,0.7737201,-6.9416966,0.48008126,-3.3105602
20250528_patchpilot_Co-PatcheR,-0.1588873,0.7614674,-6.653374,0.6196516,-3.4061308
20250731_harness_ai,0.18016332,0.75481087,-6.9977775,0.64871407,-3.408807
20250316_augment_agent_v0,0.10011041,0.77689266,-6.9179764,0.3732092,-3.408933
20241108_devlo,-0.124933995,0.75452757,-6.7936273,0.5034144,-3.4592807
20250610_augment_agent_v1,0.15991357,0.8443047,-7.2295384,0.46157792,-3.5348125
20250715_qodo_command,-0.10827814,0.8408381,-7.1683044,0.42254922,-3.6382914
