,theta1,theta1_std,theta2,theta2_std,theta3,theta3_std,theta_avg
20241125_marscode-agent-dev,-0.14268157,0.21119657,0.624326,0.74897945,3.5387275,0.27863276,1.340124
20250515_Refact_Agent,0.110983826,0.18938881,0.56724536,0.9204358,2.833522,0.61388147,1.1705837
20250627_agentless_MCTS-Refine-7B,0.03396517,0.044978708,3.4931664,0.30781543,-0.33795553,0.034532923,1.0630587
20251103_SalesforceAIResearch_SAGE_OpenHands,0.18022253,0.23067015,-0.5751888,0.42591298,3.5769944,0.44212902,1.060676
20250226_swerl_llama3_70b,-0.002021825,0.25688374,0.72475326,0.8701874,2.421928,0.576793,1.0482198
20250203_openhands_4x_scaled,0.033633586,0.17977342,-0.48782524,0.47898215,3.4251537,0.7153599,0.9903207
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.22126813,0.07298304,2.4365275,0.68841976,0.660313,0.09411392,0.95852405
20240824_gru,0.035228677,0.20659526,0.5501032,0.6896063,2.184219,0.5108342,0.9231836
20241106_navie-2-gpt4o-sonnet,0.011505177,0.065666325,2.1920485,0.47948483,0.4664631,0.082343854,0.8900056
20241202_amazon-q-developer-agent-20241202-dev,-0.026479801,0.23203209,0.002822016,0.67160153,2.5873837,0.51672304,0.85457534
20251103_sonar-foundation-agent_claude-sonnet-4-5,0.07317361,0.09866815,0.933688,0.5654999,1.4672197,0.20620593,0.82469374
20250225_sweagent_claude-3-7-sonnet,0.018712368,0.15466365,1.3403473,0.7338407,1.023084,0.18144785,0.7940479
20250527_amazon.nova-premier-v1.0,0.039984297,0.050863896,2.0708203,0.3788851,0.17196465,0.06456744,0.7609231
20250623_warp,0.04496692,0.08401368,1.2115421,0.4468974,1.0228437,0.22515495,0.7597842
20250611_moatless_claude-4-sonnet-20250514,-0.014478076,0.11058197,-0.16972688,0.564271,2.4248984,0.47757173,0.74689776
20240920_solver,-0.031369925,0.16242865,1.2258457,0.63601667,0.96787363,0.1802593,0.7207832
20250901_warp,0.11256363,0.09049231,0.026031211,0.3888194,2.0081916,0.25276834,0.7155955
20241202_agentless-1.5_claude-3.5-sonnet-20241022,-0.06687414,0.11825195,1.2729961,0.5564866,0.8988729,0.14672415,0.7016649
20250503_patchpilot-v1.1-o4-mini,-0.016806832,0.048938055,1.2384975,0.3391811,0.51435745,0.06084651,0.5786827
20250901_entroPO_R2E_QwenCoder30BA3B_tts,-0.011210993,0.07520667,0.5936874,0.4468196,1.1131546,0.13735592,0.56521034
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.047899242,0.0986273,0.66430485,0.3795522,0.8200551,0.076982014,0.5107531
20250214_agentless_lite_o3_mini,0.0668874,0.0668224,1.0453838,0.3725392,0.4014263,0.082224876,0.50456583
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,-0.016533537,0.04441995,1.4391242,0.2564119,0.08794093,0.037062634,0.50351053
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-0.029805068,0.12543462,0.3257371,0.4906083,1.1988376,0.24607362,0.49825656
20241105_nfactorial,0.05468972,0.05664833,0.80348116,0.31298053,0.5456373,0.086762585,0.46793604
20250924_artemis_agent_v2,-0.04227118,0.07323477,0.8513695,0.24271128,0.5170036,0.050012827,0.44203398
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,-0.038513757,0.07572359,0.6702611,0.2923432,0.6588317,0.09751663,0.43019304
20250511_sweagent_lm_32b,-0.106159806,0.13828021,0.25336424,0.40504736,1.1259055,0.24062975,0.42436996
20250228_epam-ai-run-claude-3-5-sonnet,-0.048146956,0.061007082,0.34007293,0.28022975,0.9519291,0.09899399,0.41461834
20241029_epam-ai-run-claude-3-5-sonnet,-0.003818756,0.051484153,1.1167009,0.2511169,0.12484546,0.035868086,0.41257587
20250120_Bracket,-0.047365855,0.04252852,0.81764525,0.18745893,0.39711043,0.05033472,0.38912997
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.017571114,0.02812282,0.7625119,0.14454307,0.3403933,0.034107104,0.3734921
20250110_blackboxai_agent_v1.1,0.052706517,0.041057788,0.14690235,0.22123218,0.9139249,0.10187762,0.3711779
20241016_epam-ai-run-gpt-4o,0.008883612,0.06426565,0.8786879,0.26335084,0.21554434,0.059604056,0.36770526
20241212_epam-ai-run-claude-3-5-sonnet,-0.048916727,0.07707415,0.32181266,0.24099465,0.78081405,0.08751044,0.35123667
20250901_entroPO_R2E_QwenCoder30BA3B,0.043008197,0.060950965,0.38067272,0.29511067,0.586727,0.06255523,0.33680263
20251110_frogboss-32b,-0.030627664,0.10793083,-0.40715563,0.31907958,1.3479009,0.13799961,0.30337253
20241007_nfactorial,-0.005377731,0.038819984,0.74871445,0.30786514,0.09648046,0.044099636,0.27993906
20251110_frogmini-14b,-0.12880825,0.20190279,-2.0624352,0.5189613,2.9669147,0.41836816,0.25855708
20250804_codesweep_sweagent_kimi_k2_instruct,-0.04433267,0.039981406,0.44611835,0.24463353,0.3641659,0.040669456,0.25531718
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.050584108,0.035046604,0.45784009,0.23708887,0.34896678,0.064591765,0.25207424
20240612_MASAI_gpt4o,0.040842403,0.033474095,0.6973675,0.24646649,0.011534273,0.028644476,0.24991472
20241125_enginelabs,0.12548633,0.082288116,-0.23930532,0.25314033,0.85727113,0.07790394,0.24781738
20240918_lingma-agent_lingma-swe-gpt-72b,-0.01968779,0.06923338,0.61919814,0.2573509,0.119362034,0.059998296,0.23962414
20250516_cortexa_o3,-0.020655598,0.022990469,0.4975268,0.0988294,0.23157543,0.023260714,0.23614888
20250520_openhands_devstral_small,-0.0026896119,0.093615875,-0.2339047,0.2546976,0.7862563,0.09306458,0.18322067
20250616_Skywork-SWE-32B,-0.0092247315,0.06095355,0.17337735,0.19021228,0.3735669,0.057684585,0.17923982
20250112_ugaiforge,0.014044174,0.06858015,0.047835052,0.23074993,0.45677543,0.06380849,0.17288488
20250806_SWE-Exp_DeepSeek-V3,-0.023130592,0.03451418,0.37044525,0.1756786,0.15260331,0.04360385,0.16663933
20250725_sweagent_devstral_small_2507,-0.07679713,0.080457635,0.10504148,0.27542615,0.45488602,0.109747656,0.16104345
20241120_artemis_agent,-0.11012491,0.07602126,0.1640659,0.36797208,0.40188602,0.12241764,0.15194233
20241002_lingma-agent_lingma-swe-gpt-72b,-0.07991133,0.06469068,0.05257232,0.28921,0.44009203,0.100926325,0.13758434
20241001_nfactorial,0.040627066,0.032102402,0.19990006,0.23726848,0.13154463,0.041144237,0.124023914
20240820_epam-ai-run-gpt-4o,-0.032112792,0.035602096,0.14451613,0.19908124,0.22005026,0.04844349,0.11081787
20241022_tools_claude-3-5-sonnet-updated,0.03131142,0.046910275,-0.5038067,0.23072329,0.6663923,0.06173341,0.06463235
20241028_agentless-1.5_gpt4o,0.0045848885,0.14025564,-1.7535881,0.3879058,1.9341253,0.24124949,0.061707377
20240918_lingma-agent_lingma-swe-gpt-7b,0.019009074,0.046559453,0.33218062,0.3036737,-0.31096497,0.06429382,0.013408244
20250110_learn_by_interact_claude3.5,-0.013328427,0.030593323,-0.37297803,0.10687122,0.33857006,0.024144001,-0.015912136
20240820_honeycomb,-0.004690714,0.0278529,-0.14499687,0.18366751,0.100734286,0.026050441,-0.016317768
20240617_factory_code_droid,0.043139666,0.017212007,0.06491849,0.091838524,-0.17361881,0.017554203,-0.021853551
20240721_amazon-q-developer-agent-20240719-dev,0.03521856,0.021155387,-0.15336445,0.08427261,-0.18082325,0.0153880315,-0.09965638
20240620_sweagent_claude3.5sonnet,-0.105124414,0.05059523,-0.7884202,0.1928237,0.5737277,0.06608681,-0.10660563
20241002_lingma-agent_lingma-swe-gpt-7b,0.043260276,0.03302846,-0.09197187,0.1875223,-0.27740234,0.034552872,-0.10870465
20241022_tools_claude-3-5-haiku,-0.050869275,0.044916414,-0.81666845,0.20870209,0.5043491,0.05254949,-0.121062875
20250629_deepswerl_r2eagent,0.04573393,0.043529175,-0.9558605,0.11762156,0.37074205,0.03801533,-0.17979483
20240615_appmap-navie_gpt4o,0.0028464426,0.023363655,-0.36485612,0.09968542,-0.3080717,0.01956522,-0.22336046
20240402_sweagent_gpt4,-0.023422707,0.020800572,-0.2769145,0.10739671,-0.4010663,0.028342256,-0.23380117
20240628_autocoderover-v20240620,0.046798833,0.0206723,-0.69079095,0.06992669,-0.0694542,0.015619428,-0.23781544
20240728_sweagent_gpt4o,0.0009127874,0.04600367,-0.9195136,0.123431854,0.10642019,0.029688524,-0.2707269
20240509_amazon-q-developer-agent-20240430-dev,0.0026800754,0.025064133,-0.63427746,0.0956764,-0.22371317,0.023174267,-0.28510353
20240402_rag_claude3opus,-0.017297674,0.03714864,-0.22651729,0.19959976,-0.9449311,0.049337886,-0.3962487
20240402_sweagent_claude3opus,0.039384656,0.028621381,-0.8706859,0.1364643,-0.40112418,0.023529552,-0.41080847
20240402_rag_gpt4,0.0031963773,0.04528936,-0.24397032,0.17259498,-1.3702476,0.08556245,-0.53700715
20231010_rag_claude2,-0.09433381,0.04790902,-0.5207228,0.18021247,-1.0078347,0.07344849,-0.54096377
20231010_rag_swellama7b,0.053289816,0.074673854,-0.2292089,0.37411553,-2.0335128,0.18269193,-0.7364773
20231010_rag_swellama13b,-0.124621764,0.07533238,-0.46143022,0.3537801,-1.9435997,0.17422086,-0.8432172
20231010_rag_gpt35,-0.124538496,0.13696645,-0.9125251,0.50549465,-2.566737,0.24847557,-1.2012669
