,a1,a1_std,a2,a2_std,a3,a3_std,b,b_std
sphinx-doc__sphinx-9320,0.16535746,9.088543,0.28761056,0.18028566,6.683112,0.36824328,-2.1125202,0.7293558
django__django-15277,-0.121257946,7.444593,1.9191376,0.9081479,9.0180025,1.9703912,-4.7594457,0.74705625
sympy__sympy-18763,0.5101883,4.7734933,0.8289954,0.56467104,4.018096,0.9022934,-0.9577245,0.40787882
django__django-13343,0.45950887,4.9620967,1.9346994,0.8165151,4.2324457,1.0827622,-0.79990333,0.7846972
django__django-15037,0.4521567,7.0691185,0.8627802,0.7058026,3.6496418,1.358036,0.45908147,0.5465554
sphinx-doc__sphinx-11510,0.53677684,8.4685335,0.82621807,1.2633874,-1.8249692,0.6164597,8.838533,2.624892
sympy__sympy-22714,0.7833704,6.835358,0.88747793,0.96455353,11.609186,3.1804934,-3.3420146,0.94997233
django__django-17084,0.7228668,4.2907085,0.63985926,0.7617947,4.9249353,0.31973016,1.4057815,0.41288403
django__django-16662,-0.20592122,6.867283,0.49146205,0.549,5.270128,1.4205316,-1.8172867,0.61707383
django__django-13512,0.55994344,11.066284,1.6265272,0.945423,12.868063,1.998713,1.3724576,0.964323
django__django-13121,0.6540485,8.413231,0.55274963,0.97975975,12.070179,2.90227,1.5861081,0.79356074
django__django-12663,0.21427582,8.593466,2.1951237,0.8041312,10.612418,2.097104,1.7590157,0.75896883
sphinx-doc__sphinx-7889,0.19614087,4.4404116,0.53548855,0.43582717,5.7559614,1.1889169,-0.52753794,0.59553975
sphinx-doc__sphinx-10466,0.65539294,8.151147,2.1477337,0.81647074,8.780749,1.992329,-3.5760903,0.77896214
django__django-16938,-0.511464,9.128316,2.1341531,0.8771213,9.165231,0.53156734,2.871395,1.2499613
pydata__xarray-3993,0.3178396,9.578246,0.5784384,0.8207708,12.72494,2.8500729,2.2015257,0.8016773
django__django-12419,0.3328578,12.011387,0.80506176,0.88345945,8.796817,0.5657699,-5.421586,0.9119923
django__django-10880,1.0799049,11.14463,1.8441192,1.0762304,12.382261,2.9012733,-3.123002,0.89836794
sympy__sympy-20154,0.6638114,7.739541,0.89961946,0.7857639,6.5867443,1.813439,-1.6383398,0.7506741
pydata__xarray-6599,0.20465292,7.53062,1.6883137,0.66181266,4.3355174,1.5693297,0.17048573,0.6793753
sympy__sympy-12481,0.28348285,6.180608,0.843694,0.39742702,6.438192,0.97558486,-1.0421383,0.6220986
django__django-16145,0.71171194,8.422007,1.1437161,0.6357103,11.144237,2.6584733,-3.9747813,0.7968476
sphinx-doc__sphinx-10614,0.33055115,7.308036,2.2423754,0.9263674,2.1072845,1.5186827,3.0429468,1.1768055
psf__requests-6028,0.3828031,12.812964,1.7286079,1.0111017,10.0695915,1.3819811,4.577596,2.2132144
django__django-15732,0.3893695,4.917307,2.2004461,0.66676545,1.8017812,0.49608305,2.677907,0.8868861
django__django-13786,0.43692815,9.955295,0.6211246,1.1359576,9.8841715,2.0912962,-6.787332,1.4257343
astropy__astropy-8872,0.8056142,7.4551225,-1.0205706,0.7344649,2.2817724,0.82995486,0.37990528,0.6947089
django__django-14122,0.51903296,8.040266,1.7710836,0.94183993,11.530603,2.3389127,0.6957916,1.4377142
django__django-12965,0.30543488,10.466876,2.4075966,1.2172698,9.367932,0.4611368,2.8366299,1.1202672
django__django-15863,0.0021404326,10.789029,1.3916548,0.9860987,12.374411,2.146219,-2.298016,0.7989017
astropy__astropy-8707,0.30017543,5.789673,-0.8992752,0.6111276,2.0447216,0.60952914,0.40069574,0.8000227
sphinx-doc__sphinx-9230,0.5932532,4.5702443,2.1698115,0.58015215,2.5136986,0.33341002,2.5510473,0.5705218
sympy__sympy-15017,0.40974993,9.915062,1.925884,0.41908154,9.1447115,1.4584105,1.7721175,0.6612483
django__django-11211,1.3724654,5.39517,1.0011584,1.0300746,7.920006,0.3292721,-0.33002722,0.64633644
sympy__sympy-19954,0.17831795,11.29948,1.0085808,1.1963592,11.573777,1.470844,-3.3469107,0.8335229
django__django-14580,0.6613196,10.057565,0.82756436,0.9697678,11.897471,2.8109736,1.4359143,0.84883094
matplotlib__matplotlib-26342,0.7294033,6.302375,0.9178751,0.5851483,5.279184,1.4317611,-0.6221612,0.44121176
psf__requests-2931,0.55907834,5.4049597,0.547449,0.52260315,3.3379858,0.98014736,0.8313929,0.55505234
django__django-11532,1.0443273,8.782759,-0.49624088,0.9137892,7.9286437,2.6308985,-2.4685488,0.7077391
scikit-learn__scikit-learn-25232,0.3802988,3.7400477,-1.0016483,0.38495913,2.913483,0.58448184,-0.65168554,0.32037497
django__django-15957,0.22913699,12.072887,1.1449506,1.2565758,8.569963,1.161269,6.519747,2.2197495
django__django-10999,0.50537735,8.166734,1.0673897,1.1514655,6.001786,2.7444005,6.906013,2.7227995
django__django-13089,0.15820129,5.5820274,1.2092495,1.1245453,4.3249516,0.7479892,-5.221056,0.98486227
pytest-dev__pytest-7982,0.31462196,4.24192,-0.026225261,0.45387462,2.1688936,0.5401439,-2.117927,0.4606272
matplotlib__matplotlib-25960,-0.07826199,9.424892,1.2474535,1.0262158,7.0496264,0.98542917,3.7053232,0.98282295
django__django-16661,0.5926544,8.4786005,2.23498,1.0208788,9.41961,2.7513957,-1.3498219,0.7455731
scikit-learn__scikit-learn-25102,0.461053,5.925622,-1.8397053,0.34798855,6.1342587,0.91563994,0.8905046,0.5955347
astropy__astropy-7606,0.19577987,4.6831994,-1.7699755,0.39146078,1.0869166,0.36577743,0.41150102,0.5820236
sympy__sympy-21612,0.55894893,8.525908,2.3940961,0.8479818,5.3265033,2.3036473,3.8816068,1.4766986
psf__requests-1724,-0.25033367,7.0271864,1.8549277,0.9894729,3.2510056,0.83288634,-2.8470762,0.80549216
django__django-16263,0.6114932,12.139944,0.948881,1.2770396,5.1178427,3.2807674,7.7224374,2.7172515
django__django-13406,0.021676715,10.222788,1.260775,0.8088093,11.247894,1.7683339,2.460824,0.72792155
pydata__xarray-6938,-0.18672659,5.5650363,1.1883394,0.90140575,2.7819493,0.7714577,6.39701,1.5808738
astropy__astropy-14539,-0.07596819,9.717663,2.3624587,0.53396904,13.115721,1.7987502,-0.8282616,1.1856811
sphinx-doc__sphinx-9258,0.763202,3.458187,2.6486385,0.6235481,1.6664551,0.29162538,1.8049724,0.531231
psf__requests-1921,-0.15318272,7.3309326,1.1751719,0.811904,4.8196645,1.3429358,-1.5544777,0.57920337
django__django-13297,0.4883666,9.5711565,0.41577655,0.92597365,13.033161,3.5259337,1.8650262,1.2153538
django__django-14792,0.35974023,11.669366,1.0748326,1.1455241,5.2316613,1.6309389,7.2955227,2.448367
pydata__xarray-4687,0.32235846,10.379694,0.7586371,0.9177415,9.649566,2.003354,5.0088286,1.1499463
sympy__sympy-13031,-0.8127271,4.352944,1.8610244,0.6100637,1.607622,0.40104508,0.8397208,0.557526
astropy__astropy-14598,1.066267,7.7807126,1.2894456,1.3113058,3.248103,1.238102,5.0232334,0.84515923
scikit-learn__scikit-learn-26194,0.28366935,8.51517,2.452287,0.5592352,4.0399046,1.8929238,5.3472104,1.0010397
django__django-14404,0.59259874,6.345447,0.4508082,0.6715921,5.9823503,1.0250667,2.1924322,0.5212459
matplotlib__matplotlib-21568,0.25313637,9.692041,1.3828448,0.99281615,8.676225,3.3903162,6.7115664,1.6999238
django__django-10097,1.4948602,1.0954462,0.37837583,0.19500321,0.6951663,0.10886691,0.7858604,0.423182
astropy__astropy-13579,0.15967055,6.226504,0.22545712,0.56167376,5.6183734,1.7007953,-0.86344403,0.54181194
django__django-14539,0.13760579,7.3509746,1.3759775,0.5600432,4.5821834,0.95692694,-1.3466483,0.49714738
pytest-dev__pytest-5262,0.60908985,8.639273,0.20728397,0.65330994,15.041697,3.729371,-1.1653616,0.79759455
django__django-14855,1.7021157,6.0046406,1.489137,0.79288054,3.4100213,0.8120162,-3.9144628,0.7843941
sympy__sympy-12419,0.71642387,6.913423,1.5441178,0.7651421,5.4313903,1.5434854,2.3363056,0.83390504
django__django-13109,0.06679757,7.9788527,1.7567971,0.9768251,10.082209,1.5451403,-5.675792,1.144669
django__django-11133,0.23837583,6.9067907,1.8378286,0.8642539,3.4824758,0.4409616,-4.056358,0.82215786
django__django-13449,0.3830702,8.894831,1.6861377,1.1613607,13.245057,2.924931,0.39435315,1.3724587
pytest-dev__pytest-10051,-0.33330384,8.698968,2.1660604,0.5034773,5.92169,0.681836,0.99965996,1.0527092
scikit-learn__scikit-learn-14141,-0.030769091,7.045332,1.79716,0.91554296,3.6785076,0.96880376,-4.907747,0.9355498
sympy__sympy-18211,0.8923538,9.300478,0.086455375,0.8491534,8.780941,1.7246809,2.3441205,0.7844124
sympy__sympy-21847,0.10351664,7.7337584,2.132344,0.8695533,5.380153,1.4490962,-2.6143203,0.86401784
pydata__xarray-7229,0.057639886,12.325506,0.41298953,1.2577715,4.3564634,3.4468122,8.374984,1.820502
scikit-learn__scikit-learn-13328,0.20356506,8.076611,1.2161356,0.9059525,4.9806156,1.321125,-2.9471884,0.65904003
django__django-14725,0.20032881,8.092773,1.3820192,1.4357718,9.085018,2.2984648,5.943449,2.0256574
sympy__sympy-21596,-0.12734532,10.693658,0.74931175,0.8507025,8.869467,2.096577,6.5462294,2.2638311
django__django-15525,0.59662336,6.551609,0.64446586,0.79223,4.3354297,1.180063,0.22452821,0.50590646
sympy__sympy-13974,-0.17390826,8.158173,1.441578,0.67860395,4.650943,1.501237,1.2271403,0.7272326
django__django-11964,1.0287048,6.579898,1.9963427,0.6398057,4.247221,0.9461161,0.31122634,0.63611597
django__django-15561,0.5075767,7.2914867,2.3390536,0.9345294,8.113751,1.7806609,-0.059440747,0.6153249
django__django-11885,0.54372996,6.664553,1.0688868,0.90489745,7.327356,1.4195259,7.5168657,1.3774183
pytest-dev__pytest-7521,0.6847289,8.840846,2.0741446,0.56839913,12.497976,1.6313716,0.8028893,0.8415915
sympy__sympy-16886,0.1675108,7.0019503,0.6796427,0.5061265,4.374143,0.94873774,-1.773366,0.4740823
scikit-learn__scikit-learn-12973,-0.023258563,10.366646,1.1676404,0.9338897,15.080456,0.4577956,-2.6901522,0.8764885
pytest-dev__pytest-7205,0.15339921,8.200326,1.4602401,0.8007704,7.4042234,1.3821687,-3.297438,0.9124781
django__django-15315,0.18974406,8.493789,1.7815634,0.9599321,9.747109,0.5993085,-3.166626,0.9355229
django__django-13346,0.43216124,8.541316,1.3674455,0.7169751,10.735765,1.6983373,3.7125285,0.78990877
django__django-11951,0.13260938,6.195609,1.6034615,0.97588664,7.580497,1.5173466,-2.3221397,0.66693866
sympy__sympy-18199,0.71407443,8.529639,1.3182414,0.9557668,4.94833,1.36817,8.137057,2.3221204
django__django-11551,0.46288353,9.533583,0.9205776,0.97249264,8.684986,2.3480647,-3.2640183,0.8107227
django__django-13807,-0.6248795,5.2802367,1.1979948,0.580604,1.4200085,0.34359905,0.7465444,0.54820496
django__django-13417,-0.015926981,10.117945,1.7325944,0.9852019,9.176828,2.3864186,-3.113299,1.0082021
matplotlib__matplotlib-25479,0.62359387,11.236236,1.1880573,1.1502497,4.9759355,1.8192247,7.713487,2.1417046
django__django-10973,-0.26692513,8.444409,1.5163285,1.1413573,12.477467,3.5789547,-2.3080633,1.0956509
django__django-11292,0.24268451,13.32909,1.9215888,1.1439133,12.309962,0.72192216,-1.2360393,0.85374665
django__django-16454,0.75389135,7.6859913,0.76952595,0.8622738,4.5403576,1.0480902,0.98248005,0.63205516
django__django-11451,0.19470236,8.97798,1.8107216,0.89247346,3.5244315,0.6977426,-4.6276994,0.71198523
django__django-11848,-0.22113124,10.4021635,1.7037642,0.92247677,5.472602,1.9567859,-1.2363148,0.81842875
django__django-17029,0.19023657,6.398693,1.3298516,0.60050976,2.5628731,0.3604297,-3.2560441,0.75319463
scikit-learn__scikit-learn-10908,1.0167592,11.377362,0.8355992,1.0194826,12.969065,3.7601295,-0.77207404,1.1297321
sphinx-doc__sphinx-8475,0.3860964,5.656437,1.1680373,0.80432767,5.564646,0.95786476,-1.4150699,0.70107687
astropy__astropy-13398,0.28418112,11.273008,0.9028447,1.1042362,4.83157,2.3489969,8.120701,2.3340325
sympy__sympy-19783,-0.1621703,5.3102455,0.21130146,0.8518563,7.5092335,0.51478016,1.8982861,0.59158164
scikit-learn__scikit-learn-25747,0.83966273,6.928427,2.2254844,0.5019949,4.823877,0.7305566,3.244225,0.7903494
sphinx-doc__sphinx-7454,0.5783655,9.582789,2.4059432,0.7460136,7.117935,1.5195658,0.9585255,0.9229539
django__django-13568,0.44195947,8.6652565,1.5297788,1.0727242,8.914865,0.87932616,-0.40582964,0.936766
django__django-13551,0.7099464,11.366636,2.2625358,1.0808345,9.970167,2.1804655,1.0666074,1.0035945
pylint-dev__pylint-6386,0.66096056,6.462219,-0.31319696,0.5252164,7.121294,2.1301036,0.035010673,0.6795502
pylint-dev__pylint-6528,0.5280184,7.177168,0.9126853,0.70142615,8.292816,1.7002151,2.3702092,0.71213543
sphinx-doc__sphinx-9711,0.20550215,10.439123,2.0098186,0.9507331,6.6805124,1.803047,-3.032308,0.9377968
astropy__astropy-14096,0.502936,7.224977,2.2032862,0.87323964,10.888139,2.7706985,-1.2853279,0.81817365
sympy__sympy-22080,0.4052322,7.460853,1.1561455,1.1331222,5.5857534,1.4340335,8.180212,2.242593
sympy__sympy-17318,0.24376647,9.944059,0.008892402,0.78008837,3.5920196,0.52573913,-0.1493086,0.6946765
django__django-12741,0.53573203,7.4387665,0.4244324,0.7716889,7.3115687,2.1809018,-0.53997505,0.5779242
django__django-16485,-0.09101088,11.832136,0.9370139,0.6761875,9.022437,1.9967085,-5.548373,0.942258
matplotlib__matplotlib-24970,0.81336397,8.208179,0.55637485,0.4999188,10.002012,1.4191921,-1.0522735,0.7506848
django__django-16256,0.35305417,9.563239,1.1985649,1.1796885,7.6765566,2.3438861,6.7965465,2.646124
django__django-13344,0.5275763,9.763526,0.53206044,1.2715313,7.573899,1.5240119,7.59797,2.5898051
sympy__sympy-13551,0.40739295,7.385247,1.809921,0.62268054,5.6856866,0.60987234,1.4957513,0.80064666
sympy__sympy-13757,-0.20299691,8.038432,1.1987998,0.87088233,6.32134,1.5928892,1.7349514,0.86916137
pylint-dev__pylint-7080,-0.25283185,4.894525,1.0826494,0.77954054,1.4426469,0.41944385,0.72447795,0.5408754
django__django-11265,0.27397954,8.04064,2.0115802,0.70971054,11.97042,3.4657052,1.3695664,1.2466958
sphinx-doc__sphinx-8548,0.11932494,10.862862,1.2996211,1.4377205,8.2986765,2.49845,7.00855,2.090023
sphinx-doc__sphinx-8595,0.03394952,8.00266,2.091263,0.7552302,4.5127196,1.3864788,-2.1537166,0.57037127
astropy__astropy-12907,0.5325097,3.786508,2.4629364,0.62914664,8.301976,2.1068172,0.8160998,0.89897656
django__django-12304,-0.50814325,7.6498013,1.879172,0.90485054,5.188167,0.55694777,-0.26052728,0.7918762
sphinx-doc__sphinx-9658,0.5550775,7.5768867,0.025830528,0.8633585,6.6730304,1.5195866,2.9287903,0.91316247
django__django-14787,-0.13571817,9.323737,2.4086072,0.88923305,7.8878202,1.2491138,-1.4095155,0.657557
django__django-14915,0.5275123,6.9032154,1.7366815,0.7457327,3.300144,0.9864465,-1.9852743,0.54410094
sphinx-doc__sphinx-8035,-0.15725845,7.596208,2.039902,0.61500764,8.658249,1.9478679,1.4418492,0.9516709
astropy__astropy-7166,-0.32785404,5.959199,1.3287296,0.6034912,3.7941718,0.23939142,-1.1913807,0.3858332
astropy__astropy-13977,0.57785004,16.27046,1.4510171,1.2570101,6.573387,3.270997,6.66328,3.3691654
django__django-16569,0.05130742,10.904486,0.80597115,0.9514966,5.2565074,0.84645593,-8.3680105,1.0150758
sphinx-doc__sphinx-10323,-0.18173873,3.1602635,0.8510311,0.35266066,1.6301758,0.37103266,0.6194628,0.5402601
pydata__xarray-4695,0.6096404,9.347994,1.7197092,0.77744997,8.25143,1.5697582,1.2440628,0.75513136
scikit-learn__scikit-learn-25973,0.40946555,4.8250284,-0.5924621,0.35029033,6.681633,1.1165683,0.4070039,0.39971057
django__django-14017,0.30381456,6.699049,1.3448461,0.9116374,14.019333,1.0106463,0.14897612,1.1416924
sphinx-doc__sphinx-9229,0.17026162,6.7211185,2.24537,0.754374,-0.20702387,0.37390578,6.235529,2.0492182
sphinx-doc__sphinx-9591,0.86921704,6.1871142,2.5772831,0.7623022,8.55008,0.787697,1.679644,0.8960332
django__django-11734,0.43538222,9.785808,1.1702683,1.3570906,6.408103,1.4604777,7.9058576,2.320531
sympy__sympy-13647,0.18325937,6.199342,-0.04808328,0.7336639,6.8061333,1.3597552,-1.1345083,0.6131967
pydata__xarray-4629,0.26331037,10.056854,0.76885736,0.9543927,9.215121,1.7878511,-5.5388474,1.1361159
django__django-14351,0.7701245,8.656793,2.0285347,0.6972086,5.792447,2.0299728,1.0513513,0.73541903
astropy__astropy-13453,0.2862123,10.418636,2.3032663,0.5544017,12.622591,0.7385986,0.018519076,1.0960137
django__django-13158,0.87183535,6.8943405,1.9128941,0.59608644,6.831383,0.28792906,1.106063,0.8413619
django__django-14999,0.19591136,6.388901,1.1769722,0.7802716,4.9882336,1.5262274,-1.5765635,0.6964085
pylint-dev__pylint-6903,0.32259855,11.233032,1.4118633,1.2321757,7.2932024,1.2038676,-7.192983,1.2724576
django__django-11163,0.13193293,8.249389,0.20870392,0.5958009,6.165882,1.3336492,-3.2121055,0.6032142
pytest-dev__pytest-7571,1.1218109,10.235184,0.3715761,0.7945751,7.5166016,0.32358223,-1.7146198,0.64620256
scikit-learn__scikit-learn-13124,0.03489172,9.115747,1.6516557,1.1430647,14.154875,1.0260452,-0.11096883,0.9142674
sphinx-doc__sphinx-9698,-1.1527543,4.506011,2.25954,0.6796296,2.254631,0.58963996,-1.0249646,0.36546117
django__django-14349,0.7116413,8.421164,1.8734953,0.7510178,6.9070597,1.8199215,-1.556608,0.63635653
django__django-12262,0.15015438,9.812067,1.6297388,0.9826111,14.614023,3.2582166,-0.20216556,1.1597923
sympy__sympy-22914,0.11603178,9.18951,-0.8121368,0.69574136,9.332995,1.9488015,-5.7016187,1.1642805
django__django-13590,0.23186274,9.318796,1.0756719,0.8369977,9.862706,2.4188292,-2.3971262,0.7777991
scikit-learn__scikit-learn-11578,-0.554284,4.6614094,1.6888745,0.6472348,2.2891672,0.5652672,-2.0804796,0.5395593
django__django-13401,0.62747955,7.6459394,0.20539598,0.70736945,7.567853,1.9177816,-1.5408046,0.6153509
scikit-learn__scikit-learn-14053,0.63488823,11.820606,1.1600903,0.79565513,8.790359,1.0198325,-2.966745,0.9421504
django__django-13658,-0.02367872,4.7264805,0.48875183,0.5756503,2.6384978,0.6928257,-3.5238123,0.6393397
pydata__xarray-3677,0.28917542,9.366848,1.6413883,0.7473439,10.547943,2.6879816,-3.0283096,0.89254254
sympy__sympy-13372,0.64972156,5.850811,-0.13008112,0.38469577,6.3319645,1.7028675,-1.5910702,0.49329185
scikit-learn__scikit-learn-11310,0.78256935,2.1841822,1.5844971,0.55789113,7.5395017,0.25679627,-3.2722533,0.19156191
django__django-16801,0.082622714,3.2638729,-0.5924676,0.35086504,3.9349651,0.41945484,-2.6174877,0.49727535
psf__requests-5414,0.5678546,9.005306,1.782664,1.0286092,12.000202,0.90746117,-1.0299183,0.89647955
matplotlib__matplotlib-22871,0.22741938,7.0130596,2.522601,0.85959464,5.2424974,1.4880767,1.3265907,0.7721671
django__django-13195,0.48711374,10.073598,0.9014015,1.211407,5.517158,1.0789834,7.4905243,1.972316
django__django-12193,0.17836583,8.295568,1.6092709,0.8821067,5.138733,0.355656,-3.1806386,0.7110553
django__django-13128,-0.06644664,10.693277,1.9218805,1.442327,9.003867,2.6250372,-0.10106925,0.96685755
matplotlib__matplotlib-25775,0.6546283,6.2963815,0.5593884,0.35301346,4.951465,1.4319065,0.4929769,0.45808122
pylint-dev__pylint-7277,-0.00069500646,4.4882364,-0.24032338,0.5275166,3.048517,0.6046517,-3.225671,0.5079512
pytest-dev__pytest-7236,0.25486013,9.43012,1.5990652,1.1123056,10.77226,0.48027906,-0.055446975,0.7818873
sphinx-doc__sphinx-8638,0.07417259,10.7740965,2.036603,1.1786819,6.7734485,1.2920672,3.0498483,1.3570905
django__django-12325,1.1563253,5.5231857,1.8884593,0.6263666,4.3671417,1.5618103,0.92458963,0.63006616
matplotlib__matplotlib-24637,0.06423241,8.507885,1.771548,0.7987465,4.638942,1.0903753,-0.31021777,0.54543763
scikit-learn__scikit-learn-13779,0.71024555,6.4483666,0.3571866,0.56586146,3.508081,0.733794,-2.397879,0.5324927
django__django-12406,0.19570448,7.4136887,1.1566315,1.4269094,5.443846,3.0449042,7.747456,1.6602721
django__django-15563,0.86370325,8.385273,1.074389,1.1563741,9.3930645,1.8896457,3.0761225,1.3745458
matplotlib__matplotlib-25287,-0.013717506,4.267702,2.4247732,0.64966476,2.5842898,0.3198957,-1.300865,0.4408475
django__django-12125,0.25876588,7.309073,0.55439955,0.5904521,5.6369023,1.4611977,-0.09191422,0.59904665
django__django-13925,0.40973422,7.2821684,0.67060614,0.53313625,9.533799,2.9836316,0.05045776,0.7793037
scikit-learn__scikit-learn-12585,0.46816346,8.395581,0.82576334,1.007878,6.233515,0.9622724,-8.114715,0.9296695
matplotlib__matplotlib-24627,0.8236338,5.5131493,2.463778,0.756962,8.418523,1.930483,0.32908213,0.7414069
django__django-16082,0.35492438,6.4186344,1.0728298,0.48906356,15.572891,3.7532856,0.26338086,0.88125724
sphinx-doc__sphinx-8269,0.9633253,7.0683208,0.9611911,0.58568144,7.615978,0.39796397,-0.1698324,0.6812924
django__django-13837,-0.60736173,5.4495335,1.0020019,0.70022476,6.553204,0.5943381,-1.218691,0.5790008
django__django-16612,0.046350677,11.297787,0.543454,0.7982066,6.8302956,1.5192255,-4.418736,0.88193
matplotlib__matplotlib-20826,0.051803436,9.962993,1.2471178,0.82841873,7.352592,1.7944362,1.1904162,0.83985174
django__django-14140,0.37753078,6.0181932,0.25234094,0.3836369,5.44099,1.4300331,0.036615815,0.7114241
django__django-15731,-0.0552183,3.765305,0.79334956,0.39929104,4.4969287,0.26943013,-2.905325,0.61846834
django__django-13741,-0.46033978,5.4767675,-0.4938369,0.37227568,4.710669,0.62504584,-3.1496594,0.5731803
django__django-7530,1.1834508,1.3842084,1.100698,0.34107128,0.60706466,0.091651045,-1.0989157,0.30633795
sphinx-doc__sphinx-8621,0.55952936,8.335627,1.7949896,0.7132947,7.5862107,2.1260712,1.9430516,0.70585847
astropy__astropy-14309,0.08603113,8.982073,1.6028913,0.9530412,4.867842,0.89446723,-6.227925,1.2535825
django__django-15916,0.5101918,7.936877,0.8642161,0.87829673,11.665934,3.3161454,2.8989751,0.95968986
django__django-12039,0.15296362,9.884126,0.68688977,1.134369,10.428785,2.5523539,-2.6588678,0.8528787
sphinx-doc__sphinx-11445,0.45378622,7.238198,1.3822701,1.0299984,7.416472,1.0637118,1.767618,0.61126316
pydata__xarray-6744,-0.10705893,8.930056,1.7312665,1.1457249,10.353291,2.239582,-0.8103007,1.0968723
pallets__flask-5014,0.60121685,8.29471,1.0261607,0.79611504,6.40243,0.27439907,-3.663979,0.6465316
sphinx-doc__sphinx-8551,-0.4660848,7.5112815,1.7552255,0.7063434,10.340944,1.5776589,2.3301518,0.8287014
django__django-11433,-0.03781868,6.5842905,1.3599875,1.0044068,8.114333,1.8527161,3.5373955,1.5298969
django__django-15741,0.220604,10.674904,1.2315127,0.88350654,9.493724,2.2706196,-2.652085,0.80755365
django__django-16032,0.42359266,6.4252143,1.219965,0.58352077,5.753718,0.76096416,1.39626,0.5534129
sympy__sympy-24539,0.13742465,5.217232,0.53906935,0.8908718,4.9685845,0.9998562,-2.9326575,0.7567116
sympy__sympy-21379,0.9889779,6.289849,0.60048294,0.5312295,4.6900444,1.0093814,1.545779,0.51085776
django__django-14315,0.39924562,10.94355,0.9905999,1.1265935,10.141905,1.3195356,4.47176,1.7053297
django__django-11095,0.5507703,7.4185967,0.8380036,0.8691886,9.238447,2.3000708,-5.074536,0.849015
mwaskom__seaborn-3187,0.12653537,11.0286455,1.0769541,0.6827115,7.668408,1.2686858,7.272882,1.6810267
scikit-learn__scikit-learn-13496,0.14096448,7.796985,1.6717243,0.88306504,10.952692,2.9736168,-4.170535,0.81424314
scikit-learn__scikit-learn-13135,0.6841503,9.721206,2.5044641,0.7367976,11.60872,2.279615,-1.242375,0.8809502
pydata__xarray-4966,-0.2462899,6.059445,1.4481639,0.7369307,5.238263,1.6304044,-1.5615569,0.78965336
django__django-15695,0.15889364,10.3951845,1.3551946,1.115002,7.226659,1.5991535,3.340894,0.85808885
sympy__sympy-24066,0.16809708,10.866511,1.193932,0.71801805,8.35891,1.6744822,-3.6899774,0.8967658
django__django-12273,0.3612314,5.542278,2.1568007,0.6637102,2.9676688,0.5558005,4.6787767,0.76107943
matplotlib__matplotlib-23314,0.25410205,7.8810883,2.5385933,0.73129016,5.2344394,0.70998716,-1.0471439,0.648047
django__django-15022,0.49284348,7.036109,-0.20339526,0.5138613,6.6848783,1.647814,-0.7095779,0.6317348
sphinx-doc__sphinx-9461,0.14707226,11.126421,1.1402897,1.1295958,2.3353512,1.5402819,8.240986,2.162263
scikit-learn__scikit-learn-14710,-0.20809393,2.3356535,1.0916218,0.42674008,1.2875873,0.2184106,-1.4181691,0.32371914
