,theta1,theta1_std,theta2,theta2_std,theta3,theta3_std,theta_avg
20250206_agentscope,0.7668017,0.23611982,-0.3490974,0.1810005,1.2923601,0.11639395,0.57002145
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.055162694,0.21690878,1.0463679,0.17400916,0.583485,0.105695665,0.56167185
20250629_deepswerl_r2eagent_tts,0.32432586,0.21189037,0.8171017,0.16014677,0.5089704,0.10631466,0.55013263
20241208_gru,1.4254124,0.20803334,-0.084005624,0.16573516,0.2932846,0.104817666,0.54489714
20250514_aime_coder,-0.29295206,0.22477433,0.050476052,0.18205315,1.8297989,0.12739204,0.52910763
20250415_openhands,-0.5706708,0.22211522,0.52588564,0.18051447,1.6161474,0.13482666,0.52378744
20250716_openhands_kimi_k2,-0.33203852,0.21978505,0.33832216,0.18887426,1.554098,0.1265597,0.52012724
20250410_cortexa,0.8020833,0.22976264,0.1909905,0.16082373,0.56176734,0.10288818,0.5182804
20250316_augment_agent_v0,-0.11030414,0.21067958,-0.13146822,0.16853166,1.7962247,0.11878057,0.5181508
20250522_sweagent_claude-4-sonnet-20250514,-0.91594565,0.23618735,0.6476137,0.18621127,1.7750766,0.13424352,0.5022482
20250225_sweagent_claude-3-7-sonnet,0.12926465,0.22514363,0.02799341,0.17423286,1.2963697,0.10732627,0.48454258
20250405_amazon-q-developer-agent-20250405-dev,-0.25105107,0.22982195,-0.23603792,0.17933802,1.9083868,0.12596458,0.47376594
20250224_tools_claude-3-7-sonnet,-0.45758313,0.2072197,0.48216584,0.17460611,1.3864347,0.12196274,0.47033915
20250728_zai_glm4-5,-0.86292505,0.21998481,0.7767313,0.18209171,1.4745187,0.11874733,0.462775
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.65770644,0.22928786,-0.98055845,0.1874259,1.619212,0.11752915,0.43212
20241212_google_jules_gemini_2.0_flash_experimental,0.31520224,0.20051593,0.92418367,0.17971858,0.006022528,0.10380079,0.41513613
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.8708234,0.19786973,0.2491587,0.16518542,0.021797244,0.102093905,0.38059315
20250228_epam-ai-run-claude-3-5-sonnet,0.86860037,0.23996551,-1.753686,0.18970214,1.993803,0.12338193,0.3695725
20241213_devlo,0.36222154,0.20794266,-0.42303655,0.16265923,1.122057,0.10289034,0.35374734
20241223_emergent,0.5516952,0.22937647,-0.67791337,0.1791363,1.0788757,0.11593664,0.3175525
20241023_emergent,1.0250405,0.20484146,0.11267582,0.17487653,-0.22353362,0.10994806,0.30472755
20250203_openhands_4x_scaled,0.09431164,0.2180883,-0.6856219,0.16633585,1.5009023,0.110211164,0.30319735
20250804_codesweep_sweagent_kimi_k2_instruct,0.92993444,0.23348893,-0.63901556,0.18105781,0.5923385,0.107179314,0.29441914
20240824_gru,1.1129848,0.22020768,0.12596238,0.17660233,-0.38252938,0.10119126,0.2854726
20250901_entroPO_R2E_QwenCoder30BA3B,0.00986162,0.21333902,0.43678787,0.16076133,0.3966452,0.09842317,0.28109822
20250924_artemis_agent_v2,-0.8544325,0.21659392,0.66464376,0.17229985,1.0220854,0.104754284,0.27743223
20241106_navie-2-gpt4o-sonnet,0.6884591,0.1993684,0.102894105,0.16995692,-0.062171336,0.09953269,0.24306063
20241028_solver,0.4696655,0.21064538,-0.2043865,0.1720576,0.43875432,0.10250756,0.23467778
20240628_autocoderover-v20240620,0.75022584,0.19459309,0.9019605,0.17625841,-0.9789784,0.10823857,0.22440267
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,-0.39282516,0.19557196,0.5826264,0.1673338,0.4783943,0.09491016,0.22273184
20250405_swe-rizzo_claude37,-0.47764623,0.21476808,0.043014385,0.17637384,1.0917426,0.11006183,0.21903694
20241202_amazon-q-developer-agent-20241202-dev,0.23505126,0.20679793,-0.68019176,0.17134081,1.076483,0.10676693,0.2104475
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.18277304,0.19789518,-0.15872833,0.1554601,0.5937407,0.09514485,0.20592846
20241108_devlo,0.45012963,0.21931058,-0.99506295,0.19298536,1.0987432,0.10888881,0.18460329
20241212_epam-ai-run-claude-3-5-sonnet,0.5027571,0.22055607,-1.2024233,0.1953578,1.2484226,0.11181915,0.18291879
20240924_solver,1.2052323,0.20894778,-0.67151225,0.1840985,-0.008246313,0.099889904,0.1751579
20240617_factory_code_droid,1.3608576,0.22328228,0.2129564,0.17166539,-1.0684261,0.10894415,0.16846263
20241025_composio_swekit,0.76254547,0.21982342,-0.69548386,0.17996812,0.4262729,0.10582345,0.16444483
20250118_codeshellagent_gemini_2.0_flash_experimental,0.53735054,0.20195992,-0.006672647,0.16528493,-0.056622863,0.101711325,0.15801835
20250616_Skywork-SWE-32B+TTS_Bo8,-0.026683804,0.18687579,0.33264798,0.15728417,0.15536535,0.10294069,0.15377651
20240920_solver,0.82668895,0.21051165,-0.1838233,0.17068164,-0.18612628,0.10302958,0.15224646
20250520_openhands_devstral_small,0.066880144,0.2003987,0.2654303,0.1603457,0.11031572,0.10175373,0.14754204
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,0.463195,0.19811109,-0.19500384,0.17301764,0.14424618,0.10253345,0.13747911
20250226_swerl_llama3_70b,0.08246671,0.18107203,0.6628457,0.15866175,-0.37452134,0.10100737,0.12359702
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,1.0470551,0.19027944,0.74064785,0.17274691,-1.4252932,0.10551953,0.120803274
20241105_nfactorial,0.959121,0.20122986,-1.232395,0.19074251,0.61329,0.0968622,0.11333865
20241125_marscode-agent-dev,0.14149138,0.19837599,-0.4976642,0.16206557,0.68767464,0.10534622,0.110500604
20250214_agentless_lite_o3_mini,-0.015347649,0.20663145,0.6673857,0.1638239,-0.3255021,0.092805535,0.108845316
20250112_ugaiforge,0.8504226,0.21375659,-0.2009695,0.17707428,-0.33032843,0.100945115,0.10637489
20250528_patchpilot_Co-PatcheR,-0.15623282,0.18368402,0.2736015,0.16487494,0.19393301,0.10028379,0.10376724
20241028_agentless-1.5_gpt4o,0.5391989,0.19478242,0.4330436,0.17266735,-0.6615074,0.102525264,0.10357835
20241113_nebius-search-open-weight-models-11-24,0.60891575,0.19445558,0.13273062,0.17309952,-0.46279126,0.095813066,0.09295169
20240721_amazon-q-developer-agent-20240719-dev,1.0675724,0.22618681,-0.31715772,0.16845152,-0.55145156,0.10012543,0.066321015
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,0.87913036,0.1968737,0.7832119,0.1862866,-1.4810289,0.11089436,0.0604378
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,-0.0037674804,0.20210594,-1.026617,0.17215706,1.207957,0.10058151,0.05919083
20250511_sweagent_lm_32b,0.42922872,0.20661579,0.10890218,0.17205046,-0.36705312,0.10432233,0.05702592
20241030_nfactorial,0.24749352,0.2026639,0.19283494,0.16321412,-0.2834987,0.09834377,0.052276593
20250806_SWE-Exp_DeepSeek-V3,0.33090764,0.19767503,-0.1175616,0.17380096,-0.07960161,0.10187031,0.044581473
20250527_amazon.nova-premier-v1.0,0.19747773,0.19423524,0.052988812,0.1678521,-0.13611752,0.097377285,0.038116336
20250120_Bracket,-0.60381764,0.20317218,-0.524097,0.17059068,1.2184098,0.106293425,0.030165037
20250629_deepswerl_r2eagent,-0.363647,0.18999264,0.5470469,0.17301463,-0.10132761,0.10577081,0.027357424
20241016_composio_swekit,0.43398544,0.18471208,-0.16189265,0.16572468,-0.2298412,0.09953319,0.014083862
20241022_tools_claude-3-5-haiku,0.52344835,0.19326378,-0.36920434,0.177064,-0.17368068,0.097025074,-0.006478891
20240820_honeycomb,0.43311188,0.20903432,-0.35036036,0.18643591,-0.14750753,0.10054064,-0.02158534
20241029_epam-ai-run-claude-3-5-sonnet,0.31588015,0.19755821,-0.12233419,0.1748845,-0.30576584,0.09885978,-0.037406623
20241022_tools_claude-3-5-sonnet-updated,-0.04438104,0.21003976,-1.1206392,0.1823483,0.9876775,0.10327544,-0.059114236
20250616_Skywork-SWE-32B,-0.14348784,0.19713733,0.18584223,0.16885605,-0.29238486,0.09511129,-0.08334348
20241125_enginelabs,-0.099379614,0.2160098,-1.4390633,0.18612325,1.2828003,0.104159966,-0.08521422
20240612_MASAI_gpt4o,0.42293468,0.18161575,0.16437115,0.17830391,-0.873494,0.10113709,-0.095396064
20241016_epam-ai-run-gpt-4o,1.112233,0.21116963,0.22441699,0.19306478,-1.6303899,0.12003356,-0.0979133
20241002_lingma-agent_lingma-swe-gpt-72b,0.54054594,0.18639877,0.4221623,0.17815977,-1.3318987,0.10222146,-0.12306348
20240615_appmap-navie_gpt4o,0.7484972,0.20320316,0.27829963,0.19819577,-1.483822,0.11489193,-0.15234172
20250725_sweagent_devstral_small_2507,0.19330019,0.2106743,-0.5820796,0.17709896,-0.10016682,0.10379777,-0.16298208
20240620_sweagent_claude3.5sonnet,0.08864397,0.19920379,-0.31570274,0.18555205,-0.4250894,0.09343395,-0.21738271
20240918_lingma-agent_lingma-swe-gpt-72b,0.24464518,0.19548878,0.44658586,0.1819431,-1.3447303,0.11094331,-0.21783309
20241007_nfactorial,-0.01984799,0.18724304,-0.14429471,0.17876962,-0.55928093,0.09512825,-0.2411412
20240820_epam-ai-run-gpt-4o,0.287655,0.19081524,0.2662403,0.18150918,-1.389077,0.111589074,-0.2783939
20240509_amazon-q-developer-agent-20240430-dev,0.14374043,0.19212241,0.22527401,0.18364795,-1.2175101,0.111021765,-0.28283188
20241120_artemis_agent,-0.27218613,0.19243404,-0.17689474,0.17856523,-0.40745923,0.09988341,-0.28551337
20241001_nfactorial,0.34355634,0.1879628,-0.20815046,0.18329601,-1.0762033,0.0991178,-0.31359914
20250627_agentless_MCTS-Refine-7B,-0.9418221,0.20342779,0.95595366,0.17966917,-1.193197,0.105928086,-0.39302182
20240402_sweagent_gpt4,0.48399243,0.19671631,-0.3964159,0.2062844,-1.3389028,0.108055145,-0.41710877
20241002_lingma-agent_lingma-swe-gpt-7b,-0.33810455,0.22048,0.23149683,0.1969767,-1.5226676,0.12138797,-0.5430918
20240728_sweagent_gpt4o,-0.455818,0.19822812,-0.5132097,0.19255978,-0.7436599,0.103730656,-0.57089585
20240918_lingma-agent_lingma-swe-gpt-7b,-0.17785095,0.24827097,0.2220156,0.23408747,-2.371028,0.15844125,-0.7756211
20240402_sweagent_claude3opus,-0.12332025,0.2037694,-1.0830876,0.23590423,-1.2245198,0.11602294,-0.81030923
20240402_rag_claude3opus,-1.6301275,0.26135436,-1.2114353,0.27444667,-1.2775524,0.15174861,-1.3730383
20231010_rag_claude2,-1.3857712,0.30966997,-1.0547018,0.30784404,-1.9684482,0.1919309,-1.4696404
20240402_rag_gpt4,-1.4388136,0.32627633,-1.3262042,0.38336563,-2.2030456,0.23188856,-1.6560211
20231010_rag_swellama7b,-2.2498267,0.50525385,-0.40817508,0.39078826,-2.8001804,0.29327595,-1.8193941
20231010_rag_swellama13b,-2.6882677,0.524131,-0.7581463,0.4319944,-2.4200463,0.31455976,-1.9554868
20231010_rag_gpt35,-1.7346869,0.58692074,-1.0949906,0.57877815,-3.4053223,0.4626822,-2.0783331
