,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std,a3,b3,a3_std,b3_std
django__django-11206,0.7167551,0.76270455,0.16138613,0.26960903,0.8192994,0.8657978,0.18571123,0.28031248,0.64160335,0.5740446,0.16681986,0.41337463
django__django-11211,0.6451767,0.20963727,0.18375431,0.33947593,0.31214797,0.3651626,0.2492773,0.53455305,2.0940266,-0.21127051,0.24068254,0.14742763
django__django-11239,0.41181752,0.48030132,0.18755859,0.47299004,1.3830429,0.9665364,0.25068253,0.19470353,1.2921674,0.708541,0.19677481,0.2291334
django__django-11265,0.44153434,0.56252456,0.17639124,0.42688298,0.7537808,1.024228,0.1560672,0.31927875,0.8006134,0.7594314,0.17287642,0.30628482
django__django-11276,0.48696485,-0.084842406,0.17035449,0.43107402,0.3396078,0.09609705,0.23103449,0.49477813,0.9396653,-0.76700497,0.15618613,0.27875933
django__django-11292,0.7045252,-0.053331733,0.18727182,0.40559623,0.6027138,0.13375302,0.25075158,0.40310514,1.8510561,-0.7287558,0.24036539,0.17823377
django__django-11299,0.36338684,0.3535033,0.1966407,0.5378469,1.0294102,0.57825446,0.2041701,0.2550468,1.8131057,0.4652752,0.21784948,0.17062794
django__django-11333,0.4733638,0.402861,0.18758652,0.41187313,0.9610384,0.5806358,0.20010297,0.2598033,1.8217798,0.4074041,0.21036974,0.14929628
django__django-11400,0.8037226,1.911645,0.19920352,0.9037123,0.9010152,2.193301,0.2841418,0.9057373,1.3837118,2.5230353,0.3149082,0.83520824
django__django-11433,0.695253,0.96151686,0.1764973,0.390109,1.1985829,1.437959,0.23964791,0.27655104,1.3050281,1.2593995,0.2500264,0.28215194
django__django-11451,0.595575,-0.10874179,0.16945106,0.3933358,0.39546564,0.1504061,0.221223,0.491773,1.2592831,-0.8698394,0.18592998,0.23135659
django__django-11477,0.8634735,2.1352155,0.1725882,0.6080218,0.8206508,1.9342403,0.22214106,0.62547266,0.8462322,1.4697653,0.26743415,0.6286624
django__django-11490,0.49173406,0.43746907,0.17319262,0.3650692,1.0216944,0.7783547,0.19553688,0.2313636,1.3233014,0.6027935,0.19527772,0.20026247
django__django-11532,0.7783806,0.6126565,0.1626242,0.25042588,0.17447524,0.4822595,0.17564964,0.6020899,0.66371,0.5022025,0.15003195,0.32343087
django__django-11551,0.67324734,-0.4569472,0.17551464,0.47666922,0.66397387,-0.2543544,0.2553701,0.45425367,1.6851557,-1.2536919,0.24101464,0.26555827
django__django-11555,0.46168828,0.4040899,0.17064302,0.42222857,0.90827763,0.73335916,0.19051594,0.24791093,1.2405325,0.6055403,0.1991039,0.20378274
django__django-11603,0.69623435,-0.698233,0.18138963,0.55389,0.55072963,-0.20373379,0.26012918,0.5768153,1.5563718,-1.6077988,0.24941629,0.32437086
django__django-11728,0.75983584,1.249009,0.16823575,0.44554284,1.2702664,1.5934256,0.23965482,0.31301168,0.9204283,1.1339628,0.24638467,0.43170202
django__django-11734,0.7884124,1.6792809,0.1855435,0.593029,0.74760497,1.603438,0.2354366,0.67776155,1.4503326,2.2438593,0.27891666,0.46400562
django__django-11740,0.20224698,0.32780007,0.20450841,0.6120852,1.3862255,0.30104166,0.25554627,0.19400406,1.645177,0.12277637,0.2059348,0.17843986
django__django-11749,0.55632824,0.18994132,0.18733612,0.40753716,0.30253878,0.31037584,0.2373992,0.5100074,1.748422,-0.34401992,0.20232697,0.1612103
django__django-11790,1.0153948,1.0107069,0.16263713,0.22061689,0.56246215,0.67407537,0.18307857,0.4083212,-0.25825214,0.13402173,0.16753621,0.5330923
django__django-11815,0.4875196,0.20124099,0.17384914,0.42964023,0.027530888,0.43228504,0.19332275,0.6175312,1.1456378,-0.22093944,0.16872871,0.21026935
django__django-11820,0.7683701,1.5824009,0.18514262,0.7285176,1.0088301,1.8753608,0.2665076,0.5923924,1.4490876,2.2916024,0.30222562,0.51222295
django__django-11848,0.7408822,0.5947842,0.17367394,0.28688896,0.99979925,0.9503116,0.18197696,0.22577275,0.15098694,0.31135914,0.15813382,0.6892031
django__django-11880,0.80912906,-0.8820813,0.2077528,0.53604555,0.9289745,-0.5704712,0.28948045,0.41119957,1.5785773,-1.3187696,0.27934802,0.3583718
django__django-11885,0.6157482,1.1211828,0.16961795,0.57961076,1.3012202,1.8175784,0.25872827,0.3100002,1.1453891,1.5181296,0.27052838,0.41287845
django__django-11951,0.47099358,0.04240512,0.18607001,0.46450672,0.41682538,0.18880664,0.23201542,0.45053586,1.6544243,-0.84089035,0.23443271,0.19923048
django__django-11964,0.7293731,1.1014456,0.13488732,0.28218022,0.2971387,0.6848637,0.17507015,0.5018216,0.63508534,0.8160456,0.1669209,0.36056644
django__django-11999,0.83404815,-0.33393103,0.17305592,0.30535325,0.6495357,0.05325852,0.2495005,0.39085236,1.4213103,-0.74791265,0.21732448,0.23290901
django__django-12039,0.39282623,0.2855009,0.17671163,0.47266832,1.0475564,0.37922445,0.22951676,0.22093703,1.1544158,0.16930884,0.17606935,0.24109481
django__django-12050,0.55692005,-0.122788794,0.18297905,0.500187,0.7266958,-0.16294713,0.26832137,0.41661745,1.7021511,-1.159673,0.24041772,0.22344631
django__django-12125,0.52754503,0.45090675,0.17781743,0.37143356,0.60993844,0.64434606,0.19722335,0.32537416,1.2215749,0.5501344,0.190088,0.20406923
django__django-12143,0.8822584,-1.0715086,0.19634907,0.45615685,0.99728435,-0.827548,0.26235762,0.43777287,1.1660212,-1.0390794,0.25920987,0.45687082
django__django-12155,0.52270263,-0.68662703,0.17450564,0.65534985,1.0101273,-1.4457166,0.22869642,0.47999597,1.041856,-1.4731202,0.24275874,0.47980255
django__django-12193,0.6803862,0.04393203,0.1617414,0.27006888,0.21241817,0.37282753,0.17534947,0.49625412,0.48590586,0.0302577,0.13277669,0.37252498
django__django-12209,0.76899785,-0.26176775,0.17961295,0.33142805,0.525912,0.1422207,0.24865404,0.44417828,1.5334862,-0.78402585,0.2035328,0.21979064
django__django-12262,0.3589679,0.27181602,0.20373937,0.48051542,0.61262953,0.33988848,0.22549646,0.31729543,1.6220008,-0.041581977,0.20179507,0.18347532
django__django-12273,0.66712683,1.3030952,0.14648557,0.4035198,0.5613767,1.2043804,0.20143947,0.46302235,1.2451371,1.4244789,0.22491711,0.28102273
django__django-12276,0.50457007,-0.1926492,0.17950903,0.49931833,0.33838996,0.18252097,0.25164145,0.5924829,1.473062,-1.2150154,0.21208307,0.22423284
django__django-12304,0.5147947,0.33812246,0.20667753,0.43100345,0.35478407,0.41420886,0.22861308,0.49770278,2.1055913,0.0774847,0.25588998,0.14230481
django__django-12308,0.68790585,0.8907062,0.17456858,0.3658244,0.7726147,1.598568,0.14620663,0.34342468,0.5125524,0.84629613,0.20186867,0.4983779
django__django-12325,0.814608,1.8168461,0.1190324,0.33259898,0.48968336,0.9805799,0.18453947,0.5396148,0.53918785,1.0085105,0.18515742,0.54754204
django__django-12406,0.78872275,1.9882332,0.21314803,0.85924596,0.94285214,2.0810547,0.26819712,0.83921164,1.4215274,2.447855,0.28663194,0.7420219
django__django-12419,0.8894958,-1.2862962,0.14976385,0.378602,0.44157842,-0.1530958,0.23694173,0.56121963,1.051229,-1.070425,0.21183084,0.3991398
django__django-12663,0.54890776,0.42503887,0.18327713,0.37370086,0.40948805,0.55913776,0.1981906,0.461745,1.8951255,0.72066486,0.23115551,0.1425876
django__django-12708,0.44809175,0.20861524,0.19342756,0.47916272,0.8692656,0.21695668,0.21821481,0.27057064,1.6560097,-0.16131514,0.19962515,0.17096101
django__django-12713,0.69757295,-0.41427258,0.16531257,0.3316863,0.64834017,-0.050967515,0.25178093,0.44354522,1.2874359,-0.7769457,0.20046222,0.23578024
django__django-12741,0.555186,0.14099836,0.19025731,0.35039106,0.62242806,0.22384201,0.23553106,0.33406588,1.5044577,-0.35494676,0.18479139,0.19107744
django__django-12754,0.3193044,0.42092377,0.19613752,0.5429121,0.937321,0.7171645,0.2111475,0.27130702,1.8807878,0.6484009,0.24915606,0.16276783
django__django-12774,0.50112116,0.4546245,0.19589782,0.4119987,0.6926023,0.6273105,0.20384292,0.32236785,1.9759791,0.61544216,0.253751,0.14508153
django__django-12858,0.46886846,0.21781524,0.17948142,0.42937127,0.8271082,0.22892627,0.2274715,0.2928621,1.506542,-0.22217768,0.2076202,0.17509201
django__django-12965,0.48036575,0.43063462,0.17338854,0.47805274,0.8920198,0.7562432,0.20051798,0.2725624,2.0323424,0.8486814,0.27932578,0.14752485
django__django-13012,0.53820556,0.19906642,0.18617666,0.38607597,0.3469269,0.2915837,0.21372153,0.49826285,1.4387355,-0.16731863,0.17714849,0.18433747
django__django-13023,0.30525503,0.3558052,0.17576155,0.5152017,0.33409026,0.5059421,0.20517789,0.47381383,1.6394757,0.6850826,0.21025303,0.15136816
django__django-13028,0.5028307,0.12610301,0.18690541,0.43044713,0.91415405,-0.018696776,0.23496951,0.30282947,1.6224722,-0.6275686,0.21287924,0.18407658
django__django-13033,0.25105786,0.32344458,0.19843382,0.5950209,0.46873844,0.49000806,0.21758473,0.45024964,2.1502492,0.30344498,0.2837859,0.13511628
django__django-13089,0.65441436,-0.7451482,0.18396151,0.5758773,0.57272255,-0.33302286,0.25919926,0.5824702,1.5551121,-1.6684606,0.23578252,0.31016645
django__django-13109,0.7681094,-0.6634143,0.18984437,0.54662544,0.93644136,-0.62542045,0.2647872,0.4622919,1.5613973,-1.4373319,0.27792695,0.3125079
django__django-13112,0.4695027,0.45412272,0.1754818,0.45158485,0.76307565,0.7171597,0.19819859,0.32145017,1.9457825,0.8329101,0.26339298,0.15075319
django__django-13121,0.39625165,0.43168184,0.19895956,0.48547128,0.6202821,0.5942,0.19730116,0.35755062,1.954054,0.59986883,0.24045177,0.16234629
django__django-13128,0.56934744,0.44519782,0.1790843,0.35393095,0.895089,0.70849025,0.198894,0.26863378,1.942175,0.661349,0.24049222,0.15772071
django__django-13158,0.45893264,0.3863725,0.1818122,0.45416206,0.60258687,0.48972318,0.20416506,0.3686114,1.8237823,0.35651392,0.2214573,0.14885622
django__django-13195,0.74497,1.6503898,0.18554616,0.72297704,1.0125129,1.9796807,0.25663576,0.6098001,1.3062724,2.1632433,0.29806793,0.572577
django__django-13212,0.7728105,2.0671136,0.20571387,0.94924945,0.94939977,2.0840533,0.2830681,0.7878853,1.4137924,2.583448,0.3112854,0.76731044
django__django-13279,0.617936,0.23631524,0.18329859,0.34183195,0.39677075,0.38007,0.21874566,0.450952,1.579434,-0.048202444,0.20416135,0.1786417
django__django-13297,0.40349054,0.3991033,0.18505237,0.47395635,0.9398847,0.6214215,0.21022591,0.25325656,1.8429182,0.5608042,0.23963729,0.15442146
django__django-13315,0.7057581,0.27766177,0.18557994,0.28191367,0.39626327,0.42196548,0.19385967,0.4304667,1.3990675,0.026630143,0.18696204,0.18060422
django__django-13343,0.5258722,0.17447565,0.18554994,0.38061848,0.523717,0.2644619,0.21531586,0.36793506,1.3943281,-0.3197244,0.17922336,0.19531646
django__django-13344,0.79005766,1.9608591,0.19461426,0.9901981,0.9615163,2.1599882,0.29002577,0.84934074,1.4132062,2.5142555,0.3070092,0.86280566
django__django-13346,0.47958633,0.45422703,0.18080144,0.43818468,0.66174823,0.5915668,0.1979197,0.31200665,1.8413532,0.69187975,0.22884089,0.14793827
django__django-13363,0.69910425,-0.5340209,0.18568687,0.44901147,0.83882743,-0.4354965,0.24956839,0.4026785,1.4720713,-1.1723421,0.22336906,0.30311584
django__django-13401,0.7863329,0.14200109,0.1881248,0.26811346,0.162601,0.33942077,0.21138568,0.59928757,1.3711451,-0.09444261,0.17593034,0.18325597
django__django-13406,0.32591534,0.39005148,0.19575265,0.5481416,0.34321123,0.52579653,0.19456396,0.4686169,1.7201226,0.5664101,0.20606409,0.15667187
django__django-13410,0.9607855,-0.99053633,0.18979275,0.3473869,0.6345056,-0.20709991,0.25752342,0.4767495,1.3539957,-1.0171583,0.23490252,0.31432945
django__django-13417,0.47212103,0.08078083,0.18933555,0.4594055,0.5100655,0.11540568,0.23482645,0.4657709,1.7824274,-0.9144624,0.23492041,0.18795559
django__django-13449,0.46917364,0.35523632,0.18794312,0.439098,1.1193748,0.4033673,0.23573929,0.22448419,1.8345121,0.17379874,0.22957239,0.15878876
django__django-13512,0.60914683,0.57207453,0.17631064,0.37443447,0.8732817,0.9072082,0.19042332,0.2680452,1.3141744,0.8135615,0.19163916,0.2034365
django__django-13513,0.8066798,2.0175672,0.19288051,0.8723259,0.9149544,2.18353,0.27728096,0.8036572,1.3763502,2.5417972,0.3037266,0.7741751
django__django-13516,0.7393072,-0.2508838,0.19523932,0.37228343,0.47592103,0.15643616,0.2654927,0.498342,1.797191,-0.9321726,0.23869102,0.19158787
django__django-13551,0.31302437,0.40485188,0.17979074,0.528429,1.3358262,0.6991792,0.23157236,0.19605523,1.2956132,0.48448434,0.18806748,0.22251599
django__django-13568,0.43490446,0.43553257,0.18404217,0.43109915,1.107948,0.7681191,0.20060652,0.22204813,1.3786484,0.62154925,0.20676467,0.21141912
django__django-13569,0.46018815,0.22154905,0.18676284,0.43667114,0.62080824,0.15428498,0.2300273,0.34713566,1.5382814,-0.4605491,0.20203105,0.17716873
django__django-13590,0.7475123,-0.040362712,0.1945698,0.3060531,0.70330524,0.115019396,0.22046548,0.3336125,1.2662919,-0.30937165,0.18934411,0.21760368
django__django-13658,0.5986811,-0.8810827,0.18198822,0.65701103,0.64384174,-0.7111902,0.24908572,0.6363236,1.4213784,-2.1388843,0.24952255,0.4307719
django__django-13670,0.7390131,-0.37276024,0.17403558,0.5032032,0.21758866,0.20926243,0.26992536,0.63746417,1.6892798,-1.4311153,0.24024054,0.2623448
django__django-13741,0.7199321,-0.89059144,0.1888285,0.52047676,0.5440884,-0.25448853,0.25850144,0.628601,1.4007711,-1.4575181,0.22402838,0.36496586
django__django-13786,0.7681141,-0.596847,0.17032646,0.4057284,0.5776402,-0.20862931,0.2570235,0.5060477,1.3805171,-1.1252548,0.2207296,0.28378534
django__django-13794,0.85513127,1.9983834,0.14603576,0.43366486,0.86608005,1.647929,0.2065412,0.44823745,0.22672983,0.5168959,0.22701243,0.7622979
django__django-13807,0.5662948,0.599814,0.17634118,0.3865647,1.2727729,0.98720396,0.2084164,0.20830004,1.2795717,0.71767545,0.18392764,0.23356736
django__django-13809,0.61120707,-0.094636776,0.18269762,0.38248554,0.26024994,0.30075184,0.22793356,0.57456803,1.1202334,-0.7917302,0.16574863,0.22650579
django__django-13810,0.65673506,-0.10128465,0.15877233,0.33968228,1.1589338,-0.24879684,0.23015001,0.2090398,1.0029018,-0.28107423,0.19225316,0.2670335
django__django-13820,0.8378118,-0.74941885,0.19705239,0.4558709,0.64224494,-0.19486426,0.26618764,0.46334758,1.583186,-1.171987,0.24501076,0.29933447
django__django-13821,0.7083348,-0.4181405,0.18510114,0.44971812,0.59245586,-0.108811714,0.26044983,0.48685867,1.5959749,-1.0970206,0.2262165,0.24613778
django__django-13837,0.7100602,-0.10346389,0.18661097,0.32024398,0.52056414,0.2322529,0.22714873,0.3885523,1.4684857,-0.5110087,0.1920953,0.19502722
django__django-13925,0.6194252,0.45859176,0.16651444,0.329762,0.7552489,0.69738656,0.18969849,0.2865277,0.9386559,0.51157236,0.16286883,0.24185835
django__django-13933,0.7601561,-0.45132408,0.1673896,0.36617076,0.567851,0.024757823,0.25085238,0.46806914,1.3804158,-0.84553087,0.19809182,0.24470538
django__django-13964,0.45687068,0.3496774,0.19103646,0.4248522,0.637008,0.47691336,0.19670238,0.34676695,1.4332252,0.281776,0.17996545,0.19510752
django__django-14007,0.4166422,0.35730308,0.2108175,0.46770778,0.35576403,0.40880963,0.21020743,0.52708966,1.8337036,0.03221747,0.22289507,0.14112625
django__django-14011,0.76639056,1.8828688,0.19890375,0.8438459,0.88658166,2.1327884,0.25184807,0.89601064,1.423868,2.6212738,0.30956554,0.7959552
django__django-14017,0.3997973,0.33337355,0.19726717,0.44094932,0.560276,0.40261707,0.21654257,0.37169546,1.9285383,0.0121409455,0.24418189,0.14914906
django__django-14034,0.795388,2.0568497,0.19966489,1.0095758,0.9451941,2.1660998,0.26544315,0.91661584,1.3780776,2.574188,0.30564934,0.76870465
django__django-14053,0.68819845,-0.23529433,0.16961834,0.34280297,0.68446517,-0.038564783,0.21879348,0.3515852,0.87044454,-0.60554767,0.16628641,0.29839098
django__django-14089,0.75516695,-0.8703853,0.1717103,0.4906758,0.72008526,-0.38671994,0.2560092,0.523478,1.4903958,-1.4993994,0.24564818,0.33952335
django__django-14122,0.5169416,0.2919504,0.18275124,0.4254939,0.7421422,0.3439042,0.21454778,0.29579264,1.5177591,0.012778697,0.19321002,0.16276887
django__django-14140,0.77235097,1.2878407,0.12298459,0.2676834,0.25282472,0.6161478,0.16235533,0.55923015,0.3330006,0.57820606,0.1559261,0.52295506
django__django-14155,0.79025656,1.9734522,0.19882366,0.97856283,0.9246397,2.0806653,0.26412386,0.96753675,1.4155465,2.5583277,0.30370963,0.76683205
django__django-14170,0.85084534,1.7038561,0.18030393,0.5742177,0.8151022,1.732256,0.26247364,0.5761982,1.3255547,1.9877883,0.2723199,0.447735
django__django-14238,0.6160277,-0.110936984,0.17586799,0.4020758,0.54442304,0.05298899,0.24244225,0.4406783,1.6994244,-0.8542127,0.2257779,0.19108868
django__django-14311,0.42387977,0.35623243,0.1905146,0.46514207,1.035652,0.59895825,0.21637358,0.23773979,1.7351409,0.47933608,0.2368504,0.16876717
django__django-14315,0.7293966,1.6147045,0.18381804,0.5626809,0.7968073,1.7115862,0.2452189,0.5599303,1.2282004,2.0077236,0.269762,0.444331
django__django-14349,0.64259374,-0.24653165,0.18051752,0.39900678,0.4954663,0.029988915,0.26296893,0.48089793,1.5285201,-0.9712571,0.21332505,0.21200436
django__django-14351,0.43540576,0.4715386,0.17978653,0.45918816,0.9985718,0.8315741,0.19172159,0.21911477,0.91100514,0.581778,0.18132512,0.2698192
django__django-14373,0.8100873,-1.0775112,0.20115289,0.6443034,0.9008041,-0.9226443,0.27890694,0.64270043,1.6287248,-1.7888241,0.29783866,0.41408965
django__django-14376,0.7049927,0.9703119,0.15498738,0.3528322,0.69817233,1.1007375,0.18975079,0.35300183,1.3202273,1.3105506,0.21726543,0.23159297
django__django-14404,0.62370825,0.7266778,0.16844083,0.3631763,0.56207865,0.9159187,0.19258514,0.3760231,1.3948456,1.1221589,0.22140802,0.22045651
django__django-14434,0.6586449,0.12597021,0.1790713,0.31251281,0.6002315,0.29687753,0.22298513,0.37666678,1.5961823,-0.2626655,0.20180513,0.1662499
django__django-14493,0.7193999,-0.16027911,0.18119717,0.33413056,0.45910722,0.16770987,0.24493746,0.46231627,1.5859838,-0.7765299,0.22111353,0.19308269
django__django-14500,0.63813883,0.036292892,0.17766196,0.33065706,0.7860688,0.023204425,0.20836207,0.27704808,0.91250193,-0.23519768,0.17178805,0.2600309
django__django-14534,0.7525206,1.404634,0.16042654,0.48958728,0.8658624,1.6687223,0.2109483,0.42550325,1.0978688,1.591368,0.26387888,0.42996094
django__django-14539,0.24687213,0.35059562,0.19005713,0.63328165,0.32957092,0.28902018,0.23298499,0.5121062,1.6611878,-0.66198295,0.21049759,0.17883584
django__django-14559,0.49489096,0.06736862,0.16501199,0.43438625,0.71197,0.09689216,0.20711315,0.32640883,1.0893339,-0.3895097,0.17858464,0.25324202
django__django-14580,0.4128174,0.35944888,0.1950581,0.49807063,0.657175,0.5400821,0.20090148,0.34249032,1.760796,0.4812484,0.21918081,0.16482866
django__django-14608,0.5179033,0.17470667,0.18567498,0.42704546,0.23694219,0.3246045,0.21627867,0.54752094,1.5187804,-0.41419286,0.18560594,0.17601228
django__django-14631,0.3889272,0.4451276,0.1854203,0.47497642,0.8003431,0.8593895,0.18279462,0.28568497,1.367541,0.7954782,0.2031082,0.20718737
django__django-14672,0.67301506,-0.38774008,0.18204647,0.45179853,0.78539276,-0.2797986,0.23648256,0.41907215,1.460081,-1.1416959,0.21575129,0.26838827
django__django-14725,0.66364837,1.3187125,0.17954358,0.6589557,1.0720824,1.8992763,0.2373098,0.43027037,1.3393447,1.7917358,0.2821053,0.3771541
django__django-14752,0.77065116,-0.6361793,0.1844339,0.47220993,0.864471,-0.48564485,0.27372515,0.44785225,1.6426699,-1.378064,0.2751978,0.3122235
django__django-14765,0.66436416,-0.5724372,0.18721852,0.5396459,0.34255138,0.0012435992,0.27620676,0.6031469,1.5773674,-1.6235278,0.23230515,0.30096743
django__django-14771,0.63121575,0.43277398,0.17080782,0.32320023,0.31338435,0.5350813,0.19179438,0.49487895,1.4055942,0.4993096,0.18468475,0.17152244
django__django-14787,0.5267843,0.120978534,0.17711455,0.39643246,0.5827961,0.16529457,0.2410097,0.37307942,1.823169,-0.73809385,0.22668315,0.1719763
django__django-14792,0.7268215,1.5407364,0.1915137,0.6702943,0.9846258,2.034885,0.2553457,0.6168648,1.2871902,2.237876,0.30245048,0.55799294
django__django-14855,0.6817545,-0.7902695,0.18401223,0.5719728,1.1189483,-1.0645043,0.25399703,0.42263728,1.2033963,-1.2438297,0.243064,0.4524078
django__django-14915,0.7590577,-0.67128676,0.18018505,0.47791654,0.99864227,-0.52583134,0.26824933,0.43160015,1.4710034,-1.1633253,0.2294819,0.29579064
django__django-14999,0.47549585,0.14466044,0.17130648,0.37607056,0.79201466,0.11824101,0.2019033,0.25793096,0.8863231,-0.120423,0.17679778,0.24696359
