solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
2,4,4,3,3,4,1,5,4,5,4,3,4,1,3,4,4,3,4,5,caffe-cifar-10,2026-03-06T15:15:07.811259,gpt-5.4-2026-03-05,openai,caffe-cifar-10,4,5,2,5,4,3,5,3
2,4,3,4,4,4,0,4,4,4,4,2,4,1,2,4,4,3,3,3,reshard-c4-data,2026-03-06T15:19:05.473634,gpt-5.4-2026-03-05,openai,reshard-c4-data,4,5,1,2,2,2,1,1
3,5,5,4,3,4,1,5,4,5,4,2,4,1,3,4,4,2,4,4,mcmc-sampling-stan,2026-03-06T15:18:53.081789,gpt-5.4-2026-03-05,openai,mcmc-sampling-stan,4,5,1,4,3,1,4,1
2,4,3,4,3,4,1,5,5,5,4,2,4,1,2,4,5,3,3,3,portfolio-optimization,2026-03-06T15:19:01.042419,gpt-5.4-2026-03-05,openai,portfolio-optimization,4,5,2,2,4,4,2,1
2,3,4,4,4,4,1,4,2,4,4,1,3,1,2,3,3,1,3,2,raman-fitting,2026-03-06T15:19:02.870469,gpt-5.4-2026-03-05,openai,raman-fitting,5,5,1,1,1,1,1,1
2,4,5,4,4,4,1,4,3,4,4,3,3,0,2,3,4,2,5,5,make-doom-for-mips,2026-03-06T15:30:31.214443,gpt-5.4-2026-03-05,openai,make-doom-for-mips,4,5,2,3,4,2,2,2
1,4,4,4,4,2,1,4,4,5,4,2,4,0,2,3,4,2,1,2,break-filter-js-from-html,2026-03-06T15:15:12.981660,gpt-5.4-2026-03-05,openai,break-filter-js-from-html,5,5,1,1,1,4,2,1
3,5,3,2,1,2,1,5,4,5,2,1,4,1,2,4,3,2,2,2,openssl-selfsigned-cert,2026-03-06T15:18:50.890350,gpt-5.4-2026-03-05,openai,openssl-selfsigned-cert,5,5,1,1,1,2,1,1
2,4,3,2,2,3,1,4,4,4,2,2,4,1,2,3,2,2,2,3,sqlite-with-gcov,2026-03-06T15:19:02.406802,gpt-5.4-2026-03-05,openai,sqlite-with-gcov,4,5,1,2,4,2,2,4
1,4,3,4,3,4,1,4,4,4,4,1,4,1,2,5,5,4,3,2,query-optimize,2026-03-06T15:19:01.859117,gpt-5.4-2026-03-05,openai,query-optimize,5,5,1,1,2,3,1,1
2,4,5,4,4,4,1,4,3,4,5,2,4,0,2,4,4,3,5,3,torch-pipeline-parallelism,2026-03-06T15:19:03.215628,gpt-5.4-2026-03-05,openai,torch-pipeline-parallelism,4,5,1,2,3,2,3,1
2,5,4,4,4,4,1,4,4,5,4,3,4,1,4,4,3,3,4,3,build-cython-ext,2026-03-06T15:15:07.991299,gpt-5.4-2026-03-05,openai,build-cython-ext,4,5,2,3,3,3,3,2
2,4,3,4,3,4,1,4,3,4,4,1,3,1,2,4,5,5,3,2,filter-js-from-html,2026-03-06T15:18:48.464451,gpt-5.4-2026-03-05,openai,filter-js-from-html,5,5,1,1,2,1,2,1
3,5,3,3,2,3,1,5,4,5,2,2,4,1,4,4,3,2,3,3,nginx-request-logging,2026-03-06T15:18:50.018666,gpt-5.4-2026-03-05,openai,nginx-request-logging,4,5,2,2,1,2,2,1
2,4,4,4,3,4,1,4,3,4,3,1,4,1,2,4,4,3,4,3,torch-tensor-parallelism,2026-03-06T15:19:03.965841,gpt-5.4-2026-03-05,openai,torch-tensor-parallelism,5,5,1,1,2,2,2,1
1,5,4,4,5,3,1,5,5,5,4,1,5,0,2,4,3,3,4,2,polyglot-c-py,2026-03-06T15:18:50.756333,gpt-5.4-2026-03-05,openai,polyglot-c-py,5,5,1,1,3,1,1,1
2,4,3,4,4,3,0,5,4,5,4,2,4,1,2,4,4,3,3,3,overfull-hbox,2026-03-06T15:18:51.306490,gpt-5.4-2026-03-05,openai,overfull-hbox,5,5,1,1,1,4,1,1
1,5,4,4,4,4,0,5,3,5,4,1,4,0,2,4,4,3,4,2,distribution-search,2026-03-06T15:18:48.459323,gpt-5.4-2026-03-05,openai,distribution-search,5,5,1,1,2,1,2,1
1,4,5,5,5,5,0,4,4,4,5,2,3,0,2,3,4,1,5,2,model-extraction-relu-logits,2026-03-06T15:18:50.231475,gpt-5.4-2026-03-05,openai,model-extraction-relu-logits,5,5,1,1,1,1,2,1
2,5,3,3,2,2,1,4,4,5,2,1,4,1,2,3,2,1,2,2,prove-plus-comm,2026-03-06T15:19:00.863457,gpt-5.4-2026-03-05,openai,prove-plus-comm,5,5,1,1,2,4,1,1
1,4,4,4,4,5,1,4,3,4,4,2,4,1,2,4,5,3,3,3,largest-eigenval,2026-03-06T15:18:49.181626,gpt-5.4-2026-03-05,openai,largest-eigenval,5,5,1,1,1,4,2,1
3,5,3,2,2,3,1,5,4,4,2,2,4,1,4,4,3,2,3,3,kv-store-grpc,2026-03-06T15:18:50.437277,gpt-5.4-2026-03-05,openai,kv-store-grpc,5,5,1,2,2,1,2,1
2,4,4,5,4,4,0,5,4,5,5,3,4,0,2,5,4,4,5,3,llm-inference-batching-scheduler,2026-03-06T15:18:51.448334,gpt-5.4-2026-03-05,openai,llm-inference-batching-scheduler,4,5,1,1,2,3,1,1
2,5,4,4,3,4,1,5,4,5,4,3,4,1,5,3,4,1,4,4,git-multibranch,2026-03-06T15:18:48.656356,gpt-5.4-2026-03-05,openai,git-multibranch,4,5,2,3,1,2,2,1
2,4,4,4,3,4,1,4,3,4,4,2,3,1,2,4,3,3,4,3,headless-terminal,2026-03-06T15:18:48.902747,gpt-5.4-2026-03-05,openai,headless-terminal,5,5,1,1,2,1,1,1
1,4,4,3,3,3,1,4,3,4,3,2,3,1,2,4,3,1,4,3,pytorch-model-cli,2026-03-06T15:19:03.337419,gpt-5.4-2026-03-05,openai,pytorch-model-cli,4,5,1,2,4,1,2,1
2,5,4,3,4,3,1,5,4,5,3,1,5,1,2,2,1,1,3,3,mteb-retrieve,2026-03-06T15:18:50.033551,gpt-5.4-2026-03-05,openai,mteb-retrieve,5,5,1,2,2,2,3,1
2,4,3,3,3,4,1,5,3,5,4,1,4,1,2,1,1,1,3,3,count-dataset-tokens,2026-03-06T15:18:48.176479,gpt-5.4-2026-03-05,openai,count-dataset-tokens,5,5,1,2,2,2,3,1
2,4,5,4,4,5,0,5,4,5,4,2,4,0,2,4,5,4,1,3,tune-mjcf,2026-03-06T15:19:02.700692,gpt-5.4-2026-03-05,openai,tune-mjcf,4,5,1,1,2,4,3,1
2,5,3,4,3,4,1,5,4,5,3,1,4,1,2,5,4,4,3,1,constraints-scheduling,2026-03-06T15:18:48.168245,gpt-5.4-2026-03-05,openai,constraints-scheduling,5,5,1,1,1,2,1,1
2,4,3,4,4,5,0,4,3,4,4,1,3,0,2,3,3,1,5,3,extract-moves-from-video,2026-03-06T15:18:48.131398,gpt-5.4-2026-03-05,openai,extract-moves-from-video,5,5,1,2,1,1,2,1
1,4,3,4,3,4,1,4,3,4,3,1,4,1,2,4,5,4,2,1,cancel-async-tasks,2026-03-06T15:15:07.126067,gpt-5.4-2026-03-05,openai,cancel-async-tasks,5,5,1,1,2,2,1,1
2,4,4,4,4,4,1,5,5,4,4,1,4,1,1,3,4,2,4,2,extract-elf,2026-03-06T15:18:49.814347,gpt-5.4-2026-03-05,openai,extract-elf,5,5,1,1,3,2,1,1
2,4,3,4,4,4,0,4,5,4,4,2,4,0,2,3,3,2,4,2,merge-diff-arc-agi-task,2026-03-06T15:18:52.536390,gpt-5.4-2026-03-05,openai,merge-diff-arc-agi-task,5,5,1,2,1,3,1,1
3,5,2,2,2,2,1,4,4,5,2,2,4,1,2,3,3,1,2,2,modernize-scientific-stack,2026-03-06T15:18:49.182055,gpt-5.4-2026-03-05,openai,modernize-scientific-stack,4,5,1,1,2,1,2,1
2,4,5,4,4,4,0,5,3,5,4,1,4,0,2,4,4,3,3,3,dna-insert,2026-03-06T15:18:47.396830,gpt-5.4-2026-03-05,openai,dna-insert,5,5,1,1,1,2,2,1
2,4,3,3,3,4,1,5,3,5,3,1,4,1,2,2,1,1,3,3,mteb-leaderboard,2026-03-06T15:18:49.449262,gpt-5.4-2026-03-05,openai,mteb-leaderboard,5,5,1,2,1,1,2,1
2,4,4,4,4,4,1,4,3,5,4,2,4,1,4,4,5,3,4,5,install-windows-3.11,2026-03-06T15:18:49.082280,gpt-5.4-2026-03-05,openai,install-windows-3.11,4,5,2,4,2,2,4,1
2,4,5,5,4,4,1,4,3,5,5,2,3,0,1,2,2,1,4,2,feal-differential-cryptanalysis,2026-03-06T15:18:50.902099,gpt-5.4-2026-03-05,openai,feal-differential-cryptanalysis,4,5,1,1,2,1,1,1
1,4,4,4,4,4,0,4,3,5,4,1,4,0,2,3,3,2,4,3,video-processing,2026-03-06T15:19:05.812161,gpt-5.4-2026-03-05,openai,video-processing,5,5,1,1,2,2,1,1
2,5,3,3,3,3,1,5,4,5,3,3,4,1,3,3,3,2,3,3,pypi-server,2026-03-06T15:19:01.986167,gpt-5.4-2026-03-05,openai,pypi-server,4,5,1,2,1,2,2,1
1,4,3,4,3,2,1,4,2,5,4,2,2,1,2,3,2,1,2,1,vulnerable-secret,2026-03-06T15:19:04.919470,gpt-5.4-2026-03-05,openai,vulnerable-secret,5,4,1,1,4,1,1,1
2,5,5,4,4,4,0,5,4,5,4,2,4,0,2,4,4,3,4,3,pytorch-model-recovery,2026-03-06T15:19:05.189754,gpt-5.4-2026-03-05,openai,pytorch-model-recovery,4,5,1,1,2,2,1,1
2,4,5,4,4,4,1,4,3,4,4,3,4,1,4,4,4,2,4,4,mailman,2026-03-06T15:18:50.075150,gpt-5.4-2026-03-05,openai,mailman,4,5,2,4,2,4,3,1
0,5,4,5,5,4,0,5,5,5,5,1,5,0,2,4,3,3,5,3,polyglot-rust-c,2026-03-06T15:19:00.973012,gpt-5.4-2026-03-05,openai,polyglot-rust-c,5,5,1,1,5,2,1,1
1,4,3,3,3,2,1,4,2,4,3,1,3,1,2,2,1,1,3,3,crack-7z-hash,2026-03-06T15:18:47.608453,gpt-5.4-2026-03-05,openai,crack-7z-hash,5,5,1,3,3,2,4,4
2,4,5,4,4,4,1,5,3,5,4,1,4,1,2,4,4,4,4,3,dna-assembly,2026-03-06T15:18:47.688993,gpt-5.4-2026-03-05,openai,dna-assembly,4,5,1,1,2,1,2,1
2,4,4,3,3,3,1,4,4,4,4,3,4,1,3,4,4,3,4,5,build-pov-ray,2026-03-06T15:15:16.094618,gpt-5.4-2026-03-05,openai,build-pov-ray,5,5,1,3,4,2,2,1
2,4,4,4,4,4,0,4,4,5,4,2,4,0,2,3,2,1,3,3,cobol-modernization,2026-03-06T15:18:48.493897,gpt-5.4-2026-03-05,openai,cobol-modernization,5,5,1,2,2,2,1,1
1,4,5,4,4,4,0,4,4,4,5,4,3,0,2,3,2,1,1,4,fix-ocaml-gc,2026-03-06T15:18:49.400519,gpt-5.4-2026-03-05,openai,fix-ocaml-gc,4,4,4,3,4,4,3,4
1,4,4,4,4,3,0,5,4,5,4,1,4,0,2,3,2,2,5,3,write-compressor,2026-03-06T15:19:05.153245,gpt-5.4-2026-03-05,openai,write-compressor,5,5,1,1,2,2,1,1
3,5,5,4,4,4,1,5,4,5,4,2,4,0,2,3,3,2,4,4,rstan-to-pystan,2026-03-06T15:19:03.433785,gpt-5.4-2026-03-05,openai,rstan-to-pystan,5,5,1,3,3,2,4,1
2,4,5,5,5,5,0,5,3,5,5,3,4,0,2,4,4,3,5,4,protein-assembly,2026-03-06T15:19:02.555973,gpt-5.4-2026-03-05,openai,protein-assembly,5,5,1,1,2,1,2,1
1,4,4,5,5,5,0,5,5,5,5,1,4,0,2,4,4,3,4,2,path-tracing,2026-03-06T15:18:50.795190,gpt-5.4-2026-03-05,openai,path-tracing,5,5,1,1,4,2,1,1
2,5,4,4,5,4,0,5,5,5,5,1,4,0,2,5,4,4,3,3,large-scale-text-editing,2026-03-06T15:18:49.331067,gpt-5.4-2026-03-05,openai,large-scale-text-editing,5,5,1,1,2,4,1,1
2,4,3,4,2,4,1,4,2,5,4,1,3,1,2,3,4,2,3,3,train-fasttext,2026-03-06T15:19:04.653009,gpt-5.4-2026-03-05,openai,train-fasttext,5,5,1,2,2,1,2,1
2,5,3,4,3,4,1,5,4,5,3,1,4,1,2,3,3,2,3,2,multi-source-data-merger,2026-03-06T15:18:49.951362,gpt-5.4-2026-03-05,openai,multi-source-data-merger,5,5,1,1,2,1,2,1
1,4,5,5,5,5,0,5,4,5,5,2,4,0,2,4,4,4,5,2,regex-chess,2026-03-06T15:19:03.863313,gpt-5.4-2026-03-05,openai,regex-chess,5,5,1,1,4,4,2,1
2,4,5,5,5,5,1,4,4,4,5,3,3,0,2,5,4,4,5,2,schemelike-metacircular-eval,2026-03-06T15:19:03.988242,gpt-5.4-2026-03-05,openai,schemelike-metacircular-eval,4,5,1,1,3,2,1,1
2,4,3,4,3,4,1,4,2,4,3,4,3,1,3,4,3,3,2,2,sanitize-git-repo,2026-03-06T15:19:03.414745,gpt-5.4-2026-03-05,openai,sanitize-git-repo,4,5,1,3,3,3,4,3
2,4,3,3,2,2,1,3,2,3,2,2,2,1,2,3,2,1,2,2,fix-git,2026-03-06T15:18:51.637738,gpt-5.4-2026-03-05,openai,fix-git,4,5,2,1,2,2,2,2
2,4,3,3,3,3,1,4,5,5,3,3,4,1,4,3,3,1,4,3,configure-git-webserver,2026-03-06T15:18:47.827065,gpt-5.4-2026-03-05,openai,configure-git-webserver,1,2,4,4,2,1,2,1
2,4,3,4,3,4,1,4,4,4,3,2,4,1,3,4,4,4,3,2,git-leak-recovery,2026-03-06T15:18:49.437880,gpt-5.4-2026-03-05,openai,git-leak-recovery,4,5,2,1,1,2,1,1
1,4,5,5,5,4,0,5,4,5,5,2,4,0,2,4,3,3,5,2,circuit-fibsqrt,2026-03-06T15:15:07.826762,gpt-5.4-2026-03-05,openai,circuit-fibsqrt,4,5,1,1,3,2,1,1
2,5,3,4,4,4,1,5,4,5,4,1,4,1,2,4,3,4,3,1,regex-log,2026-03-06T15:19:01.909276,gpt-5.4-2026-03-05,openai,regex-log,5,5,1,1,2,1,1,1
1,4,4,4,4,4,0,4,5,4,5,2,4,0,2,4,3,4,4,4,custom-memory-heap-crash,2026-03-06T15:18:47.121803,gpt-5.4-2026-03-05,openai,custom-memory-heap-crash,5,5,1,3,4,2,4,4
2,4,4,4,3,4,1,5,4,5,4,1,4,1,2,3,3,2,3,2,sparql-university,2026-03-06T15:19:02.863462,gpt-5.4-2026-03-05,openai,sparql-university,5,5,1,1,2,1,1,1
2,4,4,3,3,4,1,4,3,4,4,3,4,1,2,4,4,4,4,4,compile-compcert,2026-03-06T15:18:49.706227,gpt-5.4-2026-03-05,openai,compile-compcert,1,5,4,5,4,2,5,3
2,5,3,3,3,3,1,5,4,5,3,2,4,1,3,4,3,2,3,3,build-pmars,2026-03-06T15:15:07.929176,gpt-5.4-2026-03-05,openai,build-pmars,4,5,2,3,4,3,3,1
2,5,2,3,2,3,1,5,4,5,2,1,4,1,2,3,2,1,3,1,log-summary-date-ranges,2026-03-06T15:18:50.798426,gpt-5.4-2026-03-05,openai,log-summary-date-ranges,5,5,1,1,1,2,1,1
2,3,2,4,4,3,1,3,3,4,4,1,3,0,2,2,1,1,2,1,code-from-image,2026-03-06T15:18:47.385153,gpt-5.4-2026-03-05,openai,code-from-image,5,5,1,1,2,1,1,1
2,4,4,3,3,4,1,5,4,5,4,1,4,1,4,3,2,1,4,4,qemu-alpine-ssh,2026-03-06T15:19:01.329856,gpt-5.4-2026-03-05,openai,qemu-alpine-ssh,5,5,1,4,2,2,3,1
2,4,5,5,5,4,0,4,3,4,5,2,4,0,2,3,2,1,5,2,feal-linear-cryptanalysis,2026-03-06T15:18:49.705267,gpt-5.4-2026-03-05,openai,feal-linear-cryptanalysis,4,5,1,1,4,2,1,1
2,4,5,5,5,5,0,4,3,4,5,4,3,0,2,3,4,1,5,5,make-mips-interpreter,2026-03-06T15:18:51.871806,gpt-5.4-2026-03-05,openai,make-mips-interpreter,4,5,2,3,5,2,2,2
2,5,5,4,4,4,1,4,3,4,4,2,4,0,2,4,3,4,4,3,adaptive-rejection-sampler,2026-03-06T15:15:09.531059,gpt-5.4-2026-03-05,openai,adaptive-rejection-sampler,4,5,1,3,2,2,2,1
1,4,4,4,4,4,1,4,3,4,4,1,3,1,2,2,2,1,3,2,sqlite-db-truncate,2026-03-06T15:19:03.748852,gpt-5.4-2026-03-05,openai,sqlite-db-truncate,5,5,1,1,2,1,1,1
