instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
tornadoweb__tornado-9a18f6c,0,2,4,3,3,4,0,3,2,2,2,1,2,1,3,2,2,1,3,2,2026-03-08T00:26:24.519341,claude-opus-4-6,anthropic,tornadoweb__tornado-9a18f6c,4,5,2,2,3,4,2,2
pandas-dev__pandas-65bca65,0,3,4,3,2,2,1,3,2,2,2,1,2,1,2,3,2,2,2,3,2026-03-08T00:26:01.090616,claude-opus-4-6,anthropic,pandas-dev__pandas-65bca65,4,5,2,3,3,4,4,4
numpy__numpy-22ab9aa,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,3,2,2,5,5,2026-03-08T00:25:41.019268,claude-opus-4-6,anthropic,numpy__numpy-22ab9aa,4,5,3,4,4,4,4,4
huggingface__transformers-d51b589,0,2,4,4,3,4,0,3,3,2,3,2,2,1,3,2,3,1,3,3,2026-03-08T00:26:30.793576,claude-opus-4-6,anthropic,huggingface__transformers-d51b589,4,5,2,2,2,4,3,2
pandas-dev__pandas-81b5f1d,0,2,4,4,3,3,0,3,2,2,3,3,2,1,3,2,2,1,2,3,2026-03-08T00:26:02.609268,claude-opus-4-6,anthropic,pandas-dev__pandas-81b5f1d,4,3,3,4,5,5,5,4
numpy__numpy-eb21b25,0,2,5,4,4,4,0,3,2,2,3,3,2,1,3,2,3,1,4,4,2026-03-08T00:25:52.490970,claude-opus-4-6,anthropic,numpy__numpy-eb21b25,4,5,4,4,5,4,4,4
pandas-dev__pandas-061c2e9,0,2,4,3,3,3,0,3,2,2,3,2,2,1,2,2,3,1,4,5,2026-03-08T00:26:10.477745,claude-opus-4-6,anthropic,pandas-dev__pandas-061c2e9,4,5,3,4,4,5,4,4
pandas-dev__pandas-233bd83,0,2,4,3,3,3,0,3,2,2,3,3,2,1,3,4,3,4,4,4,2026-03-08T00:26:01.544225,claude-opus-4-6,anthropic,pandas-dev__pandas-233bd83,4,5,3,4,4,5,4,4
numpy__numpy-794f474,0,2,5,4,4,4,0,3,2,2,3,3,2,1,3,2,3,1,4,4,2026-03-08T00:25:40.187013,claude-opus-4-6,anthropic,numpy__numpy-794f474,4,4,4,4,5,4,4,4
python-pillow__Pillow-fd8ee84,0,3,4,3,3,3,0,3,2,2,2,1,2,1,2,3,2,2,1,2,2026-03-08T00:26:22.350709,claude-opus-4-6,anthropic,python-pillow__Pillow-fd8ee84,4,5,2,3,3,4,4,4
pydantic__pydantic-addf1f9,0,3,4,4,3,4,0,3,2,2,2,2,2,1,3,3,3,1,4,4,2026-03-08T00:26:22.349796,claude-opus-4-6,anthropic,pydantic__pydantic-addf1f9,4,5,4,2,3,4,3,3
numpy__numpy-19bfa3f,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,4,3,2,5,5,2026-03-08T00:25:39.921509,claude-opus-4-6,anthropic,numpy__numpy-19bfa3f,4,5,2,4,3,4,4,4
pandas-dev__pandas-c34da50,0,2,4,4,3,3,0,3,2,2,3,3,2,1,3,3,3,2,3,3,2026-03-08T00:26:02.815986,claude-opus-4-6,anthropic,pandas-dev__pandas-c34da50,4,5,4,4,3,5,5,4
pandas-dev__pandas-c51c2a7,0,2,4,4,3,3,0,3,2,2,3,3,1,1,3,3,4,3,3,3,2026-03-08T00:26:10.288641,claude-opus-4-6,anthropic,pandas-dev__pandas-c51c2a7,4,4,4,4,5,5,4,4
pandas-dev__pandas-37e9e06,0,2,4,3,3,3,1,3,2,2,2,1,2,1,1,4,2,4,1,3,2026-03-08T00:26:00.461009,claude-opus-4-6,anthropic,pandas-dev__pandas-37e9e06,4,5,3,4,3,4,4,4
pydantic__pydantic-c2647ab,0,2,4,3,3,3,0,3,2,2,3,2,2,1,3,2,2,1,5,5,2026-03-08T00:26:22.915612,claude-opus-4-6,anthropic,pydantic__pydantic-c2647ab,4,5,3,2,2,5,3,3
pydantic__pydantic-4a09447,0,3,4,3,3,3,0,3,2,2,2,1,2,1,2,2,3,1,2,3,2026-03-08T00:26:22.578176,claude-opus-4-6,anthropic,pydantic__pydantic-4a09447,4,5,2,2,2,4,3,2
huggingface__transformers-253f9a3,0,2,4,3,3,4,1,3,2,2,2,1,2,1,2,2,3,1,2,3,2026-03-08T00:26:24.737666,claude-opus-4-6,anthropic,huggingface__transformers-253f9a3,4,5,2,2,2,4,4,4
huggingface__transformers-211f93a,0,2,4,3,3,3,0,3,2,2,2,1,2,1,2,2,2,2,3,4,2026-03-08T00:26:30.962979,claude-opus-4-6,anthropic,huggingface__transformers-211f93a,4,5,2,2,2,4,4,4
huggingface__tokenizers-bfd9cde,0,2,4,4,3,4,0,3,2,2,3,3,2,1,2,3,4,1,3,4,2026-03-08T00:26:22.749167,claude-opus-4-6,anthropic,huggingface__tokenizers-bfd9cde,4,5,2,3,5,4,4,3
pandas-dev__pandas-e8961f1,0,2,4,4,3,3,0,3,2,2,3,2,2,1,3,3,3,1,4,4,2026-03-08T00:26:02.923536,claude-opus-4-6,anthropic,pandas-dev__pandas-e8961f1,4,5,3,4,5,5,4,4
pandas-dev__pandas-2cdca01,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,2,2,1,3,3,2026-03-08T00:26:11.108387,claude-opus-4-6,anthropic,pandas-dev__pandas-2cdca01,4,5,3,4,5,4,4,4
uploadcare__pillow-simd-2818b90,0,2,5,4,4,4,0,3,2,2,2,1,2,1,2,2,2,1,5,4,2026-03-08T00:26:21.665201,claude-opus-4-6,anthropic,uploadcare__pillow-simd-2818b90,4,4,3,3,4,4,3,4
huggingface__transformers-63b90a5,0,3,4,3,3,3,0,3,2,2,2,1,2,1,2,3,4,2,3,3,2026-03-08T00:26:26.237670,claude-opus-4-6,anthropic,huggingface__transformers-63b90a5,4,5,2,2,2,4,4,5
numpy__numpy-7ff7ec7,0,2,3,3,2,3,1,3,2,2,2,1,2,1,3,5,3,4,2,3,2026-03-08T00:25:40.689321,claude-opus-4-6,anthropic,numpy__numpy-7ff7ec7,4,5,3,4,4,4,4,4
pandas-dev__pandas-bfaf917,0,2,4,3,3,3,0,3,2,2,2,1,2,1,3,2,3,1,3,3,2026-03-08T00:26:03.603496,claude-opus-4-6,anthropic,pandas-dev__pandas-bfaf917,4,5,3,4,3,4,4,4
numpy__numpy-68eead8,0,2,4,4,4,3,0,3,2,2,3,2,2,1,3,4,3,4,2,3,2026-03-08T00:25:49.494928,claude-opus-4-6,anthropic,numpy__numpy-68eead8,4,5,3,4,4,4,4,4
abetlen__llama-cpp-python-2bc1d97,0,2,4,3,4,4,0,3,2,2,3,1,2,1,2,3,3,2,4,5,2026-03-08T00:25:39.871807,claude-opus-4-6,anthropic,abetlen__llama-cpp-python-2bc1d97,4,4,3,4,4,3,4,4
python-pillow__Pillow-63f398b,0,3,5,4,3,3,1,3,2,2,2,1,2,1,2,4,2,4,4,2,2026-03-08T00:26:14.605776,claude-opus-4-6,anthropic,python-pillow__Pillow-63f398b,4,5,2,3,4,4,3,3
pandas-dev__pandas-235113e,0,3,4,3,2,3,1,3,2,2,2,2,2,1,2,2,1,1,1,2,2026-03-08T00:26:00.548014,claude-opus-4-6,anthropic,pandas-dev__pandas-235113e,4,5,3,4,4,4,5,4
pydantic__pydantic-ac9e6ee,0,2,4,4,3,4,0,3,2,2,3,3,2,1,3,4,3,4,5,5,2026-03-08T00:26:22.896322,claude-opus-4-6,anthropic,pydantic__pydantic-ac9e6ee,4,5,3,2,3,4,3,3
numpy__numpy-2540554,0,3,4,4,3,3,0,3,2,2,2,1,2,1,3,3,3,2,4,4,2026-03-08T00:25:50.516654,claude-opus-4-6,anthropic,numpy__numpy-2540554,4,5,3,4,3,4,4,4
pandas-dev__pandas-c6cf37a,0,2,4,3,3,3,0,3,2,2,2,2,2,1,3,3,4,1,3,3,2026-03-08T00:26:12.216743,claude-opus-4-6,anthropic,pandas-dev__pandas-c6cf37a,4,4,3,4,3,5,4,4
pandas-dev__pandas-438b957,0,3,4,3,3,3,0,3,2,2,3,2,2,1,3,3,4,2,3,4,2026-03-08T00:26:11.591274,claude-opus-4-6,anthropic,pandas-dev__pandas-438b957,4,5,3,4,3,5,5,4
uploadcare__pillow-simd-6eacce9,0,2,4,3,3,3,0,3,2,2,2,1,2,1,2,2,3,1,5,4,2026-03-08T00:26:13.457632,claude-opus-4-6,anthropic,uploadcare__pillow-simd-6eacce9,4,5,2,2,2,4,4,4
tornadoweb__tornado-ac13ee5,0,2,4,3,3,3,0,3,2,2,2,1,2,1,2,3,2,2,4,5,2026-03-08T00:26:24.516349,claude-opus-4-6,anthropic,tornadoweb__tornado-ac13ee5,4,5,3,2,2,4,4,4
numpy__numpy-567b57d,0,2,4,3,3,3,0,3,2,2,2,1,2,1,3,3,4,1,5,5,2026-03-08T00:25:49.820361,claude-opus-4-6,anthropic,numpy__numpy-567b57d,4,5,2,4,3,4,4,4
numpy__numpy-2dfd21e,0,2,5,4,4,4,0,3,2,2,3,2,1,1,2,2,3,1,5,4,2026-03-08T00:25:52.436520,claude-opus-4-6,anthropic,numpy__numpy-2dfd21e,4,4,3,4,5,4,4,4
numpy__numpy-28706af,0,3,4,4,3,3,0,3,2,2,3,3,2,1,3,2,3,1,4,5,2026-03-08T00:25:39.369910,claude-opus-4-6,anthropic,numpy__numpy-28706af,4,5,4,4,5,4,4,4
pandas-dev__pandas-9a6c8f0,0,1,4,3,3,3,0,1,1,1,4,4,1,1,3,2,3,1,3,4,2026-03-08T00:26:01.494120,claude-opus-4-6,anthropic,pandas-dev__pandas-9a6c8f0,4,4,4,4,4,4,4,4
tornadoweb__tornado-1b464c4,0,2,4,4,3,4,0,3,2,2,3,2,2,1,3,2,2,1,4,4,2026-03-08T00:26:24.722717,claude-opus-4-6,anthropic,tornadoweb__tornado-1b464c4,4,5,3,2,2,4,3,2
pandas-dev__pandas-9097263,0,2,4,3,3,3,0,3,2,2,2,2,2,1,3,3,3,2,4,3,2026-03-08T00:26:12.763285,claude-opus-4-6,anthropic,pandas-dev__pandas-9097263,4,5,4,4,5,5,4,4
pandas-dev__pandas-609c3b7,0,3,4,3,3,2,0,3,2,2,2,1,2,1,2,2,3,1,3,4,2026-03-08T00:26:11.712604,claude-opus-4-6,anthropic,pandas-dev__pandas-609c3b7,4,5,3,4,4,4,4,4
python-pillow__Pillow-d8af3fc,0,3,4,3,3,3,0,3,2,2,2,1,2,1,2,4,3,4,4,5,2026-03-08T00:26:13.816083,claude-opus-4-6,anthropic,python-pillow__Pillow-d8af3fc,4,5,2,3,5,4,4,4
