instance_id,codebase_scope,test_edge_case_coverage,integration_complexity,logical_reasoning_required,problem_clarity,codebase_scale,expected_behavior_clarity,environment_setup_complexity,side_effect_risk,similar_issue_likelihood,solution_complexity,test_assertion_complexity,domain_knowledge_required,error_specificity,standard_pattern_available
abetlen__llama-cpp-python-218d361,5,1,5,4,2,4.0,2,4.0,4,1,4,2,5,2,0
numpy__numpy-382b3ff,2,2,3,3,3,5.0,4,4.0,1,1,2,3,5,4,0
numpy__numpy-5f94eb8,4,1,5,4,3,4.0,3,4.0,3,1,4,2,5,3,0
uploadcare__pillow-simd-7511039,2,1,4,4,3,3.0,3,4.0,3,1,5,2,5,3,0
numpy__numpy-be52f19,3,1,4,4,3,4.0,3,4.0,2,1,4,2,5,3,0
numpy__numpy-728fedc,4,2,5,4,3,4.0,3,4.0,3,1,5,2,5,3,0
pandas-dev__pandas-5d82d8b,1,3,2,3,4,4.0,3,4.0,1,1,2,2,4,3,1
tornadoweb__tornado-9a18f6c,1,1,2,3,3,2.0,3,3.0,2,1,3,2,5,3,1
pandas-dev__pandas-65bca65,2,2,3,3,3,4.0,4,4.0,2,1,2,2,4,4,0
numpy__numpy-22ab9aa,4,2,5,4,3,4.0,3,4.0,3,1,5,2,5,3,0
huggingface__transformers-d51b589,2,1,4,4,3,3.0,4,3.0,3,1,3,2,5,4,0
pandas-dev__pandas-81b5f1d,3,1,3,4,4,4.0,3,4.0,3,1,2,2,5,4,0
numpy__numpy-eb21b25,4,1,5,4,3,4.0,3,4.0,4,1,4,3,5,3,0
pandas-dev__pandas-061c2e9,4,1,5,4,3,4.0,3,4.0,4,1,4,3,5,3,0
pandas-dev__pandas-233bd83,4,4,4,4,3,4.0,3,4.0,3,1,4,3,5,3,0
numpy__numpy-794f474,4,1,4,4,3,4.0,3,4.0,3,1,4,3,5,3,0
python-pillow__Pillow-fd8ee84,2,2,2,3,4,3.0,3,3.0,2,1,1,2,3,3,1
pydantic__pydantic-addf1f9,3,2,4,4,4,3.0,3,2.0,4,1,4,2,4,3,1
numpy__numpy-19bfa3f,4,3,5,4,3,4.0,3,4.0,3,1,5,2,5,3,0
pandas-dev__pandas-c34da50,2,2,3,4,3,4.0,4,4.0,3,1,3,2,4,4,0
pandas-dev__pandas-c51c2a7,2,3,3,3,4,4.0,3,4.0,3,1,3,3,4,4,1
pandas-dev__pandas-37e9e06,3,3,3,3,3,4.0,3,4.0,2,1,2,2,4,3,0
pydantic__pydantic-c2647ab,3,1,5,4,2,3.0,3,2.0,4,1,5,2,5,3,0
pydantic__pydantic-4a09447,1,1,3,3,3,3.0,3,2.0,3,1,3,2,4,3,0
huggingface__transformers-253f9a3,3,1,3,3,3,5.0,3,2.0,2,1,2,2,4,3,1
huggingface__transformers-211f93a,2,1,4,4,3,5.0,3,3.0,3,1,3,1,4,3,0
huggingface__tokenizers-bfd9cde,3,1,4,4,3,3.0,4,4.0,3,1,4,2,5,4,0
pandas-dev__pandas-e8961f1,3,1,4,4,3,4.0,3,4.0,3,1,4,2,5,3,0
pandas-dev__pandas-2cdca01,2,1,3,3,4,5.0,3,4.0,3,1,3,2,4,3,0
uploadcare__pillow-simd-2818b90,2,1,4,4,3,3.0,3,4.0,3,1,5,2,5,3,0
huggingface__transformers-63b90a5,1,2,3,3,4,5.0,3,2.0,3,1,3,3,3,3,1
numpy__numpy-7ff7ec7,2,4,3,3,4,4.0,4,4.0,2,1,3,2,3,4,1
pandas-dev__pandas-bfaf917,2,1,3,3,4,4.0,4,4.0,2,1,3,2,4,4,0
numpy__numpy-68eead8,2,4,4,3,4,4.0,3,4.0,3,1,3,3,5,4,0
abetlen__llama-cpp-python-2bc1d97,4,1,4,3,2,4.0,2,4.0,4,0,4,2,5,1,0
python-pillow__Pillow-63f398b,1,4,2,4,4,4.0,3,3.0,3,1,3,2,4,3,0
pandas-dev__pandas-235113e,2,1,2,3,4,4.0,4,4.0,3,1,2,1,4,4,1
pydantic__pydantic-ac9e6ee,3,3,5,4,3,3.0,3,2.0,4,1,4,2,5,3,0
numpy__numpy-2540554,2,2,3,5,3,4.0,3,4.0,3,1,4,3,5,3,0
pandas-dev__pandas-c6cf37a,3,2,3,4,3,4.0,3,4.0,3,1,3,3,4,3,0
pandas-dev__pandas-438b957,3,2,4,4,3,4.0,3,4.0,4,1,3,2,5,3,0
uploadcare__pillow-simd-6eacce9,2,1,4,5,3,4.0,3,4.0,4,1,5,2,5,3,0
tornadoweb__tornado-ac13ee5,5,1,5,4,2,4.0,3,2.0,5,1,5,2,5,3,0
numpy__numpy-567b57d,4,2,5,4,3,4.0,3,4.0,3,1,5,2,5,3,0
numpy__numpy-2dfd21e,4,1,5,4,3,5.0,3,4.0,3,1,5,3,5,3,0
numpy__numpy-28706af,4,1,5,4,2,4.0,3,4.0,4,1,5,3,5,3,0
pandas-dev__pandas-9a6c8f0,2,1,3,3,4,4.0,3,4.0,3,1,3,2,4,4,0
tornadoweb__tornado-1b464c4,2,1,4,4,3,4.0,3,2.0,3,1,4,2,4,3,0
pandas-dev__pandas-9097263,3,2,3,3,3,4.0,3,4.0,2,1,4,2,5,3,0
pandas-dev__pandas-609c3b7,3,1,4,4,3,4.0,3,4.0,3,1,3,2,4,3,0
python-pillow__Pillow-d8af3fc,3,4,4,4,4,4.0,3,3.0,3,1,4,2,5,3,0
