,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std
django__django-13513,1.4145895,2.6361759,0.22791739,0.7704779,1.3994224,2.564389,0.32787612,0.728058
django__django-13516,1.6264685,-0.8501283,0.2050053,0.21493521,1.3394649,-0.45002216,0.2766066,0.25526863
django__django-13551,0.6488506,0.42637128,0.25795013,0.3786626,1.8237768,0.7074033,0.23801936,0.1488618
django__django-13568,0.92792124,0.5041827,0.23664238,0.28569886,1.6936228,0.77663785,0.21277426,0.15669613
django__django-13569,1.217286,-0.24588645,0.19451652,0.23060088,1.4370625,-0.28952882,0.26812086,0.17270756
django__django-13590,1.3377403,-0.34948045,0.19729303,0.19320107,1.1293291,-0.077517234,0.22332679,0.22865742
django__django-13658,1.2447773,-1.8802643,0.20435685,0.44177386,1.2658854,-1.551782,0.31245387,0.46365643
django__django-13670,1.5482306,-1.3366036,0.19472304,0.26284054,0.95596874,-0.48110294,0.31159657,0.3793212
django__django-13741,1.4421237,-1.5821286,0.18683568,0.3344922,0.9955813,-0.8533083,0.30739194,0.39422968
django__django-13786,1.4282541,-1.1949549,0.18266034,0.25200877,1.0077631,-0.5300317,0.30096066,0.35529903
django__django-13794,1.1611239,2.530462,0.15471251,0.3803291,0.42810684,1.0581678,0.23970306,0.6209763
django__django-13807,0.95983005,0.6135959,0.24256255,0.28996783,1.6651496,1.1178178,0.22238585,0.15783878
django__django-13809,1.2281533,-0.72402585,0.15935229,0.23166043,0.7139933,-0.15447754,0.2196426,0.3565089
django__django-13810,0.9532,-0.29049453,0.18394439,0.27149177,1.1915377,-0.40195,0.22234982,0.2102592
django__django-13820,1.57048,-1.2518849,0.20541555,0.2689594,1.1591384,-0.6947292,0.31674993,0.334962
django__django-13821,1.4222322,-0.95706004,0.20460686,0.23831405,1.3222251,-0.7034094,0.29793912,0.27593076
django__django-13837,1.3933626,-0.43827894,0.18450493,0.18782972,1.1963108,-0.17067751,0.23527342,0.22532776
django__django-13925,0.9833987,0.5149394,0.20275745,0.23521462,0.94932437,0.6568534,0.18659267,0.23717014
django__django-13933,1.4023407,-0.8920308,0.18740883,0.20640944,1.0784298,-0.2802949,0.26145506,0.299527
django__django-13964,1.1870712,0.22796845,0.20765474,0.20685522,1.3045726,0.31388688,0.21146691,0.18681009
django__django-14007,1.3839483,-0.024921557,0.2124499,0.1876406,1.4582561,0.15059578,0.2240159,0.17729351
django__django-14011,1.4075925,2.5495403,0.2460738,0.81717235,1.4079853,2.586906,0.31643438,0.76300824
django__django-14017,1.3861055,0.03577461,0.20199293,0.18535435,1.7050226,0.10907555,0.23892432,0.15956327
django__django-14034,1.4400585,2.6260686,0.24194697,0.8753146,1.3925003,2.563451,0.33158112,0.79413825
django__django-14053,1.1273828,-0.7523432,0.16660649,0.24781005,0.63683486,-0.078198746,0.2177928,0.36586678
django__django-14089,1.4472561,-1.6457951,0.19938841,0.35976648,1.2069857,-0.8328033,0.31612402,0.409392
django__django-14122,1.1846576,0.07538655,0.21574941,0.21189636,1.5018622,0.1054326,0.22318871,0.17101026
django__django-14140,1.01578,1.2597649,0.16311483,0.24453238,0.11959651,1.0246042,0.12530349,0.7481824
django__django-14155,1.4328883,2.6996913,0.22962275,0.7961827,1.3970337,2.483328,0.34139454,0.7661612
django__django-14170,1.4913106,2.2979462,0.21642886,0.4430091,1.1310263,1.8599575,0.2866576,0.52417684
django__django-14238,1.3920618,-0.6814547,0.19689423,0.22708566,1.3728368,-0.37933108,0.28504068,0.22479531
django__django-14311,1.1385386,0.3821619,0.20877066,0.22616544,2.0138311,0.5333977,0.25323108,0.14350018
django__django-14315,1.321048,2.0672379,0.20417683,0.4107513,1.1866231,1.9899024,0.28160137,0.46492815
django__django-14349,1.398461,-0.83137745,0.18534234,0.2184208,1.2535244,-0.45038646,0.26888514,0.25570062
django__django-14351,0.6594237,0.47006005,0.2370407,0.36556095,1.2287354,0.9347768,0.18486406,0.18661508
django__django-14373,1.5223103,-1.9281148,0.23883922,0.43428406,1.433851,-1.3035219,0.3514387,0.43287572
django__django-14376,1.3180451,1.2090404,0.2016941,0.22867249,1.1920094,1.2123318,0.21537933,0.24698158
django__django-14404,1.2783626,0.8870022,0.20400214,0.20364624,1.160494,0.99895996,0.21569657,0.2237201
django__django-14434,1.4183506,-0.25256947,0.19663686,0.19135928,1.4081813,-0.055156503,0.23794833,0.18990242
django__django-14493,1.5045168,-0.65009546,0.19630396,0.19020727,1.1830406,-0.20749004,0.25177005,0.25028503
django__django-14500,0.9911969,-0.26066396,0.18984781,0.23870052,0.8903432,-0.111600645,0.2106323,0.26447153
django__django-14534,1.2869884,1.864305,0.18557614,0.34504783,1.2042404,1.704176,0.26493928,0.35790288
django__django-14539,1.081534,-0.3252813,0.20041756,0.25665656,1.5045539,-0.5004092,0.28079826,0.20783992
django__django-14559,0.9870734,-0.26083866,0.18367365,0.23627883,1.0478694,-0.17571032,0.21357271,0.23827468
django__django-14580,1.2696422,0.29723558,0.22706276,0.19583392,1.5866739,0.4050545,0.20748909,0.15298234
django__django-14608,1.3098087,-0.34205627,0.20210464,0.19927832,1.0808929,-0.07525149,0.22558588,0.25417003
django__django-14631,0.9739122,0.56467247,0.21958566,0.23932189,1.4541726,0.8729061,0.20550595,0.1831558
django__django-14672,1.3955914,-1.0952864,0.20546164,0.26837856,1.2440645,-0.7341038,0.28570333,0.2855081
django__django-14725,1.2328494,1.6470686,0.21986097,0.40087762,1.6436439,2.1241806,0.28770024,0.30748224
django__django-14752,1.5259092,-1.3472705,0.20627993,0.31182468,1.4531873,-0.939492,0.33690584,0.3215793
django__django-14765,1.4612111,-1.6155211,0.18859564,0.30145264,0.92715985,-0.52801424,0.3040705,0.4318936
django__django-14771,1.3418747,0.32299936,0.21306959,0.16617115,1.0303347,0.44333708,0.1949896,0.22271281
django__django-14787,1.4471751,-0.45933154,0.21294968,0.20009781,1.60879,-0.41183734,0.29437175,0.18766877
django__django-14792,1.3216263,2.2014778,0.22450948,0.5780028,1.3850603,2.3289154,0.29669943,0.49385658
django__django-14855,1.1817307,-1.4041011,0.19199514,0.40380278,1.4496899,-1.3104635,0.327639,0.34560293
django__django-14915,1.4232001,-1.2868954,0.2034111,0.3010413,1.423515,-0.872873,0.31329274,0.29491878
django__django-14999,0.8066054,0.031491205,0.2031127,0.29618952,1.035426,-0.03170539,0.19636081,0.2137427
django__django-15022,1.3470876,0.0455162,0.19226034,0.15751724,0.36981213,0.31533933,0.1706238,0.52347815
django__django-15037,1.0013083,0.28767878,0.21342008,0.24792674,1.8138642,0.38787082,0.25320894,0.14486215
django__django-15098,1.4531562,2.3346355,0.22065413,0.5387675,1.3365724,2.1312487,0.32135212,0.5421802
django__django-15103,1.1131452,-0.17830928,0.20311902,0.23284243,1.6700596,-0.26392922,0.2700453,0.15803185
django__django-15104,1.6060321,-1.8123012,0.2418407,0.3634845,1.1521361,-0.9771696,0.31325978,0.4349034
django__django-15127,0.9134814,0.88999355,0.21203479,0.3066315,1.003818,1.4852837,0.18258098,0.2631202
django__django-15128,1.4164684,0.2570307,0.20809872,0.16353339,1.0584553,0.3957402,0.18871965,0.24188337
django__django-15161,0.7535951,0.29703552,0.22691236,0.31269574,1.6943349,0.4052355,0.23040767,0.15502559
django__django-15252,1.3572516,2.1344154,0.22343391,0.5428596,1.508884,2.2962613,0.30553222,0.5081638
django__django-15268,1.267459,0.4442348,0.21357399,0.18472646,1.4643027,0.5630895,0.21130516,0.155889
django__django-15277,1.3601371,-1.2767605,0.19260162,0.33609504,1.5200906,-1.0608358,0.34612662,0.3110114
django__django-15278,1.3438119,-0.4425692,0.19129139,0.22681777,1.6177906,-0.40655357,0.29288197,0.18276516
django__django-15280,1.2488295,1.5491364,0.20118056,0.32052967,1.6348689,1.8136222,0.3174072,0.24216181
django__django-15315,1.3791887,-0.9517139,0.1928863,0.25029153,1.2820733,-0.53689694,0.2773003,0.2591393
django__django-15368,1.5751445,-1.2884079,0.21154189,0.28651798,1.3070232,-0.901414,0.29374364,0.32360223
django__django-15375,1.2407374,0.46991938,0.22603774,0.2169823,1.8838409,0.6095381,0.26549643,0.14546497
django__django-15380,1.2048229,-0.34048632,0.19076629,0.22155258,1.2290004,-0.35354587,0.24258238,0.20735292
django__django-15382,1.4991424,-0.03355934,0.22409424,0.16926037,1.7235954,0.09094753,0.25676858,0.16128379
django__django-15467,1.6316292,-1.8684518,0.2277942,0.34573135,1.138889,-0.7905258,0.33223683,0.46254304
django__django-15499,1.3488547,-0.8475484,0.18278553,0.23351426,1.3636798,-0.4838673,0.28349617,0.26374415
django__django-15503,0.79997385,0.7488918,0.26035756,0.39833325,2.1473784,1.7402906,0.32146722,0.17225519
django__django-15525,1.0237217,0.17033528,0.2034844,0.26748043,1.9761904,0.112514146,0.28224328,0.13782822
django__django-15554,1.0895995,0.95689416,0.21985835,0.2672585,1.8406367,1.4289694,0.26763037,0.17853256
django__django-15561,1.4344926,-0.40787923,0.20184803,0.20105875,1.6217244,-0.3119709,0.29717436,0.17834947
django__django-15563,1.3855479,1.5474124,0.18875971,0.24400552,0.91827303,1.3551377,0.22336344,0.35808915
django__django-15569,1.5239695,-1.3429886,0.2043837,0.27828628,1.2390416,-0.74522656,0.309021,0.34814
django__django-15572,1.1327459,-0.49842033,0.18793163,0.22865635,1.1643796,-0.26676574,0.23918755,0.24165641
django__django-15629,1.3849075,2.5398405,0.24265999,0.8965404,1.3776835,2.5720773,0.34123042,0.7623329
django__django-15695,1.21959,1.6414629,0.19364037,0.32384655,1.0900552,1.82442,0.22132872,0.3586896
django__django-15731,1.3706518,-1.1028949,0.18467419,0.28467834,0.9274742,-0.6392047,0.27049753,0.36936754
django__django-15732,1.1329087,1.6253346,0.17370665,0.30258614,0.8715365,1.3219516,0.21288228,0.330653
django__django-15741,1.3705232,-1.0553222,0.1860511,0.2685497,1.1440939,-0.5426851,0.27867472,0.3025049
django__django-15814,1.3706019,-0.3147807,0.20267731,0.194545,1.4588051,-0.18085882,0.262921,0.17423928
django__django-15851,1.4630795,-0.97681516,0.20406675,0.25336456,1.5278763,-0.7476646,0.30777562,0.22874354
django__django-15863,1.351258,-0.45580018,0.19020042,0.23823261,1.5084081,-0.33385327,0.28020483,0.19879994
django__django-15916,1.3775406,0.8994269,0.21667704,0.18646754,1.1487868,0.94367814,0.20059653,0.22931859
django__django-15930,1.4040685,0.10214782,0.20095164,0.18655613,1.523051,0.20438434,0.23207511,0.15876144
django__django-15957,1.2688822,1.7508079,0.20836711,0.38536918,1.5713357,1.979929,0.29768148,0.33299178
django__django-15973,1.4031281,1.8140535,0.21921693,0.34967154,1.4671581,1.7951783,0.31629208,0.33681324
django__django-15987,1.0145284,-0.41234308,0.17362869,0.21194883,-0.001998569,0.3924487,0.15468262,0.75776696
django__django-16032,1.2929051,0.22580315,0.23329921,0.18877551,1.8331634,0.24712472,0.26787713,0.14785181
django__django-16082,1.0879292,0.007254958,0.20010269,0.23379919,1.934515,-0.061769497,0.3167078,0.14546494
django__django-16100,1.2568628,-0.27911687,0.20446149,0.18778485,1.0944494,-0.08013962,0.22993156,0.21772361
django__django-16116,1.20287,-0.44054294,0.1878022,0.22638191,1.4247094,-0.42062286,0.26469365,0.20624726
django__django-16136,1.4498961,-0.33104154,0.20325688,0.19108602,1.2965701,-0.07653701,0.25941122,0.21027659
django__django-16139,1.3518827,-1.581151,0.20139165,0.38148254,1.2075568,-1.1818868,0.30117506,0.4108789
django__django-16145,1.2841822,-0.89006877,0.19048034,0.24603488,1.2154418,-0.6746618,0.2649033,0.26926076
django__django-16255,1.3086554,-2.1556914,0.17543247,0.39746052,0.86847156,-0.75333434,0.3037689,0.50386584
django__django-16256,1.3841907,2.2163987,0.22300453,0.58947814,1.4309826,2.2993543,0.3363714,0.53765917
django__django-16263,1.3992479,2.684724,0.23427917,0.78186697,1.396336,2.4723446,0.33900446,0.7620969
django__django-16315,0.86570865,0.51194847,0.22845128,0.2870697,1.5170584,0.86940813,0.21939112,0.17001872
django__django-16333,1.3498247,-1.1324984,0.19332996,0.31442967,1.5678134,-1.0536103,0.33837673,0.25496852
django__django-16429,1.6244447,-1.6277332,0.21192572,0.29603037,0.93345475,-0.54712415,0.3136891,0.44602075
django__django-16454,1.4356056,1.2200161,0.18167588,0.1739831,0.3943208,0.64601755,0.18736103,0.5488358
django__django-16485,1.2463561,-0.9717923,0.19549,0.27364135,1.3594272,-0.75639033,0.27325615,0.2595659
django__django-16493,1.6106097,-0.9818208,0.21761279,0.21239388,1.2770525,-0.49909896,0.2959775,0.27019724
django__django-16502,1.4040955,2.6383462,0.22925185,0.8759803,1.3426584,2.5808067,0.33106044,0.82953733
django__django-16527,1.4111358,-2.0374134,0.17596884,0.37695515,0.8796701,-0.7694121,0.33112812,0.5524781
django__django-16560,0.95946556,0.7123273,0.23843226,0.28133762,1.5878167,1.1468654,0.21934381,0.18092597
django__django-16569,1.3485909,-2.3775034,0.1724182,0.36805207,0.52601415,-0.6309313,0.32168666,0.6775522
django__django-16595,1.3249059,-1.2195832,0.18829069,0.31787884,1.3095931,-0.84432614,0.30188584,0.27754292
django__django-16612,1.4337717,-1.0863992,0.16371006,0.213855,0.79839295,-0.16606013,0.24882884,0.35107368
django__django-16631,1.4045395,2.7056692,0.23831719,0.8629898,1.3308312,2.486323,0.3418594,0.8562157
django__django-16642,1.3450106,0.0029386212,0.1956578,0.1699562,0.5586205,0.3223534,0.18246758,0.37629616
django__django-16661,1.1786898,0.24752253,0.21464902,0.20562527,1.4447217,0.3492614,0.21755302,0.17090717
django__django-16662,1.4478427,-0.8547672,0.18672769,0.2319188,1.2007511,-0.36004645,0.26747283,0.26864174
django__django-16667,1.410231,2.7097106,0.23496217,0.81506276,1.3215935,2.455433,0.35218757,0.88415664
django__django-16801,1.4618536,-1.4885659,0.19078892,0.29395154,0.92707384,-0.7338405,0.29164982,0.41724187
django__django-16819,1.4276699,-0.48229256,0.20338911,0.1841905,1.5147923,-0.26978895,0.27791396,0.19409598
django__django-16877,1.3668288,0.49534544,0.20219165,0.16599536,0.4090986,0.4652291,0.17088345,0.45510945
django__django-16899,1.4106714,-0.5724524,0.19831325,0.18369448,1.0725714,-0.16700417,0.24047479,0.23531793
django__django-16901,1.4551015,-0.34649262,0.20557818,0.17690435,1.4048259,-0.079358235,0.24530463,0.18034106
django__django-16938,0.9665098,0.94600874,0.20873138,0.29615447,1.1402997,1.5126218,0.18407619,0.26177496
django__django-16950,1.45741,1.0882688,0.2137987,0.2162882,1.6401922,1.2632271,0.25480065,0.17977323
django__django-17029,1.1298506,-1.545457,0.17841026,0.38466492,1.3738679,-0.99168724,0.30046025,0.33642876
