,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std,a3,b3,a3_std,b3_std
django__django-10880,1.141724,-0.415774,0.18500875,0.23268533,0.97409755,-0.09431937,0.23202842,0.27038676,0.8994615,-0.2615313,0.19499761,0.30605814
django__django-10914,0.70105714,-0.43294027,0.1909845,0.4788902,0.9206651,-0.5908194,0.27553648,0.35113347,1.226673,-1.0984939,0.19146661,0.2741589
django__django-10973,0.90773,-0.4076731,0.1713495,0.31091076,0.6306645,-0.023440411,0.2158438,0.3995446,1.2218897,-0.7185044,0.1880455,0.22919834
django__django-10999,1.0812365,2.4662302,0.18420538,0.8882989,1.0535444,2.1608593,0.30442092,0.8731924,1.1307024,2.1434355,0.29295784,0.8851156
django__django-11066,1.0772586,-1.6971655,0.17915443,0.4396519,0.7388581,-0.68644476,0.2815445,0.5599843,1.0220261,-1.2722833,0.24943288,0.5382617
django__django-11087,1.0610306,2.399317,0.20231979,0.99195826,0.936858,2.0942533,0.314152,0.83355385,1.1121842,2.2040308,0.28251162,0.9370166
django__django-11095,1.0149803,-0.7873408,0.18670484,0.38908583,1.0331738,-0.55738896,0.27820075,0.35326958,1.4456228,-1.0380077,0.26906744,0.29052126
django__django-11099,1.0710504,-1.6503663,0.16119419,0.46348983,0.7133537,-0.74825287,0.2895216,0.5715314,0.89943767,-1.084622,0.2336892,0.47644964
django__django-11119,1.0039551,-1.739922,0.15880018,0.45207185,0.6912801,-0.8773964,0.24773866,0.5714181,0.7751402,-0.97279704,0.22032423,0.5073174
django__django-11133,0.9086881,-1.202625,0.1587434,0.43286815,0.9173553,-1.0170302,0.27826712,0.41820917,0.8981248,-0.98949015,0.22920325,0.42927277
django__django-11138,1.0624672,1.4606423,0.1765675,0.33609235,1.551885,1.6847571,0.27782637,0.26756248,0.46555847,0.69069874,0.25564697,0.55901885
django__django-11141,0.9605671,1.3515154,0.13913572,0.30958822,0.781866,1.161921,0.18861508,0.35271418,0.66036797,0.8220599,0.22089231,0.39137834
django__django-11149,0.9520903,0.808994,0.1648982,0.27370143,0.9449128,0.84129244,0.18002781,0.26273993,1.0275235,0.80218554,0.2098012,0.25186545
django__django-11163,1.1191581,-1.1767447,0.18926594,0.3702945,1.1222373,-0.8164699,0.3035431,0.37094367,1.0604105,-1.0086594,0.24473672,0.3816582
django__django-11179,1.0674725,-0.65501624,0.18453196,0.30063972,1.0231577,-0.4264558,0.28592455,0.32555535,1.3371322,-0.88581115,0.23712265,0.26716897
django__django-11206,0.9490328,0.82858914,0.15062593,0.22998752,0.6462989,0.6976946,0.15339476,0.29760098,0.3636675,0.40737066,0.16552281,0.52004284
django__django-11211,0.9232651,0.01476963,0.19253923,0.27517325,0.85814863,0.16712932,0.23269244,0.3151186,1.6807097,-0.1833769,0.24079815,0.16542035
django__django-11239,0.8103416,0.51447505,0.18569046,0.34399056,1.7473751,0.8366478,0.2346885,0.17008425,0.5121627,0.43407136,0.21802472,0.46298125
django__django-11265,0.69967526,0.6094489,0.16812074,0.33654943,0.6955973,0.9616997,0.1632832,0.3159174,0.53244543,0.6519057,0.17365184,0.37712336
django__django-11276,0.61061907,-0.21152008,0.182583,0.39027214,0.33032307,-0.020054562,0.19257885,0.48673582,0.8523606,-0.7884233,0.14666009,0.28067994
django__django-11292,0.9974872,-0.30775818,0.18230943,0.29526645,0.8628956,-0.12581104,0.2561736,0.31331554,1.4064349,-0.64846766,0.22741042,0.21156631
django__django-11299,0.6712935,0.33693817,0.1909669,0.39574802,1.568607,0.44773588,0.22671315,0.164633,1.171921,0.28517687,0.22124854,0.23195182
django__django-11333,0.8871453,0.3207799,0.18842116,0.28876305,1.4771074,0.43089315,0.22564565,0.17926833,1.2229406,0.3041487,0.21897471,0.21446526
django__django-11400,1.0735661,2.3726401,0.18511048,0.8737935,0.9981727,2.1929276,0.3095231,0.9284622,1.1225045,2.2029498,0.28947675,0.93716764
django__django-11433,1.1136019,1.3173414,0.16912457,0.29184893,1.3504753,1.4280463,0.23455057,0.23277903,0.6457622,0.79013604,0.24362594,0.45591086
django__django-11451,0.90775096,-0.5014021,0.16259512,0.29261345,0.7196454,-0.149223,0.21737617,0.37861174,0.8539034,-0.6277441,0.1699354,0.29812008
django__django-11477,1.1083794,2.4802892,0.16369405,0.53575814,0.56726986,1.3085881,0.27017784,0.7244825,0.86945873,1.7137144,0.2511006,0.6202239
django__django-11490,0.86609083,0.56532127,0.17137435,0.25600234,1.1921868,0.6870728,0.18564641,0.20769963,0.8142893,0.4684671,0.21156967,0.32355747
django__django-11532,0.9740788,0.52445,0.16363542,0.20714138,0.23189205,0.456507,0.14418797,0.56350577,0.6284183,0.3551097,0.16821855,0.31475958
django__django-11551,0.9222624,-0.6906204,0.18372965,0.40523517,1.022783,-0.6544158,0.28346035,0.38565338,1.2223473,-1.0108594,0.22256869,0.3349834
django__django-11555,0.87250614,0.48779568,0.17191096,0.29954404,1.1312602,0.634271,0.17998907,0.2232579,0.7446338,0.44084847,0.19843327,0.31243128
django__django-11603,1.0404807,-1.2176064,0.16746727,0.4461505,0.7594854,-0.5368309,0.27390498,0.50448185,1.175445,-1.3059922,0.24993308,0.38969898
django__django-11728,1.1228929,1.5290754,0.16739106,0.29399067,1.2799386,1.5291457,0.24594387,0.26737708,0.38264158,0.62444276,0.26190984,0.6376828
django__django-11734,1.012598,1.8988509,0.17479643,0.51544344,0.83075076,1.5370659,0.26442498,0.5350732,1.1274787,1.7744439,0.2538621,0.4983526
django__django-11740,0.56222993,0.20824027,0.19294949,0.3884282,2.091001,0.05524719,0.3456782,0.12861922,0.87405074,0.1100575,0.2013722,0.29928637
django__django-11749,0.8707423,-0.11199587,0.17773062,0.28921786,0.8049906,0.06473765,0.22266813,0.31719032,1.3336415,-0.3221859,0.1981622,0.19063126
django__django-11790,1.1461948,1.2412704,0.12622021,0.208999,-0.19998772,0.21939427,0.17947367,0.5654186,-0.19160673,0.038284156,0.18651909,0.5909829
django__django-11815,0.536926,0.07371417,0.19261375,0.45322868,0.12136048,0.29871097,0.16841525,0.60844046,1.2333394,-0.23070675,0.18017137,0.17939165
django__django-11820,1.0440351,1.9747536,0.17812082,0.682361,1.0370134,1.9191196,0.2772684,0.6332194,1.1274678,1.9800425,0.2658031,0.6222071
django__django-11848,1.1662731,0.87256974,0.15737267,0.18970433,0.5848903,0.6012155,0.16238536,0.34411398,-0.117054395,0.20175326,0.17303471,0.5741119
django__django-11880,1.1566799,-1.2901912,0.18881528,0.39884228,0.9922968,-0.7549003,0.28536758,0.43360484,1.1766064,-1.1246073,0.24222776,0.3677075
django__django-11885,0.88974935,1.2768362,0.1691178,0.42382753,1.5356139,1.9472905,0.26643875,0.27697462,0.68880266,1.0222206,0.2589382,0.48186344
django__django-11951,0.696459,-0.14534065,0.197047,0.40683013,0.9652386,-0.36326078,0.24963994,0.28631997,1.4213483,-0.78683233,0.22474319,0.2267781
django__django-11964,1.0239252,1.0275905,0.13947965,0.21844694,0.2910084,0.5544894,0.15517138,0.55474895,0.47360334,0.43638954,0.18651658,0.44888213
django__django-11999,1.1243896,-0.6930669,0.18054277,0.26005018,0.84280056,-0.17263673,0.23982105,0.36159158,0.98259366,-0.4666589,0.20515797,0.2999761
django__django-12039,0.83919567,0.111540884,0.18305206,0.28486922,1.2827184,0.19877969,0.20302631,0.18800837,0.58348775,0.12846029,0.17925596,0.37293953
django__django-12050,0.84491974,-0.47412536,0.17051685,0.3913024,1.1780773,-0.7732542,0.28302822,0.27371722,1.3005836,-0.7877075,0.23698288,0.29840982
django__django-12125,0.8333635,0.38969895,0.17484836,0.2977458,0.83996665,0.47780427,0.1743187,0.250279,0.8764656,0.35629624,0.1859717,0.25827923
django__django-12143,1.179989,-1.5233732,0.17411786,0.38310498,0.9153274,-0.7724372,0.2818712,0.50181586,0.82969594,-0.90439755,0.23738542,0.4714821
django__django-12155,0.87069166,-1.4466871,0.17818503,0.5405259,1.1114235,-1.3899078,0.2615022,0.44040948,0.6987362,-1.2411448,0.21739335,0.6051271
django__django-12193,0.93839055,-0.05145067,0.1670544,0.20214675,0.14098069,0.3561764,0.14739646,0.6239301,0.35188118,0.16927406,0.14589977,0.45061582
django__django-12209,0.99299234,-0.51682746,0.18795028,0.302454,0.6956014,-0.10742176,0.24067181,0.41187835,1.291488,-0.7363177,0.21481985,0.24544697
django__django-12262,0.6898955,0.123636715,0.19585562,0.3951537,1.1371257,0.06930186,0.22336543,0.21843976,1.2039031,-0.09737492,0.20056319,0.21504168
django__django-12273,0.90163237,1.2441603,0.14482191,0.32741618,0.54963034,0.9262492,0.19047917,0.43197694,1.0679854,1.4446238,0.20472512,0.28581068
django__django-12276,0.8294961,-0.641961,0.16721238,0.365228,0.8661214,-0.50559217,0.24540254,0.36546952,1.0426568,-0.8961098,0.19814885,0.33247027
django__django-12304,0.73665893,0.18972038,0.19283831,0.32332635,1.0713717,0.20422386,0.23158844,0.24763387,1.6649039,-0.0677942,0.24299505,0.17383566
django__django-12308,0.96122885,1.5442415,0.1214859,0.28777036,0.45332316,0.7698502,0.17708889,0.46975175,0.47072658,0.712477,0.2031256,0.44154254
django__django-12325,0.9789398,1.6748188,0.13776937,0.29953915,0.19896486,0.5951242,0.19722638,0.6924708,0.47540498,1.0884413,0.18430394,0.54970163
django__django-12406,1.0593567,2.3098915,0.19471917,0.89793473,0.9677918,2.113965,0.29363173,0.83635926,1.1067784,2.1219823,0.29375446,0.86710775
django__django-12419,0.9971163,-1.2986407,0.15423927,0.38824067,0.326235,-0.05074186,0.24545693,0.6006378,1.0120873,-1.0884832,0.21026623,0.36400974
django__django-12663,0.7962656,0.42200074,0.18442252,0.2852382,0.9323851,0.5000774,0.18923955,0.25886962,1.4314917,0.5292569,0.23598894,0.17373763
django__django-12708,0.84174764,0.04810021,0.19184066,0.3281579,1.3205073,-0.075339206,0.24358292,0.1987455,1.1401566,-0.106292635,0.20320524,0.22590594
django__django-12713,0.9500008,-0.6031662,0.16887157,0.30694124,0.81437236,-0.3502195,0.23199622,0.33742893,0.9727534,-0.65372616,0.20153603,0.30970207
django__django-12741,0.9062707,-0.1330941,0.1668354,0.281014,0.8770768,0.03289761,0.2112613,0.28593105,1.1491146,-0.20560133,0.20153993,0.22936769
django__django-12754,0.7309038,0.35927773,0.19427563,0.35089144,1.6531346,0.55391973,0.24395002,0.16560036,1.1359857,0.380173,0.21047549,0.23253307
django__django-12774,0.7964418,0.3831852,0.18945384,0.3090098,1.327086,0.45230845,0.2048895,0.20889625,1.462461,0.39063248,0.2421796,0.1769387
django__django-12858,0.81138545,0.057062976,0.18133858,0.33919728,1.1042879,-0.0059236446,0.23309454,0.2292642,1.0392357,-0.15120563,0.19169238,0.24564578
django__django-12965,0.7705754,0.5035621,0.19355242,0.3416857,1.4661353,0.7059284,0.21611997,0.20223066,1.5073388,0.6809509,0.23917817,0.18724568
django__django-13012,0.73053753,0.09026945,0.181763,0.31875908,0.7649603,0.11016772,0.20417196,0.29597297,1.1861497,-0.26973894,0.18395,0.20998834
django__django-13023,0.55791605,0.4032174,0.19402188,0.38286743,0.8640127,0.5243505,0.18947661,0.267622,1.3738194,0.5099984,0.22958481,0.18359165
django__django-13028,0.9209043,-0.19143023,0.18348524,0.31916848,1.3176224,-0.3617414,0.26498854,0.2262956,1.0491717,-0.38179705,0.18787329,0.28226975
django__django-13033,0.6024079,0.27873316,0.19135852,0.3628778,1.2383844,0.2646082,0.21639952,0.22239548,1.659752,0.1301236,0.24234055,0.16503757
django__django-13089,0.96236694,-1.1973547,0.16802926,0.49131143,0.8382967,-0.76590365,0.276324,0.50576174,1.2584257,-1.3781875,0.24644724,0.37114608
django__django-13109,1.0908923,-1.1700263,0.18549326,0.44427797,1.0449505,-0.80524033,0.31401253,0.42472804,1.1424319,-1.1104735,0.24167605,0.43401456
django__django-13112,0.85354143,0.49591088,0.18720959,0.30721417,1.4439427,0.6461652,0.21852514,0.20497711,1.2937318,0.52405363,0.21617405,0.2107038
django__django-13121,0.7773105,0.38247094,0.18355119,0.3141006,1.2034286,0.5316907,0.20394085,0.21865673,1.3777356,0.42567936,0.23083243,0.18485785
django__django-13128,0.9530421,0.47753906,0.18494043,0.27799988,1.4698025,0.56830454,0.2259274,0.18138406,1.3014072,0.4839322,0.23588969,0.20489621
django__django-13158,0.74314326,0.27317575,0.18610482,0.31328383,1.2241517,0.33464202,0.21391654,0.2080563,1.3592787,0.15395986,0.21948375,0.19084883
django__django-13195,1.0496072,1.9428295,0.16854084,0.5456667,1.1090299,1.8885839,0.27018237,0.47848696,0.9183444,1.5993595,0.24195644,0.6775277
django__django-13212,1.0394199,2.4170375,0.19431436,0.9232698,0.99550414,2.1597517,0.2939256,0.9544429,1.0973899,2.2138557,0.26859972,0.8757153
django__django-13279,0.8782094,0.031982467,0.18380411,0.2820763,0.77821106,0.17176409,0.1983797,0.31551307,1.295496,-0.11205313,0.1985904,0.18691269
django__django-13297,0.6883054,0.37175065,0.18955453,0.35805276,1.4408019,0.52110136,0.22582756,0.19566008,1.2300407,0.37716508,0.21244955,0.23078628
django__django-13315,1.0371469,0.040669437,0.18798596,0.23000026,0.6807477,0.20172429,0.1862269,0.35463685,1.169289,-0.042869665,0.18914865,0.20999485
django__django-13343,0.7973259,-0.090938896,0.18107069,0.2901479,0.8617832,-0.027903585,0.20640329,0.28169754,1.0272812,-0.3457445,0.17787758,0.23207404
django__django-13344,1.0488818,1.9786513,0.16958578,0.5541109,1.2441713,2.0230036,0.2954108,0.53840417,0.88638544,1.5124261,0.2595825,0.60300857
django__django-13346,0.88522905,0.47014853,0.18406737,0.28655955,1.1974607,0.57730585,0.20004232,0.21540526,1.2827506,0.45320427,0.21142021,0.2070341
django__django-13363,1.0674927,-0.97768945,0.17263661,0.36254108,1.0192518,-0.710476,0.27655616,0.36783105,1.0838683,-0.9897276,0.22057852,0.36766785
django__django-13401,0.8949334,0.025460284,0.18101466,0.25060132,0.39371157,0.23642376,0.19044936,0.46941686,1.3138331,-0.20927271,0.195669,0.17631832
django__django-13406,0.5669257,0.32751805,0.20286801,0.4078006,0.80415297,0.47409096,0.19398816,0.29881412,1.4153371,0.42051366,0.22533247,0.17461655
django__django-13410,1.1770597,-1.3264035,0.17616066,0.33495653,0.591022,-0.27894378,0.2528435,0.5433233,1.0985475,-0.9243272,0.21445799,0.36068553
django__django-13417,0.7773398,-0.2207053,0.19039586,0.35181835,0.997492,-0.31941643,0.2663759,0.3034996,1.4513336,-0.8273287,0.2262471,0.24642038
django__django-13449,0.8232694,0.20393737,0.18469054,0.334265,1.7687801,0.18580832,0.3002047,0.15816431,1.1409004,0.16041915,0.21347359,0.23496936
django__django-13512,0.8245684,0.60622287,0.17849119,0.3183535,0.88657707,0.7894563,0.18411186,0.2602536,1.0232581,0.7323585,0.21410951,0.2605114
django__django-13513,1.0963129,2.4556243,0.18729821,0.90947276,1.0502381,2.2349358,0.2984611,0.9134691,1.0734216,2.1219537,0.29451,0.9223481
django__django-13516,1.0125234,-0.54663754,0.17899701,0.3047823,0.8111247,-0.28375363,0.27778628,0.35486853,1.4399503,-0.8268087,0.24356295,0.23535497
django__django-13551,0.6448699,0.33754653,0.19022721,0.36725712,1.6963894,0.55465966,0.23304552,0.16010982,0.58358395,0.25461778,0.20992565,0.40057003
django__django-13568,0.779712,0.4579031,0.18520093,0.34142202,1.5044372,0.66077685,0.22247031,0.17481191,0.758766,0.43792444,0.19870932,0.30867273
django__django-13569,0.7930634,-0.099681936,0.19948035,0.32173282,1.0656093,-0.21435414,0.2428085,0.2403003,1.1399977,-0.36364833,0.18845594,0.2420338
django__django-13590,1.003818,-0.35625598,0.17574516,0.23809046,0.9427761,-0.04717201,0.22751804,0.2653135,0.85484535,-0.2264723,0.18433411,0.28271315
django__django-13658,0.93611646,-1.6804566,0.18091917,0.59233147,0.8391075,-1.1569093,0.2882484,0.6039816,1.0294957,-1.4786414,0.25183105,0.5605856
django__django-13670,0.93063885,-0.8489456,0.15629709,0.3912131,0.45055628,-0.09714676,0.25609738,0.57237095,1.5188367,-1.217102,0.24701501,0.2581869
django__django-13741,0.9099214,-1.1020585,0.16587642,0.46772474,0.6932662,-0.5987786,0.29059994,0.50080806,1.1793742,-1.3794513,0.24534234,0.37440163
django__django-13786,1.017878,-0.88701844,0.16876711,0.36302495,0.6004108,-0.25746498,0.2652876,0.472142,1.1621947,-0.9860426,0.2095543,0.29875824
django__django-13794,1.1506652,2.5150042,0.13191779,0.37382132,0.37179112,0.8550813,0.21263789,0.6418003,0.108738326,0.43671829,0.22505037,0.7356212
django__django-13807,0.9774964,0.66545737,0.1683388,0.2618693,1.5485106,0.8986736,0.21836613,0.18909693,0.56951016,0.45781273,0.21427625,0.41822782
django__django-13809,0.78446436,-0.3923719,0.1652586,0.32818782,0.5540248,-0.11802076,0.21749976,0.41112626,0.8638145,-0.677807,0.18072473,0.29536837
django__django-13810,1.0499284,-0.43600386,0.171143,0.2163037,1.1091701,-0.26163152,0.20960201,0.22398192,0.42865586,-0.049061622,0.17423126,0.44335276
django__django-13820,1.1237853,-1.0920161,0.1745958,0.3420072,0.7754466,-0.4337332,0.29645503,0.4732343,1.2543843,-1.007572,0.2368107,0.3157972
django__django-13821,0.9320302,-0.72821534,0.16921726,0.39189002,0.83960724,-0.44578826,0.26270407,0.38943905,1.3181812,-1.0035402,0.2253027,0.279016
django__django-13837,1.0292283,-0.34020913,0.16359161,0.28979388,0.70086354,-0.012368052,0.22376446,0.34648812,1.2015415,-0.35606912,0.20518795,0.22377898
django__django-13925,0.88627946,0.46167374,0.17166637,0.24547485,0.78692776,0.56242305,0.15668222,0.2578484,0.5951295,0.38480106,0.17183831,0.34775975
django__django-13933,1.0184509,-0.709859,0.17116927,0.2846409,0.78926957,-0.2819868,0.24093384,0.39275423,1.0476092,-0.6794858,0.204799,0.29908165
django__django-13964,0.75728315,0.27515522,0.18900754,0.28130037,1.0374751,0.28935075,0.20580468,0.22753708,0.9814786,0.16160358,0.2001766,0.22572243
django__django-14007,0.6865968,0.17829496,0.18928151,0.3748295,0.98982376,0.16815567,0.21062867,0.24111548,1.4144522,-0.07737663,0.21421129,0.18102619
django__django-14011,1.0356385,2.327937,0.19646801,0.8746885,0.99600524,2.1774833,0.30270258,0.81617224,1.0992981,2.0952497,0.27271885,0.87916243
django__django-14017,0.7529743,0.15167011,0.18682376,0.31516814,1.2451915,0.12132079,0.22540331,0.19803591,1.4296538,-0.06221654,0.22407314,0.18597202
django__django-14034,1.0631527,2.3873026,0.17862934,0.88843393,0.9677366,2.10845,0.3107899,0.83938634,1.1079105,2.1374304,0.27944133,0.8451489
django__django-14053,1.0132433,-0.75522846,0.14443809,0.22863781,0.6839252,-0.11769529,0.20491767,0.3693787,0.5295205,-0.21484534,0.1710012,0.44575432
django__django-14089,1.0590985,-1.4002255,0.16330305,0.41734523,0.842533,-0.6355589,0.30734196,0.4766389,1.094754,-1.1489925,0.24086118,0.42946023
django__django-14122,0.9609565,0.0989567,0.18173933,0.24538478,1.0017365,0.1727957,0.18259738,0.23849702,0.97470003,0.026339935,0.19078656,0.23406404
django__django-14140,0.9519222,1.2760195,0.123283975,0.25244424,-0.0013451373,0.3868605,0.14626758,0.73670864,0.45403692,0.51905864,0.1833595,0.46570686
django__django-14155,1.069692,2.3469307,0.19321764,0.97646266,1.0108448,2.0736995,0.28860313,0.92822963,1.1327066,2.2547348,0.28701338,0.9113947
django__django-14170,1.0953904,1.9763759,0.16893524,0.46884915,0.8955733,1.5468471,0.25508654,0.5734406,0.9965277,1.6785777,0.25345293,0.5126042
django__django-14238,0.9351661,-0.45259824,0.17932297,0.33355027,0.9203974,-0.3491841,0.249339,0.3463232,1.3462125,-0.6770176,0.22250463,0.24854746
django__django-14311,0.8082247,0.3554735,0.177443,0.31777227,1.5099915,0.49599057,0.22552474,0.17685583,1.0380595,0.34295195,0.2108919,0.25535005
django__django-14315,1.0009478,2.0195324,0.15998483,0.5298772,0.7897312,1.5653988,0.2457932,0.55663115,1.0361938,1.7682359,0.23978351,0.5290353
django__django-14349,0.9790852,-0.5063256,0.17813817,0.34466395,0.75593436,-0.2802281,0.24832651,0.38051158,1.2347581,-0.9090058,0.20165569,0.25854194
django__django-14351,0.78842264,0.48062503,0.17608245,0.27829602,1.1759624,0.6674861,0.18665388,0.20774028,0.34301305,0.35331574,0.17927724,0.45477924
django__django-14373,1.1136798,-1.6331475,0.19189039,0.5308893,1.0294293,-1.077602,0.3115161,0.53828126,1.1989361,-1.5004749,0.26381034,0.49457067
django__django-14376,0.9732335,1.0327476,0.15767458,0.29399973,0.84748185,1.0808036,0.1848255,0.3307135,1.0038557,1.0296229,0.21504702,0.2754874
django__django-14404,0.96201783,0.8531887,0.1679088,0.25851855,0.92827356,0.8633398,0.1802832,0.26970285,0.9529587,0.6815988,0.20732048,0.2577067
django__django-14434,0.9242764,-0.12934525,0.1825071,0.28538603,1.0543087,-0.03360325,0.22277439,0.24571522,1.213118,-0.25792894,0.20440024,0.2122697
django__django-14493,1.0086001,-0.41422215,0.18578473,0.29527938,0.774973,-0.14868395,0.23838528,0.38861236,1.2126547,-0.61489767,0.19734289,0.2495474
django__django-14500,0.9442804,-0.35844088,0.1670561,0.25846645,0.86214554,-0.07905639,0.20161927,0.2614422,0.4799953,-0.029443994,0.17611629,0.43167257
django__django-14534,1.0216873,1.6968449,0.1479924,0.36748934,0.8876811,1.4825199,0.23421872,0.40468568,0.8667546,1.3485286,0.2481857,0.41527185
django__django-14539,0.54579365,0.04500425,0.20701018,0.45559403,0.97895825,-0.2507342,0.24570218,0.27832276,1.2235379,-0.57747513,0.19938123,0.21708132
django__django-14559,0.8196477,-0.29455432,0.17230782,0.27389333,0.9296678,-0.20456429,0.21612422,0.2580638,0.67996556,-0.21942417,0.16563205,0.34392598
django__django-14580,0.6683177,0.33842444,0.18250681,0.3613482,1.191094,0.38506228,0.19567585,0.2192915,1.3150771,0.27040708,0.21980874,0.20100477
django__django-14608,0.7156297,-0.05984385,0.19033803,0.31998953,0.60033405,0.032431237,0.217332,0.34977442,1.3050863,-0.48343125,0.19640364,0.18800615
django__django-14631,0.75942385,0.5009005,0.18040867,0.34547526,1.1013917,0.79788935,0.18533275,0.21326612,0.89807755,0.5824912,0.19583458,0.27466285
django__django-14672,0.98291427,-0.84673804,0.17019671,0.3404579,0.9939554,-0.61905575,0.27224332,0.35226345,1.0410002,-0.86432534,0.22506419,0.3303798
django__django-14725,0.99321944,1.5347234,0.16552566,0.44825837,1.0328187,1.7832764,0.24887438,0.3714187,0.95861083,1.5304345,0.23982248,0.46019983
django__django-14752,1.12509,-1.1775764,0.18019573,0.396111,1.0370272,-0.7941266,0.31099972,0.38373676,1.1910098,-1.0661442,0.2444059,0.37314862
django__django-14765,0.9668093,-1.0993884,0.1596907,0.38548803,0.5181279,-0.28494492,0.28105268,0.5221924,1.1936961,-1.3339143,0.21820201,0.32733718
django__django-14771,0.890568,0.40159327,0.18298899,0.26432073,0.6097615,0.46964294,0.17029,0.34166512,1.1927315,0.37828627,0.20150207,0.18762314
django__django-14787,0.88821507,-0.24867672,0.18532307,0.31361395,1.1426201,-0.15937535,0.25954342,0.27159196,1.2751573,-0.5602985,0.2151668,0.22327882
django__django-14792,1.0422776,2.1194427,0.17749403,0.6059538,1.0057366,1.9677411,0.29005638,0.57848763,1.0556744,1.8881474,0.26406848,0.6412031
django__django-14855,1.0526389,-1.3370688,0.17177399,0.51631474,1.2722409,-1.2007967,0.27335158,0.3996344,0.65211743,-0.71558946,0.2275834,0.66215616
django__django-14915,1.1096371,-1.1413164,0.16586211,0.36289033,1.109121,-0.73669785,0.29117337,0.35318208,1.0457162,-0.8844582,0.2465224,0.37918267
