,theta1,theta1_std,theta2,theta2_std,theta3,theta3_std,theta_avg
20250807_openhands_gpt5,0.2296698,0.17854893,2.3257565,0.17768103,0.33804065,0.17828473,0.964489
20250623_warp,-0.11538406,0.17854714,1.8949069,0.1706157,0.99060297,0.17393233,0.9233753
20250519_trae,-0.10514367,0.18442836,0.75649136,0.15323894,2.112096,0.18485892,0.9211479
20250515_Refact_Agent,0.42561993,0.17810178,0.8569687,0.15483555,1.4741143,0.1668589,0.91890097
20250715_qodo_command,-0.10643349,0.16825326,1.8323961,0.17022277,1.0205939,0.18068641,0.9155188
20251014_Lingxi_kimi_k2,-0.030013513,0.18205273,1.7636975,0.16818415,1.0007403,0.18074977,0.9114747
20250710_bloop,0.14408103,0.17158738,1.3518178,0.15465254,1.2334334,0.17434923,0.9097774
20250611_moatless_claude-4-sonnet-20250514,0.24812225,0.18063757,1.4296741,0.15417774,1.0207462,0.1706551,0.8995142
20250929_Prometheus_v1.2_gpt5,0.8926058,0.16962855,2.21808,0.16277266,-0.44276288,0.15599978,0.8893077
20250610_augment_agent_v1,-0.49637914,0.18448962,1.7469522,0.16402492,1.4103466,0.19255413,0.8869732
20250430_zencoder_ai,0.5159757,0.17750686,0.80843884,0.14858006,1.2856612,0.17086709,0.8700252
20250524_openhands_claude_4_sonnet,-0.5288192,0.17801325,1.6449227,0.16111036,1.4744036,0.17207067,0.8635023
20250519_devlo,0.069519944,0.17568621,1.0939518,0.16407654,1.424175,0.18305394,0.862549
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,-0.04920623,0.18459025,1.9106561,0.17293726,0.7231025,0.16916484,0.8615174
20250516_cortexa_o3,0.5549247,0.1640862,1.3448584,0.14489402,0.5195432,0.1567699,0.8064421
20250930_zai_glm4-6,-0.06415659,0.1683557,1.4811393,0.16073938,0.940957,0.16564213,0.7859799
20250514_aime_coder,-0.19287303,0.17101052,0.7633778,0.15251975,1.6589438,0.16899009,0.7431495
20250522_sweagent_claude-4-sonnet-20250514,-0.6510215,0.1745773,1.549073,0.15815845,1.2645613,0.16076182,0.720871
20250405_amazon-q-developer-agent-20250405-dev,-0.32504547,0.16918613,0.5148484,0.14915915,1.9219556,0.1770244,0.7039195
20250415_openhands,-0.3063333,0.17316371,1.3076241,0.1504742,1.0670074,0.1606934,0.6894328
20250316_augment_agent_v0,-0.11843929,0.1750309,0.5929418,0.15271562,1.5866007,0.17075731,0.68703437
20250716_openhands_kimi_k2,-0.17220534,0.17468897,0.9364222,0.1569967,1.242832,0.16893935,0.6690163
20250503_patchpilot-v1.1-o4-mini,0.6889728,0.17378038,0.75500804,0.12693892,0.53955585,0.1581218,0.6611789
20250117_wandb_programmer_o1_crosscheck5,0.6085707,0.16610256,1.1272304,0.14216395,0.22385396,0.14607954,0.6532183
20250206_agentscope,0.5205824,0.17306373,-0.11930825,0.13512433,1.5010865,0.1647385,0.6341202
20250228_epam-ai-run-claude-3-5-sonnet,0.38611737,0.180607,-1.0399358,0.14705783,2.5172253,0.16435406,0.6211356
20250728_zai_glm4-5,-0.62603396,0.17703666,1.5641074,0.14602973,0.906634,0.16358337,0.6149025
20250224_tools_claude-3-7-sonnet,-0.22895303,0.17506543,1.1037621,0.14510168,0.9222518,0.15234181,0.5990203
20250110_blackboxai_agent_v1.1,0.5610269,0.16735771,0.17061163,0.13608249,1.0500168,0.15272771,0.5938851
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.34660193,0.17248899,-0.5775181,0.14791615,1.9633702,0.1516916,0.57748467
20250225_sweagent_claude-3-7-sonnet,0.03510504,0.16150591,0.33195844,0.13682634,1.2698746,0.15538335,0.545646
20250203_openhands_4x_scaled,-0.072760455,0.1600517,-0.101164356,0.13283198,1.7337283,0.15278873,0.5199345
20250110_learn_by_interact_claude3.5,0.72822803,0.17374015,0.14888808,0.1457145,0.6165597,0.14743958,0.4978919
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.2399824,0.15149546,0.95560247,0.13122725,0.23307824,0.14622194,0.47622105
20241213_devlo,0.38198513,0.15338087,-0.10260513,0.13005711,1.0750021,0.14253585,0.4514607
20250410_cortexa,0.8089536,0.16778773,0.0353671,0.13827872,0.47712854,0.13569872,0.44048306
20250629_deepswerl_r2eagent_tts,0.43466976,0.15800875,0.64384097,0.13678399,0.2336291,0.1424,0.43737996
20241223_emergent,0.36475614,0.17720047,-0.46419352,0.13416138,1.296584,0.14034386,0.3990489
20241208_gru,1.1823905,0.17729823,-0.5941829,0.13680537,0.57114446,0.14005736,0.38645068
20250924_artemis_agent_v2,-0.63647103,0.16071081,1.1681082,0.12918082,0.62013686,0.14145519,0.3839247
20250405_swe-rizzo_claude37,-0.32338572,0.15993646,0.50459695,0.12678179,0.9274217,0.13739617,0.3695443
20241212_epam-ai-run-claude-3-5-sonnet,0.16189952,0.15733328,-0.73564994,0.1358333,1.5622454,0.13505447,0.32949832
20241202_amazon-q-developer-agent-20241202-dev,-0.035134595,0.16274756,-0.29389477,0.1343728,1.2870097,0.13427858,0.3193268
20241108_devlo,0.09465842,0.16390967,-0.51954657,0.13611838,1.3470289,0.14305216,0.30738023
20250804_codesweep_sweagent_kimi_k2_instruct,0.5356356,0.15415278,-0.6798062,0.13598785,0.9834952,0.13412106,0.27977487
20251110_frogboss-32b,-0.4901948,0.15840179,1.006693,0.13618976,0.30476037,0.14049844,0.27375284
20241212_google_jules_gemini_2.0_flash_experimental,0.73685485,0.16145056,0.5612252,0.13215858,-0.51821816,0.12506269,0.25995395
20250901_entroPO_R2E_QwenCoder30BA3B,-0.06739256,0.1594742,0.46402335,0.13332964,0.35863605,0.13419187,0.25175563
20250120_Bracket,-0.41141003,0.15582317,0.26753393,0.13367738,0.89635575,0.13483964,0.25082657
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,-0.3272032,0.16571409,-0.42278764,0.13403945,1.4874582,0.13555187,0.24582247
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.14356586,0.16148444,-0.037148222,0.13922256,0.59768814,0.13722967,0.23470193
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.76353526,0.16269414,-0.3484264,0.1306948,0.18965489,0.13909042,0.20158792
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,-0.3618431,0.15595672,0.57509863,0.1311376,0.34987023,0.13425818,0.18770857
20241125_enginelabs,-0.33032116,0.15898125,-0.758617,0.13505849,1.6276287,0.14144164,0.17956352
20241028_solver,0.23584709,0.15642434,-0.22947986,0.13105814,0.5303442,0.1262799,0.1789038
20241125_marscode-agent-dev,-0.21013181,0.15494831,-0.30721536,0.13973452,0.9774799,0.13330005,0.15337758
20241105_nfactorial,0.38115105,0.1529399,-1.3111676,0.1473769,1.3533509,0.14133511,0.14111145
20241022_tools_claude-3-5-sonnet-updated,-0.4778049,0.15464239,-0.52031344,0.13506773,1.385047,0.14353712,0.12897621
20241025_composio_swekit,0.44160813,0.16506922,-0.987797,0.13233711,0.9234479,0.14087972,0.125753
20250616_Skywork-SWE-32B+TTS_Bo8,0.031081643,0.14689347,0.20651506,0.12902655,0.07129908,0.12754191,0.102965266
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,0.48897666,0.15760815,-0.4521481,0.14483774,0.2655484,0.12822382,0.10079232
20241023_emergent,0.80603355,0.15025523,-0.4168599,0.1392682,-0.09066953,0.13072684,0.09950137
20241106_navie-2-gpt4o-sonnet,0.46880016,0.15745156,-0.19234915,0.12985572,0.02195724,0.1331666,0.099469416
20250528_patchpilot_Co-PatcheR,-0.023527263,0.14353867,0.22425775,0.13652873,0.019847829,0.1266418,0.07352611
20250520_openhands_devstral_small,-0.060357038,0.15512557,0.054497957,0.12680827,0.18855356,0.13007759,0.06089816
20240924_solver,0.7734999,0.1553457,-1.0440545,0.13951969,0.40531108,0.1298353,0.044918824
20240824_gru,0.90005213,0.14793897,-0.67290413,0.13175507,-0.15361749,0.12996313,0.02451017
20251110_frogmini-14b,-0.24524672,0.1604705,-0.1534483,0.139461,0.47045603,0.12728643,0.023920337
20240920_solver,0.4922472,0.16193624,-0.56395435,0.12889889,0.036876008,0.13468185,-0.011610384
20250118_codeshellagent_gemini_2.0_flash_experimental,0.4170322,0.15324128,-0.65638834,0.13777953,0.17290527,0.13218574,-0.022150287
20250806_SWE-Exp_DeepSeek-V3,0.031493526,0.14589043,-0.33922145,0.13511115,0.14005369,0.121468775,-0.055891413
20250629_deepswerl_r2eagent,-0.33191347,0.14694902,0.3831667,0.13784476,-0.22429524,0.12341647,-0.05768067
20250527_amazon.nova-premier-v1.0,-0.06468009,0.14465082,-0.27292502,0.13737655,0.12277235,0.12703902,-0.07161092
20241030_nfactorial,0.2502619,0.1449159,-0.21384203,0.12686855,-0.25693205,0.12063185,-0.07350406
20250214_agentless_lite_o3_mini,-0.020798374,0.14409369,0.3341206,0.13139412,-0.54400575,0.13372181,-0.076894514
20250112_ugaiforge,0.7184937,0.16306742,-0.89136827,0.14371435,-0.065032855,0.13770548,-0.079302475
20250226_swerl_llama3_70b,0.38694727,0.1529271,0.20818785,0.13759936,-0.8398903,0.12239421,-0.08158507
20241113_nebius-search-open-weight-models-11-24,0.4979037,0.14673519,-0.5100097,0.14175504,-0.28549716,0.13193339,-0.09920105
20250511_sweagent_lm_32b,0.28034297,0.15920961,-0.44490835,0.1467253,-0.14171077,0.12582457,-0.10209205
20241016_composio_swekit,0.2815186,0.15278819,-0.50120324,0.13368474,-0.108263284,0.1263313,-0.10931597
20240820_honeycomb,0.22511633,0.14982015,-0.74832094,0.13931166,0.18338498,0.12956542,-0.11327321
20241028_agentless-1.5_gpt4o,0.66245717,0.14439727,-0.3086086,0.14530121,-0.7409147,0.1333071,-0.12902205
20241022_tools_claude-3-5-haiku,0.08958342,0.15229726,-0.8171962,0.14119403,0.31332856,0.14229883,-0.13809474
20241029_epam-ai-run-claude-3-5-sonnet,0.23063838,0.14364678,-0.4978093,0.13186885,-0.16292986,0.123067655,-0.14336692
20240628_autocoderover-v20240620,0.89198554,0.1541255,-0.07689263,0.13766357,-1.2812389,0.12868652,-0.15538199
20240721_amazon-q-developer-agent-20240719-dev,0.64553463,0.16312835,-1.1922773,0.15458931,0.01726597,0.13335913,-0.17649223
20250616_Skywork-SWE-32B,-0.24742348,0.15492222,-0.07100755,0.14244439,-0.21545868,0.12243478,-0.17796324
20240617_factory_code_droid,1.093635,0.1477014,-0.91465336,0.15406369,-0.7445039,0.13480471,-0.18850744
20250725_sweagent_devstral_small_2507,-0.18378095,0.1615845,-0.8608962,0.15701433,0.38498554,0.13223454,-0.2198972
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,0.6658059,0.15098974,-0.1760288,0.13757662,-1.3786738,0.13937846,-0.2962989
20240620_sweagent_claude3.5sonnet,-0.16007775,0.14159596,-0.5948692,0.13589394,-0.20654538,0.12795398,-0.32049742
20241120_artemis_agent,-0.3970078,0.13893062,-0.3189413,0.13534287,-0.3281625,0.122235455,-0.34803715
20240612_MASAI_gpt4o,0.2549058,0.14959902,-0.626389,0.14698917,-0.6805454,0.1323851,-0.3506762
20241007_nfactorial,-0.21631368,0.1439566,-0.43059894,0.15048093,-0.42767745,0.13156083,-0.3581967
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,0.44367284,0.14630863,-0.11104832,0.15112181,-1.43657,0.13729766,-0.36798182
20241002_lingma-agent_lingma-swe-gpt-72b,0.4831009,0.14713615,-0.42527846,0.15635647,-1.4191706,0.13613373,-0.4537827
20240615_appmap-navie_gpt4o,0.77577835,0.15342662,-0.6065393,0.17003086,-1.6535081,0.15445955,-0.49475634
20240918_lingma-agent_lingma-swe-gpt-72b,0.06581458,0.1458387,-0.29461235,0.1479938,-1.3430761,0.1443292,-0.52395797
20240509_amazon-q-developer-agent-20240430-dev,-0.033314154,0.15169285,-0.49426422,0.1694503,-1.1009914,0.14422482,-0.5428566
20241016_epam-ai-run-gpt-4o,0.8354496,0.15317844,-1.2196735,0.17239146,-1.248253,0.14698139,-0.544159
20250627_agentless_MCTS-Refine-7B,-0.46368787,0.15873927,0.5820513,0.14934613,-1.833305,0.15095872,-0.5716472
20241001_nfactorial,0.00066638214,0.14651932,-1.0120344,0.16896293,-0.72542244,0.14018288,-0.57893014
20240820_epam-ai-run-gpt-4o,0.095240355,0.14626873,-0.8108746,0.14998361,-1.0706177,0.1351417,-0.5954173
20240728_sweagent_gpt4o,-0.9184315,0.15696695,-0.5873432,0.16779351,-0.46597704,0.14280985,-0.6572506
20240402_sweagent_gpt4,-0.11073429,0.15484531,-1.230272,0.16405109,-0.72799283,0.13169873,-0.68966645
20241002_lingma-agent_lingma-swe-gpt-7b,-0.75015706,0.15407667,-0.5055544,0.17802003,-1.102702,0.14736971,-0.7861378
20240402_sweagent_claude3opus,-0.6919252,0.16816665,-1.4904464,0.18025276,-0.6670224,0.13828854,-0.94979805
20240918_lingma-agent_lingma-swe-gpt-7b,-0.5478924,0.19345452,-0.73497367,0.20232576,-2.077716,0.19733419,-1.1201941
20240402_rag_claude3opus,-2.0453331,0.21642932,-0.84437424,0.22744963,-1.0985615,0.20955732,-1.329423
20231010_rag_claude2,-1.9382769,0.2611415,-1.4104828,0.31292468,-1.4105412,0.24558944,-1.5864335
20240402_rag_gpt4,-1.8844533,0.31174365,-1.2533884,0.3264885,-2.0451334,0.30009222,-1.7276583
20231010_rag_swellama7b,-2.4220684,0.41267717,-0.4595293,0.36039683,-2.971755,0.42789027,-1.9511175
20231010_rag_swellama13b,-3.0072815,0.42907763,-0.69335014,0.36885846,-2.291103,0.38151613,-1.9972448
20231010_rag_gpt35,-2.3422,0.5238819,-1.6274455,0.5724622,-2.8374994,0.58232063,-2.2690485
