,theta1,theta1_std,theta2,theta2_std,theta_avg
20250522_sweagent_claude-4-sonnet-20250514,0.13042212,0.13193585,1.6022437,0.12728417,0.8663329
20250415_openhands,0.32099587,0.12261341,1.3773483,0.12212423,0.8491721
20250514_aime_coder,0.66404337,0.12716581,0.97559106,0.12428981,0.8198172
20250716_openhands_kimi_k2,0.45368037,0.122681305,1.1332504,0.13265936,0.7934654
20250405_amazon-q-developer-agent-20250405-dev,0.8121523,0.13185823,0.7680626,0.118633345,0.7901075
20250316_augment_agent_v0,0.81413686,0.121386066,0.7573968,0.12270006,0.78576684
20250728_zai_glm4-5,-0.07154295,0.12105272,1.6314918,0.12554912,0.7799744
20250117_wandb_programmer_o1_crosscheck5,0.26663864,0.11193574,1.1454772,0.12018376,0.7060579
20250224_tools_claude-3-7-sonnet,0.26190716,0.11898099,1.1423076,0.12138149,0.7021074
20250503_patchpilot-v1.1-o4-mini,0.57972187,0.12142152,0.8006874,0.12115993,0.6902046
20250206_agentscope,1.1666635,0.11983774,0.07508253,0.12180176,0.62087303
20250110_blackboxai_agent_v1.1,0.93322694,0.1158828,0.30249074,0.120740525,0.6178588
20250225_sweagent_claude-3-7-sonnet,0.77208996,0.11357193,0.46068045,0.12553856,0.6163852
20250228_epam-ai-run-claude-3-5-sonnet,1.8117592,0.12652214,-0.58986807,0.11783601,0.6109456
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,1.5157354,0.13019486,-0.35901266,0.115508735,0.5783614
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.109884724,0.11089703,0.9608822,0.12195044,0.53538346
20250203_openhands_4x_scaled,0.93630564,0.11870351,0.09063205,0.12259561,0.51346886
20250924_artemis_agent_v2,-0.25219733,0.113264844,1.2137797,0.119379506,0.48079118
20250110_learn_by_interact_claude3.5,0.76930016,0.11815979,0.15792775,0.11530405,0.46361396
20250629_deepswerl_r2eagent_tts,0.25642332,0.110182315,0.64632404,0.11116665,0.4513737
20250410_cortexa,0.7156333,0.11767489,0.11910934,0.11157186,0.4173713
20250405_swe-rizzo_claude37,0.23659405,0.1094308,0.5867295,0.11177205,0.4116618
20241213_devlo,0.85346687,0.11259628,-0.034928314,0.11487851,0.40926927
20241223_emergent,1.0239625,0.115159705,-0.2801516,0.10993325,0.37190545
20241202_amazon-q-developer-agent-20241202-dev,0.8016905,0.110411204,-0.16875537,0.11310838,0.31646758
20241208_gru,1.0806615,0.10730741,-0.45630527,0.1063884,0.31217813
20251110_frogboss-32b,-0.37029055,0.105001904,0.99280083,0.10379906,0.31125516
20241212_epam-ai-run-claude-3-5-sonnet,1.076409,0.12184994,-0.46169695,0.119421326,0.307356
20250120_Bracket,0.24264178,0.107832216,0.2712375,0.11263029,0.25693965
20241108_devlo,0.9272768,0.11413667,-0.4182338,0.11325861,0.2545215
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.67210597,0.106378175,-0.18968734,0.119616605,0.24120931
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,-0.14846464,0.10668566,0.61745137,0.10633628,0.23449337
20241212_google_jules_gemini_2.0_flash_experimental,-0.13117771,0.102719724,0.5672663,0.10219448,0.21804428
20250901_entroPO_R2E_QwenCoder30BA3B,0.02081271,0.104737,0.40787303,0.11261126,0.21434288
20250804_codesweep_sweagent_kimi_k2_instruct,0.92930716,0.11267236,-0.5260049,0.11945976,0.20165113
20241125_enginelabs,0.75993335,0.10414993,-0.39511243,0.116524205,0.18241046
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.3590104,0.108189106,-0.025641214,0.11398895,0.1666846
20241028_solver,0.46855262,0.102452226,-0.18272606,0.10871455,0.14291328
20241125_marscode-agent-dev,0.45143253,0.109537244,-0.1943695,0.1149304,0.12853152
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.57898706,0.111689955,-0.3514604,0.120704375,0.11376333
20241022_tools_claude-3-5-sonnet-updated,0.5195762,0.10769419,-0.34000048,0.11263043,0.089787856
20250520_openhands_devstral_small,0.08679685,0.10754748,-0.014477639,0.109942295,0.036159605
20250616_Skywork-SWE-32B+TTS_Bo8,-0.13932389,0.10272933,0.20492624,0.10924908,0.032801174
20241105_nfactorial,1.1550136,0.11638921,-1.1122944,0.120295644,0.021359563
20250528_patchpilot_Co-PatcheR,-0.19821525,0.100288875,0.23682618,0.10347986,0.019305468
20241025_composio_swekit,0.8783806,0.101232454,-0.8502744,0.11427162,0.014053106
20241106_navie-2-gpt4o-sonnet,0.34185028,0.10471855,-0.35057235,0.11844862,-0.0043610334
20241023_emergent,0.42390594,0.105524264,-0.47665372,0.110035434,-0.026373893
20251110_frogmini-14b,0.01579834,0.10523571,-0.082748264,0.11756538,-0.033474963
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,0.29268417,0.10483718,-0.37401575,0.11077996,-0.04066579
20240824_gru,0.53186923,0.10327108,-0.7411437,0.11064386,-0.104637235
20250629_deepswerl_r2eagent,-0.59629536,0.10376049,0.37252697,0.10628146,-0.11188419
20250118_codeshellagent_gemini_2.0_flash_experimental,0.4219549,0.10591361,-0.65236205,0.110166214,-0.115203574
20240924_solver,0.7491879,0.11672793,-0.9833641,0.11788046,-0.11708811
20240920_solver,0.29296437,0.10854711,-0.55430377,0.12521653,-0.1306697
20250214_agentless_lite_o3_mini,-0.50496536,0.10474232,0.2412106,0.11075707,-0.13187739
20250806_SWE-Exp_DeepSeek-V3,0.092576675,0.11145435,-0.38960168,0.11027924,-0.1485125
20250226_swerl_llama3_70b,-0.39290833,0.098452106,0.07668668,0.10549174,-0.15811083
20250527_amazon.nova-premier-v1.0,0.017442256,0.10100694,-0.36905524,0.112088904,-0.1758065
20241030_nfactorial,-0.17489074,0.107075125,-0.17905842,0.11115748,-0.17697458
20250112_ugaiforge,0.46727473,0.105423905,-0.9035821,0.1218923,-0.21815369
20250511_sweagent_lm_32b,0.048999347,0.103189096,-0.50513774,0.113811925,-0.2280692
20241016_composio_swekit,0.07857731,0.09906137,-0.556079,0.10425156,-0.23875083
20241022_tools_claude-3-5-haiku,0.20472665,0.10393018,-0.68558127,0.117372945,-0.24042732
20241113_nebius-search-open-weight-models-11-24,0.09074228,0.09974058,-0.5952445,0.12180835,-0.25225112
20250616_Skywork-SWE-32B,-0.36907646,0.10146171,-0.1394363,0.1112755,-0.25425637
20240820_honeycomb,0.29184693,0.10426116,-0.80090857,0.12268432,-0.25453082
20241029_epam-ai-run-claude-3-5-sonnet,0.08907106,0.09978463,-0.6196894,0.11089489,-0.26530918
20241028_agentless-1.5_gpt4o,-0.15490046,0.10554465,-0.4035485,0.119242735,-0.2792245
20240628_autocoderover-v20240620,-0.3727853,0.10477342,-0.20847024,0.11756603,-0.29062778
20250725_sweagent_devstral_small_2507,0.19583318,0.10220501,-0.8325173,0.106160864,-0.3183421
20240721_amazon-q-developer-agent-20240719-dev,0.6043061,0.10752384,-1.3292961,0.13133581,-0.362495
20240617_factory_code_droid,0.2797012,0.10310838,-1.1336173,0.119663864,-0.42695802
20240620_sweagent_claude3.5sonnet,-0.2908093,0.10219687,-0.6383528,0.12552144,-0.46458107
20241120_artemis_agent,-0.595124,0.09572418,-0.34469363,0.1120688,-0.46990883
20241007_nfactorial,-0.5582856,0.10274645,-0.4198023,0.11681597,-0.48904395
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,-0.35569802,0.10175406,-0.6416674,0.12840982,-0.49868274
20240612_MASAI_gpt4o,-0.35356954,0.09841976,-0.7010108,0.120564364,-0.52729017
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-0.5628683,0.101446405,-0.60014164,0.11730278,-0.58150494
20241002_lingma-agent_lingma-swe-gpt-72b,-0.46059784,0.102615036,-0.8714037,0.1243447,-0.6660008
20240918_lingma-agent_lingma-swe-gpt-72b,-0.78366846,0.104738995,-0.7116477,0.12748069,-0.7476581
20250627_agentless_MCTS-Refine-7B,-1.504957,0.10678241,-0.021536674,0.12102115,-0.76324683
20240509_amazon-q-developer-agent-20240430-dev,-0.71104777,0.10878318,-0.817178,0.12718178,-0.7641129
20240615_appmap-navie_gpt4o,-0.57375926,0.10335949,-0.96703476,0.11775103,-0.770397
20241001_nfactorial,-0.44839254,0.10783335,-1.1235995,0.12939319,-0.785996
20241016_epam-ai-run-gpt-4o,-0.2291456,0.10241808,-1.3628486,0.13066396,-0.79599714
20240728_sweagent_gpt4o,-0.95771873,0.10915373,-0.6472785,0.13370416,-0.8024986
20240820_epam-ai-run-gpt-4o,-0.5460037,0.10790989,-1.1633853,0.12456466,-0.8546945
20240402_sweagent_gpt4,-0.33301032,0.11558673,-1.564384,0.1601226,-0.94869715
20241002_lingma-agent_lingma-swe-gpt-7b,-1.2327275,0.111822404,-0.76422775,0.13569497,-0.99847764
20240402_sweagent_claude3opus,-0.879004,0.1148916,-1.4861643,0.16510409,-1.1825842
20240918_lingma-agent_lingma-swe-gpt-7b,-1.6963218,0.13814561,-1.1296809,0.16235131,-1.4130013
20240402_rag_claude3opus,-2.2301924,0.15792766,-0.92581666,0.1891289,-1.5780046
20231010_rag_claude2,-2.1960578,0.19816022,-1.594426,0.254483,-1.895242
20240402_rag_gpt4,-2.387205,0.22470513,-1.8641616,0.29324612,-2.1256833
20231010_rag_swellama13b,-3.6399567,0.30595243,-0.863111,0.34656423,-2.251534
20231010_rag_swellama7b,-3.5678296,0.3290208,-0.95889235,0.3158397,-2.263361
20231010_rag_gpt35,-3.3641787,0.39925945,-2.1396255,0.5561791,-2.751902
