,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std
django__django-12741,1.4047372,-0.33212456,0.19055627,0.17858064,1.1101565,-0.04473073,0.21775115,0.23195095
django__django-12754,1.2871177,0.42696214,0.21372616,0.20434682,1.8802847,0.5220177,0.23666093,0.14671078
django__django-12774,1.5491173,0.3484442,0.21452004,0.16634624,1.5930572,0.42660332,0.21714135,0.16552122
django__django-12858,1.2659552,-0.2326137,0.1981065,0.2001808,1.3384379,-0.11991861,0.24960418,0.18144818
django__django-12965,1.466786,0.62205535,0.2221734,0.17991683,1.7090724,0.7002694,0.23620868,0.16282547
django__django-13012,1.3771988,-0.25532365,0.18886761,0.17811006,0.96392024,0.06700806,0.21658498,0.23260179
django__django-13023,1.3428113,0.40708175,0.2084537,0.16293095,1.1103448,0.4917718,0.1897232,0.20651072
django__django-13028,1.3343921,-0.5397605,0.20554772,0.22061099,1.5768942,-0.44039112,0.27059853,0.18188381
django__django-13033,1.5463003,0.09535665,0.2206507,0.17549232,1.5890383,0.22274104,0.2396304,0.16772531
django__django-13089,1.4040146,-1.7281517,0.18763116,0.33805367,1.1141412,-0.92716897,0.2834204,0.40624613
django__django-13109,1.5360085,-1.6799879,0.20160502,0.34422415,1.2191657,-0.93847114,0.29734296,0.36235887
django__django-13112,1.4384618,0.5522538,0.22042885,0.18077186,1.6599553,0.62086153,0.22531092,0.15575887
django__django-13121,1.503154,0.37478912,0.2296462,0.1683398,1.4944106,0.45361003,0.20888752,0.17239012
django__django-13128,1.5593448,0.45605907,0.23352793,0.18632272,1.680289,0.5266904,0.23424128,0.15999195
django__django-13158,1.4356332,0.12588163,0.2105187,0.18248731,1.4802423,0.2267016,0.220186,0.17728812
django__django-13195,1.4220148,2.248185,0.2096521,0.49575692,1.3475485,2.070917,0.30125073,0.44769973
django__django-13212,1.4811304,2.857866,0.23501578,0.7494422,1.1884137,2.370002,0.3284782,0.79294866
django__django-13279,1.5154797,-0.15349244,0.20245175,0.15724295,1.033316,0.120716356,0.2017552,0.22290356
django__django-13297,1.3213446,0.38715336,0.22351351,0.19106427,1.6711751,0.49298388,0.23169231,0.15934052
django__django-13315,1.5652015,-0.14122784,0.20265287,0.15911792,0.88783634,0.13002184,0.19961244,0.25509498
django__django-13343,1.3076786,-0.40974095,0.17685536,0.18606928,1.0892485,-0.06308547,0.20460854,0.2188957
django__django-13344,1.4019272,2.3265789,0.19440004,0.41986427,1.3741796,1.9882395,0.29519764,0.43292147
django__django-13346,1.4756875,0.5163701,0.21679264,0.16775182,1.4460622,0.5314277,0.20553239,0.17278174
django__django-13363,1.4661169,-1.3530949,0.17960507,0.2765277,1.2136904,-0.7464658,0.3035712,0.33127442
django__django-13401,1.5994325,-0.29104668,0.21153969,0.14893425,0.6223294,0.21569827,0.18035863,0.34402177
django__django-13406,1.3844135,0.37097633,0.20912677,0.17021799,1.0601296,0.4183191,0.18048483,0.21162641
django__django-13410,1.6158893,-1.604615,0.19325869,0.24562873,0.8046318,-0.40370834,0.28653502,0.4191812
django__django-13417,1.4753777,-0.7810827,0.19770706,0.20903516,1.2989253,-0.48985463,0.26664788,0.21947026
django__django-13449,1.3516216,0.13752998,0.21411061,0.21065177,1.9672707,0.15368216,0.28613693,0.13761316
django__django-13512,1.3150463,0.70623636,0.20588017,0.18361396,1.0905068,0.81969434,0.1823161,0.22243215
django__django-13513,1.5351025,2.896125,0.22707257,0.7885839,1.2063092,2.2694738,0.32317424,0.79151934
django__django-13516,1.6703967,-1.0426574,0.19486785,0.1927144,1.1255577,-0.35885873,0.276957,0.2733802
django__django-13551,0.7817703,0.3750479,0.2520421,0.3641643,1.7063726,0.5513974,0.22412243,0.14956006
django__django-13568,1.018796,0.4609119,0.22254075,0.2632526,1.6403705,0.68443197,0.19446859,0.15525101
django__django-13569,1.3511748,-0.41323313,0.18428975,0.19449696,1.2993252,-0.25437105,0.22985563,0.20337209
django__django-13590,1.3102906,-0.42777902,0.1837978,0.21302387,1.0857699,-0.19963893,0.22775955,0.2246513
django__django-13658,1.3687005,-2.1773736,0.18768719,0.49161652,1.0752116,-1.3730955,0.29339537,0.4755454
django__django-13670,1.5783033,-1.4896407,0.19637531,0.2648056,0.7945497,-0.42958122,0.26679292,0.41183895
django__django-13741,1.4258732,-1.6010575,0.18499382,0.2885559,1.0038184,-1.031234,0.2792494,0.3943185
django__django-13786,1.4950175,-1.3115507,0.16879615,0.24301678,0.86896753,-0.4502764,0.26882008,0.3494364
django__django-13794,1.1849674,2.4153464,0.15952614,0.36881897,0.4144826,1.2968501,0.23786905,0.6441139
django__django-13807,1.0401046,0.6732375,0.23048452,0.2657273,1.6434472,0.9869384,0.21154746,0.16673642
django__django-13809,1.2733204,-0.8318533,0.15747422,0.20568202,0.64446765,-0.06352931,0.20437512,0.34983942
django__django-13810,0.9854826,-0.36078224,0.19844437,0.26935357,1.1529715,-0.5005595,0.22183461,0.20839813
django__django-13820,1.6432647,-1.4166627,0.2067574,0.24141848,1.0687884,-0.6554081,0.27775958,0.36822447
django__django-13821,1.50082,-1.1604673,0.19537286,0.2583962,1.164238,-0.6747087,0.29176402,0.31373885
django__django-13837,1.5466903,-0.6283795,0.19513366,0.17449054,0.897689,-0.05819781,0.22375807,0.275432
django__django-13925,1.0364535,0.47216165,0.2007134,0.22162937,0.84515435,0.5576661,0.17356737,0.2525299
django__django-13933,1.4063516,-0.9776945,0.1826573,0.21052495,0.99910325,-0.3763385,0.2531759,0.30682153
django__django-13964,1.2636842,0.12809287,0.21686956,0.21048434,1.2618701,0.22856094,0.21111189,0.19206056
django__django-14007,1.4039694,-0.07366831,0.20838368,0.16755271,1.3642225,0.04692968,0.23623092,0.18048203
django__django-14011,1.5538665,2.8791888,0.23626767,0.7572187,1.1666906,2.441747,0.30325365,0.8767797
django__django-14017,1.4751796,-0.058494557,0.21032193,0.1711429,1.5739175,0.053735226,0.23521058,0.16418529
django__django-14034,1.510575,2.8823426,0.21700321,0.8448967,1.2027085,2.3136268,0.31318167,0.8225151
django__django-14053,1.1379089,-0.924171,0.15193632,0.23098227,0.66132075,-0.084085785,0.21626852,0.32704946
django__django-14089,1.4956262,-1.7475756,0.18345839,0.32146126,1.0358232,-0.8185681,0.29364154,0.4131903
django__django-14122,1.393467,0.00027498126,0.20354664,0.17319486,1.227781,0.15008236,0.20564277,0.19221699
django__django-14140,1.0856489,1.2773852,0.1543629,0.23609918,0.028279582,0.8532936,0.1318276,0.80355203
django__django-14155,1.5007023,2.817055,0.22537813,0.8212284,1.2356286,2.4667995,0.31760046,0.8903839
django__django-14170,1.519442,2.2932243,0.18766448,0.3614364,1.0417908,1.6152813,0.27038816,0.47202575
django__django-14238,1.4624426,-0.83320904,0.18067613,0.19550079,1.1694263,-0.3775291,0.24556674,0.2634352
django__django-14311,1.2292253,0.37729648,0.21814838,0.20845415,1.7251256,0.44502887,0.24205208,0.15607084
django__django-14315,1.4138615,2.3570342,0.17474872,0.3879351,0.9172769,1.6142318,0.26432678,0.58117867
django__django-14349,1.442488,-1.045486,0.18542257,0.21957435,1.0672141,-0.4265424,0.24762437,0.28131282
django__django-14351,0.6990591,0.49049795,0.25380078,0.3266838,1.2181598,0.7753452,0.1691418,0.19083306
django__django-14373,1.5962058,-2.0861511,0.23748724,0.41365188,1.2177244,-1.2733623,0.3507591,0.45952043
django__django-14376,1.421616,1.2364899,0.17445986,0.20484108,1.0101656,1.0972596,0.19593586,0.25394994
django__django-14404,1.3783456,0.93535215,0.20469378,0.19571617,1.1085315,0.8055838,0.17486054,0.23301423
django__django-14434,1.5285485,-0.38422954,0.18873726,0.16418256,1.2284275,-0.11107976,0.23973311,0.19488528
django__django-14493,1.5954952,-0.8245914,0.179087,0.19135207,1.0173861,-0.18557741,0.24220273,0.2906465
django__django-14500,1.0892241,-0.32925332,0.17684743,0.22355415,0.84445643,-0.21598485,0.19741265,0.25980872
django__django-14534,1.3722932,1.9121447,0.18261991,0.30389714,1.0879495,1.5203551,0.23065498,0.36831358
django__django-14539,1.2520148,-0.50395846,0.19184357,0.2096501,1.2627254,-0.411489,0.23380615,0.20012234
django__django-14559,1.1122563,-0.39794773,0.18705292,0.23405428,0.9346301,-0.27904332,0.21219298,0.24630389
django__django-14580,1.3788164,0.220085,0.21740398,0.18222113,1.4610136,0.32507822,0.22051476,0.17169377
django__django-14608,1.4292034,-0.5033652,0.18439645,0.16912338,0.95358086,-0.05975155,0.21225004,0.25525767
django__django-14631,1.1693633,0.6048467,0.21268636,0.22811449,1.3111038,0.7980119,0.18710147,0.18913831
django__django-14672,1.448293,-1.2627132,0.18568395,0.25247166,1.0738465,-0.63825613,0.27820075,0.3217778
django__django-14725,1.3207804,1.8305438,0.18581268,0.35330254,1.2137017,1.7986095,0.2441444,0.32692462
django__django-14752,1.5814584,-1.5915561,0.20446734,0.302986,1.2809124,-0.9074594,0.32205626,0.36182982
django__django-14765,1.455078,-1.6555815,0.1846987,0.29291788,0.81587845,-0.6584818,0.275836,0.4348876
django__django-14771,1.4553974,0.35671043,0.20577934,0.15025015,0.8077166,0.39622143,0.16324271,0.2551389
django__django-14787,1.5503188,-0.64345354,0.20754665,0.18992937,1.4381903,-0.33013207,0.27659416,0.2113494
django__django-14792,1.4492213,2.5539317,0.20478076,0.54640985,1.1736556,2.1039767,0.29131335,0.586358
django__django-14855,1.2897868,-1.746,0.19469474,0.38683122,1.3033006,-1.1789378,0.30689037,0.3394053
django__django-14915,1.5387301,-1.4853959,0.19225934,0.2738101,1.188466,-0.71563804,0.28791663,0.3223965
django__django-14999,0.8403235,-0.027068028,0.19029665,0.27144814,1.0102998,-0.15202814,0.19897282,0.20432729
django__django-15022,1.385952,0.003726598,0.17598829,0.14633712,0.20940754,0.3398522,0.13582128,0.6169424
django__django-15037,1.170779,0.27603844,0.20623004,0.22626595,1.5924264,0.35247543,0.24881975,0.15397505
django__django-15098,1.4509592,2.3072698,0.19735962,0.41141748,1.2334349,1.9345232,0.28066227,0.47156295
django__django-15103,1.2301959,-0.2995539,0.20040438,0.21260628,1.5541555,-0.292843,0.2637292,0.15085372
django__django-15104,1.6790832,-1.9528592,0.20754807,0.34265944,1.0503116,-0.94174266,0.3258508,0.45145914
django__django-15127,1.1018823,1.0192338,0.20758021,0.25321817,0.77788657,1.3653134,0.16136025,0.3022358
django__django-15128,1.5649033,0.2875614,0.22019269,0.13614182,0.7162994,0.37181145,0.1816363,0.28566432
django__django-15161,0.9146275,0.26851115,0.22955416,0.26145968,1.5456688,0.3434607,0.21005876,0.16204186
django__django-15252,1.4232684,2.4554677,0.21002401,0.5701098,1.2775573,2.176609,0.31535718,0.50298864
django__django-15268,1.4185121,0.46863136,0.20831704,0.1705319,1.31897,0.48458403,0.18165833,0.17897367
django__django-15277,1.5117346,-1.5565386,0.20344979,0.29998937,1.250806,-0.9457956,0.31651887,0.341114
django__django-15278,1.453548,-0.53777224,0.19653654,0.20021011,1.5129113,-0.43471113,0.274116,0.20366944
django__django-15280,1.2615685,1.5383778,0.19310698,0.31276777,1.661998,1.7017162,0.29875222,0.23561792
django__django-15315,1.4718733,-1.1992786,0.17023595,0.2537883,1.0857284,-0.42549777,0.26068997,0.31297806
django__django-15368,1.6104983,-1.4430221,0.20831253,0.27323383,1.1356261,-0.80403787,0.28710437,0.37397397
django__django-15375,1.3108969,0.44785908,0.21722834,0.21308467,1.8354695,0.5378792,0.26060855,0.15663506
django__django-15380,1.3181437,-0.52970374,0.18698785,0.20551729,1.1387117,-0.21381581,0.20739153,0.2303181
django__django-15382,1.6025664,-0.09531143,0.21498278,0.163863,1.5083387,0.062490847,0.23877259,0.17544965
django__django-15467,1.6898313,-1.9182894,0.22456352,0.31891406,1.0844268,-1.0077766,0.3123423,0.43188572
django__django-15499,1.4637208,-1.0670922,0.19396329,0.2356137,1.176918,-0.47792614,0.2752583,0.27204347
django__django-15503,1.0890789,0.8517734,0.2374565,0.29499707,1.8811548,1.6668662,0.2748808,0.16863638
django__django-15525,1.1546938,0.094022915,0.20999412,0.22179562,1.8539795,0.08766646,0.260392,0.13655664
django__django-15554,1.2663933,1.1500404,0.2021537,0.25579053,1.5561717,1.3163326,0.24004065,0.19944564
django__django-15561,1.5426767,-0.59366816,0.19780454,0.18280673,1.4033518,-0.24423935,0.27541128,0.21951677
django__django-15563,1.4692651,1.5561298,0.19135079,0.21081235,0.81939113,1.2140281,0.20268713,0.34185058
django__django-15569,1.5309354,-1.4848037,0.18727523,0.27063042,1.1204094,-0.72790074,0.29785788,0.32990444
django__django-15572,1.2318143,-0.63808763,0.18362775,0.2137885,1.023677,-0.23452756,0.22462486,0.24790801
django__django-15629,1.5247799,3.004593,0.22979389,0.8253732,1.1425978,2.3679993,0.3119819,0.8781818
django__django-15695,1.2548208,2.1074393,0.14988562,0.30926076,0.76874346,1.1332039,0.23818775,0.40193328
django__django-15731,1.503144,-1.3985386,0.16003543,0.25807068,0.7307292,-0.31463492,0.25385806,0.41359222
django__django-15732,1.1653605,1.7626461,0.15050289,0.26166785,0.7882338,1.0305859,0.19680077,0.33517867
django__django-15741,1.497216,-1.2572359,0.15811948,0.20725757,0.485889,-0.06961306,0.24056669,0.53732187
django__django-15814,1.504858,-0.46902573,0.19028908,0.18016392,1.1324538,-0.08310654,0.22879994,0.22616644
django__django-15851,1.5116016,-1.2332027,0.2002439,0.2537429,1.3054938,-0.6370085,0.29235226,0.26224682
django__django-15863,1.4276793,-0.58663446,0.19010903,0.20652342,1.3787432,-0.41384435,0.28699735,0.19307002
django__django-15916,1.5145766,1.0132486,0.2011301,0.15616232,0.8719933,0.7479215,0.18672681,0.2784626
django__django-15930,1.4902207,0.02901847,0.20202914,0.18307246,1.4046054,0.14566022,0.2121834,0.1750162
django__django-15957,1.2701848,1.6473726,0.19856715,0.356623,1.6040541,2.0249195,0.30332235,0.27464193
django__django-15973,1.4691248,1.9781588,0.18483704,0.31307304,1.324684,1.7716534,0.26797423,0.30716172
django__django-15987,0.9883058,-0.4907561,0.15792798,0.22471943,0.04958618,0.31643346,0.13310222,0.6855681
django__django-16032,1.4152544,0.14762752,0.22064587,0.19136843,1.7623405,0.20244417,0.23769927,0.15844515
django__django-16082,1.2384853,-0.040304407,0.20899437,0.20908254,1.8148848,-0.18041264,0.30427408,0.13518336
django__django-16100,1.3609142,-0.4315788,0.18251568,0.17483436,0.93980813,0.023214055,0.20690025,0.2639234
django__django-16116,1.3226302,-0.5772444,0.18518099,0.21266791,1.3697052,-0.46404517,0.2534921,0.21503282
django__django-16136,1.5309896,-0.43353283,0.18702531,0.1771419,1.1734403,-0.0627493,0.23416561,0.22054629
django__django-16139,1.4045215,-1.8874047,0.18250641,0.31365156,0.8636856,-0.8021633,0.28954476,0.4484322
django__django-16145,1.3908559,-1.0590364,0.20106809,0.24364679,1.1442281,-0.7174968,0.28680754,0.28748885
django__django-16255,1.3532478,-2.1946213,0.17019098,0.39240274,0.8436672,-0.88133246,0.27667484,0.55729777
django__django-16256,1.3628618,1.9542367,0.18758267,0.36938328,1.4787555,1.9726552,0.2925186,0.3413047
django__django-16263,1.4956083,2.8405488,0.22808824,0.72168434,1.1626942,2.3677356,0.3047025,0.8536187
django__django-16315,0.9004165,0.43737042,0.23733577,0.28951493,1.5137517,0.7202906,0.19378324,0.1685093
django__django-16333,1.4863405,-1.3626299,0.1972627,0.29754072,1.3580096,-0.9363835,0.29837292,0.28566507
django__django-16429,1.6529425,-1.8051546,0.20643479,0.27225015,0.7930733,-0.5741854,0.30139288,0.4286888
django__django-16454,1.4650635,1.1300769,0.1739997,0.16863811,0.27793312,0.55659527,0.15828742,0.5582552
django__django-16485,1.3894502,-1.1864351,0.20422538,0.28972685,1.256277,-0.796568,0.26936522,0.26636195
django__django-16493,1.665089,-1.0623267,0.21675271,0.21222742,1.1757238,-0.5700951,0.27652,0.28941798
django__django-16502,1.5185168,2.9864728,0.23160718,0.80469567,1.1502799,2.248786,0.3298253,0.8204779
django__django-16527,1.4354438,-2.0083737,0.19647814,0.39312118,0.8868343,-1.0584575,0.2787708,0.48305914
django__django-16560,1.1138529,0.77893364,0.22616164,0.23829462,1.527519,1.015304,0.2105044,0.15703897
django__django-16569,1.3285738,-2.2229762,0.18962206,0.40401277,0.6572438,-1.1979427,0.27644855,0.5915841
django__django-16595,1.426142,-1.4391772,0.17549187,0.29718786,1.1663762,-0.7539542,0.27864876,0.31123883
django__django-16612,1.4064544,-1.1196967,0.18177047,0.19854584,0.7418357,-0.29740632,0.23816884,0.37811235
django__django-16631,1.527864,2.8295052,0.22298197,0.7997666,1.1275123,2.3834877,0.31636918,0.7976992
django__django-16642,1.5050968,-0.017850345,0.19211777,0.13366042,0.23271962,0.36478457,0.1493569,0.5822209
django__django-16661,1.2765568,0.1565341,0.19499835,0.18221414,1.3535364,0.24790879,0.20877,0.18602787
django__django-16662,1.4812216,-0.9526482,0.18369842,0.219688,1.1564535,-0.44645438,0.26320854,0.27058282
django__django-16667,1.5085824,2.8974648,0.22068378,0.78242314,1.1786077,2.433276,0.32494795,0.8719664
django__django-16801,1.4380969,-1.6141981,0.18019119,0.2934451,0.8692707,-0.7911792,0.26487306,0.39301804
django__django-16819,1.525374,-0.6063512,0.20174918,0.18655275,1.3387983,-0.31677756,0.2681157,0.23050493
django__django-16877,1.3658439,0.36158982,0.20519367,0.15155393,0.40772706,0.39378703,0.15480736,0.4089806
django__django-16899,1.5112239,-0.6848522,0.19015597,0.18272659,0.82297677,-0.055086274,0.20491305,0.31246376
django__django-16901,1.5558095,-0.427771,0.19033772,0.17431074,1.3085108,-0.13758026,0.23988354,0.20463914
django__django-16938,1.1228322,1.0413857,0.1987914,0.26910475,1.0318886,1.3343294,0.1783887,0.23861799
django__django-16950,1.6093131,1.3510396,0.21100436,0.17581671,1.2793057,1.0900564,0.21166047,0.22735569
django__django-17029,1.219783,-1.4109676,0.18410884,0.36982033,1.3626579,-1.2744435,0.2890526,0.3123873
