instance_id,debugging_complexity,codebase_scope,solution_complexity,side_effect_risk,fix_localization,environment_setup_complexity,similar_issue_likelihood,solution_hint,atypicality,implementation_language_complexity,problem_clarity,change_blast_radius,entry_point_clarity,logical_reasoning_required,expected_behavior_clarity
django__django-14011,4,2,3,3,4,2,1,3,3,2,5,3,4,3,4
django__django-14017,1,1,1,2,4,2,1,3,2,2,5,2,5,2,5
django__django-14034,4,2,3,3,4,2,1,3,3,1,4,3,5,3,4
django__django-14053,3,1,3,3,4,2,1,2,3,2,5,3,5,3,5
django__django-14089,1,1,1,1,5,2,1,3,1,1,5,1,5,1,5
django__django-14122,3,1,2,3,4,2,1,1,4,2,3,4,4,4,4
django__django-14140,1,1,2,3,4,2,1,3,2,2,5,2,5,3,4
django__django-14155,1,1,2,2,4,2,1,2,2,1,4,2,5,2,4
django__django-14170,3,2,3,3,4,2,1,2,3,2,5,3,5,3,4
django__django-14238,2,1,1,2,4,2,1,3,3,2,5,4,5,2,5
django__django-14311,2,1,3,3,5,2,1,3,3,1,4,2,5,3,4
django__django-14315,1,2,1,2,4,2,1,3,2,1,4,2,5,2,4
django__django-14349,2,1,1,2,4,2,1,2,2,1,4,3,5,2,4
django__django-14351,4,2,3,3,4,2,0,1,4,2,3,4,4,4,4
django__django-14373,1,1,1,2,5,2,1,2,1,1,5,2,5,1,5
django__django-14376,1,2,2,2,4,3,1,3,1,2,5,2,5,1,5
django__django-14404,1,1,1,2,4,2,1,3,2,2,4,2,5,2,5
django__django-14434,2,1,2,2,4,2,1,2,3,2,3,3,4,3,4
django__django-14493,1,1,1,1,5,2,1,3,1,1,5,2,5,1,4
django__django-14500,2,1,1,2,4,2,1,2,3,2,3,2,5,3,3
django__django-14534,1,1,1,2,5,2,1,3,1,1,5,2,5,2,5
django__django-14539,3,1,2,2,4,2,1,1,3,2,5,3,5,4,5
django__django-14559,1,1,1,2,4,2,1,3,1,2,5,2,5,1,5
django__django-14580,1,1,1,1,4,2,1,3,2,1,5,3,5,2,5
django__django-14608,1,1,1,2,4,2,1,3,1,1,5,2,4,1,5
django__django-14631,3,2,3,3,4,2,1,3,3,1,5,2,5,3,4
django__django-14672,1,1,1,1,5,2,1,3,1,2,5,2,5,1,5
django__django-14725,2,2,2,2,4,2,1,2,2,2,4,3,4,2,4
django__django-14752,1,1,1,1,4,2,1,3,1,1,5,2,5,1,5
django__django-14765,1,1,1,2,5,2,1,3,2,1,5,3,5,1,5
django__django-14771,2,1,2,2,4,2,1,2,3,1,4,2,4,2,4
django__django-14787,2,1,1,2,4,2,1,1,3,1,4,2,5,3,4
django__django-14792,2,1,2,3,4,3,1,2,3,2,4,3,5,3,5
django__django-14855,1,1,1,1,5,2,1,3,1,1,5,2,4,2,5
django__django-14915,1,1,1,2,4,2,1,3,1,1,5,3,5,2,5
django__django-14999,2,1,2,2,4,2,1,2,2,2,4,3,4,2,5
django__django-15022,2,1,2,2,4,2,1,2,2,2,4,3,5,3,4
django__django-15037,2,1,2,2,4,2,1,2,3,2,4,2,4,3,4
django__django-15098,2,1,1,3,4,2,1,3,3,2,5,3,5,2,5
django__django-15103,1,2,2,2,4,2,1,3,1,1,5,2,5,2,5
django__django-15104,1,1,1,1,5,2,1,3,1,2,5,3,5,1,5
django__django-15127,2,2,2,1,4,2,1,3,2,1,4,2,5,2,4
django__django-15128,4,2,4,3,4,2,0,3,4,2,4,4,4,4,4
django__django-15161,1,1,1,2,4,2,1,3,2,1,5,2,4,1,5
django__django-15252,3,2,2,3,4,2,1,2,3,1,4,3,4,4,4
django__django-15268,3,1,3,2,4,2,0,2,3,2,4,2,4,3,5
django__django-15277,1,1,1,2,5,2,1,3,1,1,5,3,5,1,5
django__django-15278,2,1,2,2,4,2,1,1,3,2,4,3,5,3,4
django__django-15280,4,2,2,3,4,2,0,2,4,2,5,4,4,4,5
django__django-15315,1,1,1,2,4,2,1,3,2,1,5,3,5,2,5
django__django-15368,1,1,1,2,5,3,1,3,1,2,5,3,5,2,5
django__django-15375,2,1,1,2,4,2,1,3,3,2,5,4,4,3,5
django__django-15380,2,1,1,1,4,2,1,2,2,1,5,3,5,3,4
django__django-15382,2,1,2,2,4,2,1,3,3,2,4,4,4,3,4
django__django-15467,1,1,1,2,5,2,1,3,1,1,5,2,5,2,5
django__django-15499,1,1,1,1,4,2,1,3,2,2,5,2,5,2,5
django__django-15503,3,2,3,3,4,2,1,2,4,2,4,3,4,4,5
django__django-15525,2,1,1,1,4,2,1,3,3,1,4,3,4,3,4
django__django-15554,4,2,4,3,4,2,0,2,4,2,4,4,4,4,4
django__django-15561,2,2,3,3,4,2,1,3,3,2,4,3,4,3,5
django__django-15563,4,2,4,3,4,2,0,3,4,2,5,4,4,4,5
django__django-15569,1,1,1,2,4,2,1,3,1,1,5,2,5,1,5
django__django-15572,2,1,1,1,5,2,1,2,1,1,5,2,5,2,4
django__django-15629,3,3,4,3,4,3,1,3,4,2,4,3,4,4,5
django__django-15695,2,1,1,2,4,3,1,2,3,2,4,3,4,3,4
django__django-15731,1,1,1,2,5,2,1,3,1,1,5,2,5,1,5
django__django-15732,4,2,4,3,4,3,0,2,4,2,4,3,4,4,4
django__django-15741,2,1,1,1,4,2,1,2,2,1,4,2,5,2,4
django__django-15814,2,1,1,2,4,2,1,3,2,2,5,4,5,2,4
django__django-15851,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
django__django-15863,2,1,1,3,4,2,1,2,2,1,5,2,5,2,5
django__django-15916,3,1,3,3,4,2,1,2,3,2,4,2,5,3,4
django__django-15930,3,1,2,2,4,2,1,1,3,2,5,3,4,3,4
django__django-15957,5,3,4,3,4,2,0,2,4,2,4,4,4,4,4
django__django-15973,3,1,1,2,4,2,1,1,4,2,4,4,4,4,4
django__django-15987,2,1,1,1,4,2,1,2,2,2,4,2,5,2,4
django__django-16032,4,2,3,3,4,2,0,3,4,2,5,3,4,4,4
django__django-16082,2,1,1,1,4,2,1,3,2,1,4,2,5,2,4
django__django-16100,1,1,1,2,4,2,1,2,1,2,4,2,5,2,4
django__django-16116,1,1,1,3,4,2,1,2,2,2,4,2,5,2,5
django__django-16136,2,1,2,2,4,2,1,3,2,1,5,2,5,2,4
django__django-16139,1,1,1,2,4,2,1,3,2,1,5,2,5,2,5
django__django-16145,1,1,2,1,4,2,1,3,1,1,5,2,5,2,5
django__django-16255,1,1,1,1,4,2,1,3,1,2,5,2,5,1,5
django__django-16256,1,2,2,2,4,2,1,3,2,2,5,2,4,2,5
django__django-16263,5,4,5,4,4,2,0,1,4,2,4,4,4,5,4
django__django-16315,2,2,3,2,4,3,1,3,2,2,5,2,5,3,5
django__django-16333,1,1,1,2,4,2,1,3,1,2,5,2,5,2,5
django__django-16429,1,1,1,1,5,2,1,3,1,1,5,2,5,2,5
django__django-16454,2,1,2,2,4,2,1,2,3,2,5,3,5,3,5
django__django-16485,2,1,1,2,4,2,1,1,1,2,5,2,5,2,3
django__django-16493,2,1,1,1,5,2,1,3,3,1,5,2,5,3,5
django__django-16502,3,1,4,3,4,2,1,1,4,2,5,2,5,4,5
django__django-16527,1,1,1,2,4,2,1,3,1,1,5,2,5,2,5
django__django-16560,1,3,3,2,4,2,1,3,1,1,5,2,4,2,5
django__django-16569,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
django__django-16595,1,1,1,1,4,2,1,3,1,1,5,3,5,2,5
django__django-16612,1,1,1,1,4,2,1,3,1,1,5,2,5,1,5
django__django-16631,2,2,3,3,4,2,1,2,3,1,4,3,4,3,4
django__django-16642,2,1,1,2,4,2,1,1,2,1,4,2,5,2,3
django__django-16661,4,1,4,3,4,2,0,1,4,1,4,3,5,4,5
django__django-16662,1,1,1,1,4,2,1,3,2,1,5,2,5,2,5
django__django-16667,1,1,1,1,4,2,1,2,1,1,5,2,5,2,3
django__django-16801,1,1,2,2,4,2,1,3,2,2,5,2,5,2,5
django__django-16819,2,1,1,1,4,2,1,2,2,1,3,3,4,2,3
django__django-16877,1,1,1,1,4,2,1,3,1,1,5,2,4,1,4
django__django-16899,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
django__django-16901,2,1,2,2,4,2,1,2,3,2,5,2,5,3,5
django__django-16938,2,2,1,2,4,2,1,3,3,2,5,3,4,3,4
django__django-16950,4,1,3,3,4,2,1,2,4,2,4,3,4,4,4
django__django-17029,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
django__django-17084,4,1,2,2,4,3,1,1,3,2,4,4,4,4,4
django__django-17087,1,1,1,2,4,3,1,3,2,2,5,3,5,2,5
django__django-7530,2,1,1,1,4,2,1,2,2,2,4,2,5,3,4
django__django-9296,1,1,1,2,5,2,1,3,1,1,5,2,5,1,5
matplotlib__matplotlib-13989,2,1,1,2,4,2,1,1,3,2,5,3,5,3,4
matplotlib__matplotlib-14623,3,3,3,3,4,3,1,3,3,3,5,3,5,3,5
matplotlib__matplotlib-20488,3,1,1,2,4,3,1,1,3,2,3,3,5,3,3
matplotlib__matplotlib-20676,3,1,2,2,5,3,1,1,3,2,4,2,5,3,5
matplotlib__matplotlib-20826,2,1,2,3,4,3,1,3,3,3,4,4,5,3,5
matplotlib__matplotlib-20859,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
matplotlib__matplotlib-21568,2,1,2,3,4,4,1,3,3,3,5,3,4,2,4
matplotlib__matplotlib-22719,2,1,1,1,4,3,1,3,2,3,5,3,5,2,3
matplotlib__matplotlib-22865,3,1,2,2,4,3,1,1,3,3,5,2,5,3,5
matplotlib__matplotlib-22871,3,1,2,3,4,3,1,1,3,2,5,2,4,4,4
matplotlib__matplotlib-23299,3,1,2,3,4,3,1,3,4,3,5,4,4,4,4
matplotlib__matplotlib-23314,2,1,1,1,4,3,1,1,1,3,5,2,5,2,5
matplotlib__matplotlib-23412,1,1,1,2,5,3,1,3,1,3,5,2,5,1,5
matplotlib__matplotlib-23476,2,1,1,2,4,4,1,3,3,4,5,3,4,3,5
matplotlib__matplotlib-24026,2,1,3,3,4,3,1,1,3,2,4,2,5,3,4
matplotlib__matplotlib-24149,1,1,2,1,4,2,1,3,2,3,5,3,5,2,4
matplotlib__matplotlib-24177,4,1,1,3,4,4,0,2,4,4,4,3,5,4,4
matplotlib__matplotlib-24570,1,1,1,4,4,3,1,3,2,2,5,2,5,2,5
matplotlib__matplotlib-24627,2,1,2,3,4,3,1,2,2,3,4,3,5,2,5
matplotlib__matplotlib-24637,1,1,1,2,4,3,1,3,1,3,5,2,5,1,5
matplotlib__matplotlib-24870,2,2,3,3,4,4,1,3,3,3,5,2,4,3,5
matplotlib__matplotlib-24970,2,1,3,3,5,2,1,2,3,2,4,3,5,4,5
matplotlib__matplotlib-25122,1,1,1,3,4,2,1,3,2,2,5,2,5,2,5
matplotlib__matplotlib-25287,1,1,1,2,4,2,1,3,1,2,5,2,5,1,5
matplotlib__matplotlib-25311,3,1,2,2,4,3,1,1,3,3,4,3,4,3,4
matplotlib__matplotlib-25332,3,1,3,2,4,3,1,1,3,3,4,3,5,3,4
matplotlib__matplotlib-25479,3,2,2,3,4,3,1,2,3,2,4,3,5,3,4
matplotlib__matplotlib-25775,3,3,3,2,4,3,1,3,2,3,4,3,4,2,4
matplotlib__matplotlib-25960,4,2,3,3,4,4,1,2,4,3,4,3,5,4,3
matplotlib__matplotlib-26113,1,1,1,3,4,3,1,3,1,3,5,2,5,2,5
matplotlib__matplotlib-26208,4,2,1,3,4,4,0,1,4,3,4,3,4,4,4
matplotlib__matplotlib-26291,3,1,1,2,4,3,1,3,3,3,5,2,5,3,4
matplotlib__matplotlib-26342,1,1,1,2,4,3,1,3,1,4,5,3,5,1,5
matplotlib__matplotlib-26466,1,1,2,2,4,3,1,3,2,3,5,2,5,2,5
mwaskom__seaborn-3069,3,2,3,3,4,2,0,2,3,1,4,3,4,3,4
mwaskom__seaborn-3187,2,2,2,3,4,2,1,2,3,2,5,3,4,2,4
pallets__flask-5014,1,1,1,2,5,2,1,3,1,1,5,1,5,1,5
psf__requests-1142,2,1,2,3,5,2,1,2,2,1,4,2,5,2,4
psf__requests-1724,1,1,1,2,4,2,1,2,2,2,5,2,5,2,4
psf__requests-1766,1,1,1,2,5,2,1,3,1,1,5,2,5,1,5
psf__requests-1921,2,1,1,3,4,2,1,2,2,1,5,3,5,2,4
psf__requests-2317,1,1,1,2,4,1,1,3,2,1,5,2,5,2,4
psf__requests-2931,2,1,3,3,5,2,1,1,3,1,4,2,5,3,4
psf__requests-5414,1,1,1,1,4,2,1,2,1,1,5,2,5,2,5
psf__requests-6028,3,1,2,2,4,2,1,3,2,1,4,3,4,2,5
pydata__xarray-2905,1,1,1,3,4,2,1,3,2,1,5,3,5,2,5
pydata__xarray-3095,3,2,3,2,4,2,1,1,3,1,5,2,5,3,5
pydata__xarray-3151,2,1,2,2,4,2,1,2,3,1,5,3,5,3,5
pydata__xarray-3305,2,2,2,2,4,2,1,3,1,1,5,2,5,2,5
pydata__xarray-3677,1,1,1,2,4,2,1,2,1,2,5,2,5,2,5
pydata__xarray-3993,1,2,2,3,4,2,1,3,1,1,5,2,5,2,5
pydata__xarray-4075,1,1,2,1,5,2,1,3,2,1,5,3,5,2,5
pydata__xarray-4094,3,1,1,2,4,2,1,1,3,1,4,2,5,3,4
pydata__xarray-4356,1,1,2,2,4,2,1,3,2,2,5,2,5,2,4
pydata__xarray-4629,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
pydata__xarray-4687,2,1,2,2,4,2,1,3,2,1,5,3,5,3,4
pydata__xarray-4695,1,1,1,2,4,2,1,3,2,1,5,3,5,2,4
pydata__xarray-4966,1,1,2,2,4,2,1,3,2,1,5,2,5,2,5
pydata__xarray-6461,2,1,1,2,4,2,1,1,3,1,4,2,5,3,3
pydata__xarray-6599,2,1,2,2,4,2,1,2,2,1,5,2,5,3,5
pydata__xarray-6721,2,1,1,3,4,2,1,2,2,1,5,2,5,3,4
pydata__xarray-6744,2,1,3,3,4,2,1,1,3,1,5,2,5,4,5
pydata__xarray-6938,3,2,3,3,4,2,1,1,3,1,4,3,5,4,4
pydata__xarray-6992,4,3,4,4,4,2,0,1,4,1,3,3,5,5,2
pydata__xarray-7229,4,2,3,3,4,2,1,2,3,1,4,3,5,4,5
pydata__xarray-7233,2,1,1,2,4,2,1,1,3,2,5,2,5,3,4
pydata__xarray-7393,2,1,2,2,4,2,1,3,2,1,5,3,5,2,5
pylint-dev__pylint-4551,4,4,4,3,4,2,0,1,4,2,3,2,4,4,3
pylint-dev__pylint-4604,3,2,2,1,4,2,1,1,3,2,5,3,4,3,5
pylint-dev__pylint-4661,1,2,2,4,4,2,1,3,2,1,4,2,5,2,4
pylint-dev__pylint-4970,1,1,1,1,4,2,1,2,1,2,5,2,5,1,5
pylint-dev__pylint-6386,3,3,3,3,4,2,1,1,3,2,4,2,5,3,4
pylint-dev__pylint-6528,2,2,2,2,4,2,1,2,2,2,5,2,4,3,5
pylint-dev__pylint-6903,1,1,1,1,4,2,1,3,1,1,5,2,5,1,5
pylint-dev__pylint-7080,2,1,1,2,4,2,1,3,2,2,5,3,4,2,5
pylint-dev__pylint-7277,1,1,2,3,4,2,1,3,3,1,5,2,5,2,5
pylint-dev__pylint-8898,2,2,3,2,4,2,1,3,3,1,5,3,5,3,3
pytest-dev__pytest-10051,1,1,2,2,4,2,1,3,2,1,5,2,5,2,5
pytest-dev__pytest-10081,2,1,2,2,4,2,1,1,3,2,5,2,4,3,5
pytest-dev__pytest-10356,3,1,3,3,4,2,1,2,3,1,4,3,5,3,5
pytest-dev__pytest-5262,1,1,1,2,4,2,1,3,1,1,5,2,5,1,5
pytest-dev__pytest-5631,1,1,2,2,5,2,1,3,2,1,5,2,5,2,4
pytest-dev__pytest-5787,3,2,4,3,4,2,1,1,3,1,4,2,4,4,5
pytest-dev__pytest-5809,1,1,1,1,4,2,1,3,1,1,5,2,5,1,5
pytest-dev__pytest-5840,3,2,3,3,4,2,1,2,3,1,4,3,5,3,4
pytest-dev__pytest-6197,3,2,3,3,4,2,1,1,3,2,5,3,4,4,5
pytest-dev__pytest-6202,1,1,1,2,5,2,1,3,2,1,5,3,5,2,5
pytest-dev__pytest-7205,1,1,1,2,4,2,1,3,1,1,5,2,5,1,4
pytest-dev__pytest-7236,3,1,3,2,4,2,1,1,3,2,5,2,5,3,5
pytest-dev__pytest-7324,3,1,2,2,4,2,1,3,4,1,4,2,5,3,3
pytest-dev__pytest-7432,2,1,1,2,5,2,1,2,3,2,5,2,5,3,5
pytest-dev__pytest-7490,2,1,3,3,4,2,1,1,3,1,5,3,4,4,5
pytest-dev__pytest-7521,2,1,1,2,4,2,1,2,3,2,5,3,5,3,5
pytest-dev__pytest-7571,2,1,2,2,4,2,1,1,2,2,5,2,5,2,5
pytest-dev__pytest-7982,1,1,1,2,5,2,1,3,1,1,5,3,5,1,5
pytest-dev__pytest-8399,1,2,1,2,4,2,1,3,1,1,5,2,5,1,5
scikit-learn__scikit-learn-10297,1,1,1,2,4,3,1,3,1,4,5,2,5,1,4
scikit-learn__scikit-learn-10844,1,1,2,1,5,2,1,3,2,2,5,2,5,2,4
scikit-learn__scikit-learn-10908,1,1,1,2,4,3,1,2,1,3,5,2,5,2,4
