instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,entry_point_clarity,change_blast_radius,fix_localization
django__django-13741,3,5,3,2,1,2,1,3,2,4,1,1,4,1,3,1,1,1,1,2,2026-03-07T02:52:40.090845,claude-sonnet-4-6,anthropic,django__django-13741,5,2,5
django__django-15380,1,4,4,4,3,3,0,5,4,3,3,2,4,1,2,2,3,2,1,3,2026-03-07T02:53:02.603978,claude-sonnet-4-6,anthropic,django__django-15380,5,2,5
django__django-14315,3,5,3,2,2,2,1,4,2,4,2,1,4,1,2,4,4,3,2,3,2026-03-07T02:52:47.445568,claude-sonnet-4-6,anthropic,django__django-14315,5,2,5
django__django-11951,3,5,3,1,1,2,1,4,3,5,1,1,4,1,2,2,3,2,1,2,2026-03-07T02:52:19.881570,claude-sonnet-4-6,anthropic,django__django-11951,5,2,5
django__django-13346,1,4,4,4,3,3,0,3,4,4,4,3,3,1,2,4,3,4,4,4,2026-03-07T02:52:33.509806,claude-sonnet-4-6,anthropic,django__django-13346,4,2,5
scikit-learn__scikit-learn-14894,2,5,3,2,2,2,1,5,5,4,2,1,5,1,1,2,2,2,2,2,2026-03-07T02:54:03.484090,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-14894,5,2,5
django__django-13809,2,4,3,2,2,2,1,3,2,4,2,2,3,1,2,4,4,3,1,2,2026-03-07T02:52:40.874339,claude-sonnet-4-6,anthropic,django__django-13809,5,2,5
sympy__sympy-16450,2,4,3,3,2,2,1,4,5,4,2,1,5,1,2,2,2,1,1,2,2026-03-07T02:54:33.539299,claude-sonnet-4-6,anthropic,sympy__sympy-16450,5,2,5
django__django-14765,3,5,3,1,2,2,1,4,2,5,1,1,4,1,2,1,1,2,1,2,2026-03-07T02:52:54.528528,claude-sonnet-4-6,anthropic,django__django-14765,5,2,5
matplotlib__matplotlib-21568,0,4,4,3,3,4,0,3,5,3,4,3,4,0,2,3,2,3,2,2,2026-03-07T02:53:24.165740,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-21568,4,2,5
sphinx-doc__sphinx-7757,0,4,4,3,3,2,0,4,5,4,3,2,4,1,2,3,2,2,3,3,2026-03-07T02:54:13.624608,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-7757,4,2,5
django__django-15973,1,4,4,4,3,2,0,5,5,4,3,2,5,1,2,3,3,2,1,3,2026-03-07T02:53:08.052101,claude-sonnet-4-6,anthropic,django__django-15973,4,3,3
sphinx-doc__sphinx-8621,2,5,3,4,3,2,0,5,5,4,2,1,5,1,3,3,2,3,1,2,2026-03-07T02:54:15.067965,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-8621,5,2,5
matplotlib__matplotlib-13989,1,5,4,3,2,2,0,4,5,4,2,1,5,1,2,1,1,1,1,2,2026-03-07T02:53:23.931904,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-13989,4,2,5
sphinx-doc__sphinx-9698,1,5,4,2,2,2,0,4,5,4,2,2,5,1,1,1,2,1,1,2,2026-03-07T02:54:21.657167,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-9698,5,2,5
sympy__sympy-12096,3,5,4,2,2,2,0,5,5,5,2,1,5,1,2,1,1,1,1,2,2026-03-07T02:54:22.385173,claude-sonnet-4-6,anthropic,sympy__sympy-12096,5,2,5
django__django-15375,1,5,4,3,3,2,0,5,5,5,3,2,5,1,2,3,2,2,2,3,2026-03-07T02:53:01.076613,claude-sonnet-4-6,anthropic,django__django-15375,4,2,5
pydata__xarray-6938,1,4,4,3,2,2,1,4,5,4,3,2,5,1,2,2,2,2,2,3,2026-03-07T02:53:43.501799,claude-sonnet-4-6,anthropic,pydata__xarray-6938,4,2,5
sympy__sympy-16597,1,4,4,3,2,2,1,3,5,4,3,2,4,1,3,4,2,3,4,4,2026-03-07T02:54:31.577564,claude-sonnet-4-6,anthropic,sympy__sympy-16597,4,2,5
astropy__astropy-7336,3,5,3,2,2,1,1,5,5,4,1,1,5,1,1,2,2,2,1,2,2026-03-07T02:52:00.054728,claude-sonnet-4-6,anthropic,astropy__astropy-7336,5,1,5
django__django-14122,1,3,4,4,3,3,0,3,2,4,4,3,3,1,3,2,2,1,2,4,2026-03-07T02:52:44.754372,claude-sonnet-4-6,anthropic,django__django-14122,4,2,4
django__django-7530,2,4,4,3,2,3,0,4,2,4,2,2,3,1,2,3,4,2,1,2,2026-03-07T02:53:22.788356,claude-sonnet-4-6,anthropic,django__django-7530,4,2,5
django__django-11265,2,4,4,4,3,2,0,5,5,4,4,2,5,1,2,1,2,1,3,4,2026-03-07T02:52:11.380180,claude-sonnet-4-6,anthropic,django__django-11265,4,3,4
psf__requests-1766,3,5,3,1,2,2,1,4,3,5,1,1,4,1,2,1,2,1,1,1,2026-03-07T02:53:36.458675,claude-sonnet-4-6,anthropic,psf__requests-1766,5,1,5
matplotlib__matplotlib-25287,3,5,3,2,2,2,1,5,5,5,1,1,5,1,2,3,2,3,2,2,2026-03-07T02:53:34.092179,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-25287,5,2,4
pydata__xarray-3151,2,5,4,3,2,2,0,5,5,4,2,2,5,1,2,2,2,2,2,2,2026-03-07T02:53:42.429297,claude-sonnet-4-6,anthropic,pydata__xarray-3151,5,2,5
django__django-16631,2,4,4,3,3,3,0,4,3,4,2,2,4,1,3,3,3,3,3,4,2026-03-07T02:53:16.451872,claude-sonnet-4-6,anthropic,django__django-16631,5,3,4
sympy__sympy-18199,2,5,3,2,2,2,1,4,5,5,2,1,5,1,3,4,3,4,4,3,2026-03-07T02:54:34.074766,claude-sonnet-4-6,anthropic,sympy__sympy-18199,5,2,4
pydata__xarray-4695,1,4,4,3,2,2,0,4,5,3,3,2,5,1,2,2,2,1,1,2,2026-03-07T02:53:43.105554,claude-sonnet-4-6,anthropic,pydata__xarray-4695,4,2,5
pytest-dev__pytest-5631,3,5,3,2,2,2,1,5,5,4,1,1,5,1,1,2,3,2,2,2,2026-03-07T02:53:49.506672,claude-sonnet-4-6,anthropic,pytest-dev__pytest-5631,5,2,5
sphinx-doc__sphinx-9230,1,4,4,3,3,2,0,4,3,4,3,2,4,1,2,3,4,2,1,2,2026-03-07T02:54:17.049466,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-9230,4,2,4
django__django-16667,2,5,3,2,1,2,1,5,5,4,1,1,5,1,1,3,2,3,1,2,2026-03-07T02:53:17.807162,claude-sonnet-4-6,anthropic,django__django-16667,5,1,5
django__django-14089,3,5,2,1,1,1,1,3,3,5,1,1,4,1,1,2,2,1,1,2,2026-03-07T02:52:45.091145,claude-sonnet-4-6,anthropic,django__django-14089,5,1,5
django__django-15732,1,4,4,3,3,3,0,3,3,3,4,2,3,1,2,4,3,3,4,4,2026-03-07T02:53:05.557677,claude-sonnet-4-6,anthropic,django__django-15732,4,2,4
sympy__sympy-13852,2,4,5,4,3,3,0,4,5,5,4,2,5,0,3,4,3,4,3,3,2026-03-07T02:54:27.570396,claude-sonnet-4-6,anthropic,sympy__sympy-13852,5,2,4
django__django-12262,1,4,4,3,3,2,0,5,5,4,2,1,5,1,2,4,2,4,1,3,2026-03-07T02:52:20.440838,claude-sonnet-4-6,anthropic,django__django-12262,4,2,5
django__django-13023,2,4,3,2,1,2,1,4,3,4,1,1,3,1,1,4,3,4,1,2,2026-03-07T02:52:27.062866,claude-sonnet-4-6,anthropic,django__django-13023,5,2,5
django__django-16333,3,5,3,2,2,2,1,4,3,4,1,1,4,1,3,2,3,1,1,2,2026-03-07T02:53:13.341375,claude-sonnet-4-6,anthropic,django__django-16333,5,2,5
sympy__sympy-13757,1,5,4,3,2,2,1,4,5,4,3,2,5,1,3,3,2,2,1,3,2026-03-07T02:54:25.773508,claude-sonnet-4-6,anthropic,sympy__sympy-13757,4,2,5
pylint-dev__pylint-6528,1,5,4,3,2,2,0,4,5,5,3,2,5,1,3,4,3,3,3,3,2026-03-07T02:53:47.144978,claude-sonnet-4-6,anthropic,pylint-dev__pylint-6528,4,2,4
sphinx-doc__sphinx-9461,2,4,4,3,3,3,0,4,5,4,4,3,5,0,3,4,3,2,4,4,2026-03-07T02:54:20.350814,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-9461,4,2,4
django__django-14725,1,3,4,3,3,3,0,2,2,3,3,2,2,0,3,4,3,4,2,3,2026-03-07T02:52:52.152370,claude-sonnet-4-6,anthropic,django__django-14725,3,3,3
sphinx-doc__sphinx-11445,1,5,4,4,4,3,0,4,5,4,4,3,5,1,3,4,3,3,3,3,2026-03-07T02:54:09.193553,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-11445,4,2,5
astropy__astropy-14096,1,5,3,3,2,2,1,5,5,4,2,1,5,1,2,2,2,2,1,2,2026-03-07T02:52:00.796030,claude-sonnet-4-6,anthropic,astropy__astropy-14096,5,2,5
astropy__astropy-14995,2,5,3,2,2,2,1,5,5,4,2,2,5,1,2,5,3,4,1,2,2026-03-07T02:52:00.409212,claude-sonnet-4-6,anthropic,astropy__astropy-14995,5,2,5
django__django-15499,2,4,4,3,2,2,1,3,2,4,2,2,3,1,2,2,2,1,2,2,2026-03-07T02:53:02.350637,claude-sonnet-4-6,anthropic,django__django-15499,5,1,5
django__django-15525,2,5,4,3,3,3,0,5,5,4,3,2,5,1,2,2,3,1,1,3,2026-03-07T02:53:11.401857,claude-sonnet-4-6,anthropic,django__django-15525,4,2,5
matplotlib__matplotlib-25479,2,5,3,3,2,2,1,5,5,5,2,2,5,1,2,3,2,2,2,3,2026-03-07T02:53:31.418372,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-25479,4,2,4
sphinx-doc__sphinx-8548,2,3,4,3,3,3,0,3,2,3,3,2,3,1,2,4,3,3,3,4,2026-03-07T02:54:14.933684,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-8548,4,2,5
django__django-13449,2,5,4,3,3,2,0,5,5,5,2,2,5,1,2,3,3,2,3,3,2026-03-07T02:52:38.793992,claude-sonnet-4-6,anthropic,django__django-13449,4,2,4
django__django-15572,2,5,3,2,2,2,1,5,5,4,2,1,5,1,2,1,2,2,1,2,2026-03-07T02:53:04.316500,claude-sonnet-4-6,anthropic,django__django-15572,5,1,5
django__django-16145,2,5,3,2,2,2,1,4,5,5,2,1,4,1,2,1,4,2,2,2,2026-03-07T02:53:11.151756,claude-sonnet-4-6,anthropic,django__django-16145,5,1,5
django__django-11815,3,5,4,2,3,2,0,4,5,5,2,2,5,1,3,4,3,3,1,2,2026-03-07T02:52:18.679857,claude-sonnet-4-6,anthropic,django__django-11815,5,2,5
sympy__sympy-17630,2,5,4,3,2,2,0,5,5,4,2,1,5,1,2,3,2,2,3,4,2026-03-07T02:54:33.430901,claude-sonnet-4-6,anthropic,sympy__sympy-17630,5,2,4
pytest-dev__pytest-10356,2,4,4,3,3,2,1,4,5,4,3,2,5,1,3,3,3,2,3,3,2026-03-07T02:53:49.861032,claude-sonnet-4-6,anthropic,pytest-dev__pytest-10356,4,3,4
django__django-10880,2,4,4,2,2,2,0,4,3,4,2,2,3,1,1,1,1,1,1,2,2026-03-07T02:52:05.103747,claude-sonnet-4-6,anthropic,django__django-10880,4,2,5
django__django-11141,3,5,3,2,2,2,1,4,3,4,2,2,4,1,2,1,2,1,2,3,2026-03-07T02:52:07.757072,claude-sonnet-4-6,anthropic,django__django-11141,5,2,4
matplotlib__matplotlib-24970,2,5,3,2,2,2,1,5,5,5,2,1,5,1,2,3,2,3,2,2,2026-03-07T02:53:30.471157,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-24970,5,2,5
sympy__sympy-13798,2,4,3,2,2,2,1,3,4,4,2,2,4,1,2,2,1,2,2,2,2026-03-07T02:54:26.168131,claude-sonnet-4-6,anthropic,sympy__sympy-13798,5,2,5
scikit-learn__scikit-learn-26194,2,5,3,3,2,2,0,5,5,4,2,1,5,1,3,3,2,2,1,2,2026-03-07T02:54:07.660738,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-26194,5,2,5
matplotlib__matplotlib-24570,1,5,4,2,2,2,0,4,5,5,2,1,5,1,3,4,3,4,1,2,2026-03-07T02:53:29.363149,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-24570,4,2,5
sphinx-doc__sphinx-10673,1,4,4,3,3,3,0,4,5,4,3,3,4,1,3,2,3,1,4,4,2026-03-07T02:54:09.385331,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-10673,5,3,4
django__django-14752,3,5,3,1,1,2,1,3,4,5,1,1,5,1,2,2,3,1,2,2,2026-03-07T02:52:53.930795,claude-sonnet-4-6,anthropic,django__django-14752,5,1,5
matplotlib__matplotlib-24177,1,4,4,3,3,2,0,3,5,4,3,2,4,1,2,2,3,2,1,3,2026-03-07T02:53:28.946198,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-24177,4,2,4
django__django-16082,1,4,4,3,2,2,1,3,2,4,2,2,3,1,2,3,2,2,1,2,2026-03-07T02:53:09.777143,claude-sonnet-4-6,anthropic,django__django-16082,4,2,5
sympy__sympy-22456,2,4,4,3,3,2,0,4,3,5,2,1,4,1,3,1,1,1,3,4,2026-03-07T02:54:41.149119,claude-sonnet-4-6,anthropic,sympy__sympy-22456,5,2,5
django__django-13516,1,4,3,2,2,2,1,3,3,4,2,2,3,1,2,2,3,1,1,2,2026-03-07T02:52:36.156167,claude-sonnet-4-6,anthropic,django__django-13516,4,2,5
matplotlib__matplotlib-22871,1,5,4,4,3,2,0,4,5,4,3,2,5,1,3,2,2,2,2,2,2026-03-07T02:53:25.341915,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-22871,4,2,5
matplotlib__matplotlib-23299,1,5,4,4,4,2,0,5,5,4,4,3,5,0,2,2,2,2,2,3,2026-03-07T02:53:25.122548,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-23299,4,3,3
django__django-14007,1,5,4,3,3,2,0,4,5,5,4,3,5,1,3,3,2,2,3,4,2026-03-07T02:52:43.471103,claude-sonnet-4-6,anthropic,django__django-14007,4,2,4
django__django-16485,1,5,3,3,2,2,0,5,5,3,2,1,4,1,2,2,1,2,1,2,2026-03-07T02:53:14.640060,claude-sonnet-4-6,anthropic,django__django-16485,5,1,5
matplotlib__matplotlib-22719,2,4,4,3,2,2,0,5,5,3,3,2,5,1,2,1,1,1,2,3,2026-03-07T02:53:26.243451,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-22719,4,2,5
django__django-16256,3,5,4,2,3,3,1,4,3,5,2,2,5,1,2,4,3,3,2,3,2026-03-07T02:53:11.658199,claude-sonnet-4-6,anthropic,django__django-16256,5,2,4
django__django-14011,2,4,4,3,3,5,0,4,3,3,4,2,4,1,2,3,4,2,3,4,2026-03-07T02:52:42.821673,claude-sonnet-4-6,anthropic,django__django-14011,4,2,4
django__django-15315,3,5,3,2,2,2,1,5,5,5,2,1,5,1,2,2,2,1,1,2,2026-03-07T02:53:00.064175,claude-sonnet-4-6,anthropic,django__django-15315,5,3,5
pytest-dev__pytest-6197,1,5,4,3,2,2,0,5,5,4,3,2,5,1,3,3,3,3,3,3,2026-03-07T02:53:59.253309,claude-sonnet-4-6,anthropic,pytest-dev__pytest-6197,4,3,4
django__django-16493,3,5,4,3,3,2,0,5,5,5,2,1,5,1,1,2,2,2,2,3,2026-03-07T02:53:15.247380,claude-sonnet-4-6,anthropic,django__django-16493,5,2,5
django__django-14787,1,4,4,3,3,2,1,5,5,3,2,1,4,1,2,2,3,1,2,2,2026-03-07T02:52:53.998332,claude-sonnet-4-6,anthropic,django__django-14787,5,2,5
django__django-13279,2,3,4,3,3,3,0,3,2,3,2,2,3,1,3,2,2,1,2,2,2026-03-07T02:52:32.433140,claude-sonnet-4-6,anthropic,django__django-13279,4,2,5
django__django-12741,3,5,3,2,2,3,1,4,3,5,1,2,4,1,4,2,2,1,2,3,2026-03-07T02:52:25.381381,claude-sonnet-4-6,anthropic,django__django-12741,5,2,4
django__django-15987,1,4,3,2,2,2,1,3,2,3,2,1,2,1,1,2,2,2,1,2,2026-03-07T02:53:10.442357,claude-sonnet-4-6,anthropic,django__django-15987,4,2,5
sympy__sympy-13480,1,4,4,3,2,2,0,5,5,3,2,1,4,1,1,2,1,2,1,2,2026-03-07T02:54:24.388120,claude-sonnet-4-6,anthropic,sympy__sympy-13480,5,1,5
astropy__astropy-7166,2,4,3,3,2,2,1,4,2,3,2,1,3,1,2,2,2,2,2,2,2026-03-07T02:52:00.183313,claude-sonnet-4-6,anthropic,astropy__astropy-7166,4,2,5
sympy__sympy-17139,2,4,3,3,2,2,1,5,5,3,2,2,5,1,2,3,2,3,2,3,2026-03-07T02:54:34.508209,claude-sonnet-4-6,anthropic,sympy__sympy-17139,5,2,5
django__django-15467,3,5,3,2,2,2,1,5,5,5,1,1,5,1,2,2,2,1,1,2,2026-03-07T02:53:01.556489,claude-sonnet-4-6,anthropic,django__django-15467,5,2,5
django__django-15037,2,4,4,3,3,3,0,4,5,4,2,1,4,1,2,2,2,1,2,3,2026-03-07T02:52:56.868197,claude-sonnet-4-6,anthropic,django__django-15037,4,2,3
sphinx-doc__sphinx-7985,1,4,4,3,3,3,0,3,5,3,3,2,4,0,3,3,3,2,2,2,2026-03-07T02:54:14.406691,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-7985,5,2,4
astropy__astropy-13579,1,4,4,4,3,2,0,4,5,5,4,2,5,0,2,2,2,1,3,3,2026-03-07T02:52:01.976689,claude-sonnet-4-6,anthropic,astropy__astropy-13579,4,2,4
pytest-dev__pytest-7324,1,4,4,3,3,2,0,5,5,3,2,1,4,1,2,2,1,2,2,2,2026-03-07T02:53:54.373719,claude-sonnet-4-6,anthropic,pytest-dev__pytest-7324,5,2,5
sympy__sympy-13091,3,5,3,3,2,3,1,4,4,5,2,3,5,1,4,5,3,4,3,4,2026-03-07T02:54:22.622984,claude-sonnet-4-6,anthropic,sympy__sympy-13091,5,3,4
scikit-learn__scikit-learn-13496,3,5,3,2,1,2,1,3,3,5,1,2,4,1,2,2,2,1,1,2,2026-03-07T02:54:00.638098,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-13496,5,2,5
pydata__xarray-4094,1,4,4,3,3,2,0,5,5,4,3,2,5,1,2,2,2,2,1,2,2026-03-07T02:53:41.902127,claude-sonnet-4-6,anthropic,pydata__xarray-4094,4,2,5
django__django-16877,2,4,3,2,2,2,1,3,3,4,1,2,3,1,2,4,2,3,1,2,2026-03-07T02:53:18.870524,claude-sonnet-4-6,anthropic,django__django-16877,5,2,5
matplotlib__matplotlib-25311,1,5,4,3,2,2,1,4,5,4,3,2,5,1,2,2,3,2,2,3,2026-03-07T02:53:30.938774,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-25311,4,2,5
scikit-learn__scikit-learn-25232,2,5,3,2,2,2,1,3,3,4,2,2,4,1,2,2,2,1,2,2,2026-03-07T02:54:05.846475,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-25232,5,2,5
pytest-dev__pytest-7236,1,5,4,3,3,2,0,5,5,5,3,2,5,1,2,3,3,2,2,3,2026-03-07T02:53:54.486681,claude-sonnet-4-6,anthropic,pytest-dev__pytest-7236,4,2,5
pydata__xarray-3993,2,5,3,2,2,3,1,4,4,5,1,2,4,1,4,2,1,2,2,2,2026-03-07T02:53:40.387469,claude-sonnet-4-6,anthropic,pydata__xarray-3993,5,2,4
django__django-15563,1,5,4,4,4,3,0,5,5,4,4,2,5,0,3,3,2,2,4,4,2026-03-07T02:53:03.104839,claude-sonnet-4-6,anthropic,django__django-15563,3,2,4
sympy__sympy-13615,1,4,4,3,2,2,0,3,5,4,3,2,4,1,3,2,2,2,3,3,2026-03-07T02:54:25.206305,claude-sonnet-4-6,anthropic,sympy__sympy-13615,4,2,4
pydata__xarray-6744,1,5,4,3,2,2,0,4,5,5,3,2,5,1,2,4,2,3,2,2,2026-03-07T02:53:43.570561,claude-sonnet-4-6,anthropic,pydata__xarray-6744,4,2,5
sphinx-doc__sphinx-7454,1,5,4,3,3,3,0,4,5,5,3,2,5,1,2,2,2,2,2,2,2026-03-07T02:54:09.166379,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-7454,4,2,4
matplotlib__matplotlib-23314,1,5,4,3,3,2,0,3,5,4,3,2,4,1,2,2,2,1,1,2,2026-03-07T02:53:26.171590,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-23314,4,2,5
scikit-learn__scikit-learn-12585,3,5,3,2,3,2,1,5,5,4,1,1,5,1,2,2,1,1,1,2,2026-03-07T02:53:57.381651,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-12585,5,2,5
pylint-dev__pylint-6903,3,5,2,2,2,2,1,5,4,5,1,1,5,1,1,2,4,2,1,2,2026-03-07T02:53:48.323787,claude-sonnet-4-6,anthropic,pylint-dev__pylint-6903,5,1,5
django__django-12273,0,4,4,4,4,2,0,4,5,4,4,3,4,1,3,3,3,3,3,3,2026-03-07T02:52:20.866804,claude-sonnet-4-6,anthropic,django__django-12273,3,2,4
sympy__sympy-12481,2,4,3,3,2,2,1,4,5,4,2,1,4,1,3,2,1,2,1,2,2026-03-07T02:54:21.749101,claude-sonnet-4-6,anthropic,sympy__sympy-12481,4,2,5
django__django-10999,3,5,2,1,2,2,1,5,4,5,1,1,5,1,2,4,2,4,3,2,2026-03-07T02:52:07.684228,claude-sonnet-4-6,anthropic,django__django-10999,5,1,5
matplotlib__matplotlib-26291,1,4,4,3,3,2,0,5,5,3,3,3,5,1,2,2,2,2,1,3,2026-03-07T02:53:38.290194,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-26291,4,2,4
django__django-15277,3,5,3,2,2,2,1,5,5,5,1,1,5,1,2,4,2,3,1,2,2026-03-07T02:52:58.913751,claude-sonnet-4-6,anthropic,django__django-15277,5,2,5
sympy__sympy-13551,0,4,5,4,3,2,0,4,5,4,4,3,4,0,3,1,2,1,2,3,2026-03-07T02:54:25.992239,claude-sonnet-4-6,anthropic,sympy__sympy-13551,4,2,5
sympy__sympy-22914,3,5,2,1,1,1,1,4,5,5,1,1,5,1,1,2,1,1,1,2,2026-03-07T02:54:41.762731,claude-sonnet-4-6,anthropic,sympy__sympy-22914,5,1,5
django__django-13012,1,5,4,4,3,2,0,5,5,5,3,2,5,1,2,3,1,2,2,3,2026-03-07T02:52:27.221947,claude-sonnet-4-6,anthropic,django__django-13012,4,2,5
django__django-11490,2,4,4,3,3,2,0,5,5,4,2,1,5,1,2,2,1,2,2,4,2026-03-07T02:52:12.669671,claude-sonnet-4-6,anthropic,django__django-11490,5,2,5
sphinx-doc__sphinx-7462,1,4,4,3,3,2,0,5,5,3,2,1,5,1,2,2,2,2,2,2,2026-03-07T02:54:09.409368,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-7462,5,2,5
django__django-16569,3,5,3,1,1,2,1,5,5,5,1,1,5,1,1,2,1,2,1,2,2026-03-07T02:53:16.413116,claude-sonnet-4-6,anthropic,django__django-16569,5,2,5
