total_actions,total_edits,search_ratio,navigate_ratio,edit_ratio,execute_ratio,test_ratio,create_ratio,error_rate,exploration_ratio,exploitation_ratio,avg_edit_size,max_edit_size,edit_concentration,starts_with_search,starts_with_navigate,test_after_edit,task_id,resolved
33,14,0.09090909090909091,0.12121212121212122,0.42424242424242425,0.2727272727272727,0.0,0.06060606060606061,0.48484848484848486,0.21212121212121213,0.48484848484848486,43.07142857142857,100,0.5,1,0,9,mwaskom__seaborn-3069,False
74,30,0.0,0.1891891891891892,0.40540540540540543,0.28378378378378377,0.02702702702702703,0.06756756756756757,0.6756756756756757,0.1891891891891892,0.47297297297297297,16.266666666666666,95,0.4,0,0,19,django__django-13158,False
11,3,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.5454545454545454,0.6363636363636364,0.2727272727272727,8.0,11,1.0,1,0,0,scikit-learn__scikit-learn-14141,True
38,5,0.3157894736842105,0.42105263157894735,0.13157894736842105,0.07894736842105263,0.0,0.02631578947368421,0.5526315789473684,0.7368421052631579,0.15789473684210525,16.4,34,0.4,0,0,3,pytest-dev__pytest-10356,False
21,2,0.38095238095238093,0.2857142857142857,0.14285714285714285,0.09523809523809523,0.0,0.047619047619047616,0.4285714285714286,0.6666666666666666,0.19047619047619047,42.0,83,1.0,0,0,1,scikit-learn__scikit-learn-13142,True
66,2,0.3181818181818182,0.24242424242424243,0.030303030303030304,0.18181818181818182,0.21212121212121213,0.0,0.48484848484848486,0.5606060606060606,0.030303030303030304,1.0,1,0.5,1,0,1,django__django-16032,False
56,24,0.03571428571428571,0.10714285714285714,0.42857142857142855,0.39285714285714285,0.0,0.017857142857142856,0.9285714285714286,0.14285714285714285,0.44642857142857145,63.375,99,0.125,0,0,21,django__django-13406,False
46,9,0.2608695652173913,0.17391304347826086,0.1956521739130435,0.34782608695652173,0.0,0.0,0.4565217391304348,0.43478260869565216,0.1956521739130435,53.22222222222222,226,0.4444444444444444,1,0,8,django__django-16493,True
30,9,0.3,0.13333333333333333,0.3,0.13333333333333333,0.0,0.06666666666666667,0.5666666666666667,0.43333333333333335,0.36666666666666664,55.44444444444444,92,0.3333333333333333,0,0,3,pydata__xarray-3305,True
14,5,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.42857142857142855,1.2,2,0.8,1,0,1,django__django-14089,True
25,8,0.32,0.2,0.32,0.08,0.0,0.04,0.31999999999999995,0.52,0.36,36.25,66,0.625,1,0,2,sphinx-doc__sphinx-9258,False
9,2,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.5,4,1.0,0,0,2,sympy__sympy-14711,True
19,2,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.0,0.26315789473684215,0.3157894736842105,0.10526315789473684,1.0,1,1.0,1,0,2,astropy__astropy-13398,False
27,9,0.0,0.07407407407407407,0.3333333333333333,0.18518518518518517,0.0,0.2222222222222222,0.2962962962962963,0.07407407407407407,0.5555555555555556,6.222222222222222,23,0.3333333333333333,0,0,2,sphinx-doc__sphinx-11510,False
62,15,0.03225806451612903,0.016129032258064516,0.27419354838709675,0.16129032258064516,0.11290322580645161,0.06451612903225806,0.16129032258064513,0.04838709677419355,0.3387096774193548,24.866666666666667,46,0.06666666666666667,0,0,6,sphinx-doc__sphinx-9229,False
40,13,0.15,0.2,0.325,0.2,0.025,0.025,0.7,0.35,0.35,10.461538461538462,26,0.5384615384615384,1,0,7,django__django-12325,False
33,11,0.18181818181818182,0.24242424242424243,0.3333333333333333,0.18181818181818182,0.0,0.030303030303030304,0.696969696969697,0.42424242424242425,0.36363636363636365,19.727272727272727,51,0.8181818181818182,0,0,6,scikit-learn__scikit-learn-13124,True
64,25,0.046875,0.09375,0.390625,0.34375,0.03125,0.046875,0.390625,0.140625,0.4375,45.12,104,0.32,1,0,22,django__django-15022,False
7,2,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.4285714285714286,0.5714285714285714,0.2857142857142857,9.5,10,1.0,1,0,0,django__django-12304,False
33,13,0.06060606060606061,0.12121212121212122,0.3939393939393939,0.3333333333333333,0.0,0.06060606060606061,0.7575757575757576,0.18181818181818182,0.45454545454545453,26.53846153846154,50,0.38461538461538464,0,1,9,django__django-13363,False
60,27,0.03333333333333333,0.21666666666666667,0.5,0.2,0.0,0.03333333333333333,0.8333333333333334,0.25,0.5333333333333333,62.81481481481482,130,0.2222222222222222,0,0,12,sympy__sympy-23413,False
82,3,0.36585365853658536,0.43902439024390244,0.036585365853658534,0.036585365853658534,0.024390243902439025,0.0,0.3292682926829268,0.8048780487804879,0.036585365853658534,3.6666666666666665,8,1.0,0,0,2,sphinx-doc__sphinx-7454,False
12,3,0.25,0.16666666666666666,0.25,0.16666666666666666,0.0,0.08333333333333333,0.6666666666666667,0.4166666666666667,0.3333333333333333,10.333333333333334,18,0.6666666666666666,1,0,2,django__django-14915,True
21,6,0.23809523809523808,0.14285714285714285,0.2857142857142857,0.23809523809523808,0.0,0.047619047619047616,0.5714285714285714,0.38095238095238093,0.3333333333333333,10.0,41,0.5,0,0,5,django__django-15503,False
20,2,0.3,0.25,0.1,0.1,0.0,0.0,0.25,0.55,0.1,6.5,12,1.0,1,0,0,django__django-11451,False
33,8,0.3333333333333333,0.18181818181818182,0.24242424242424243,0.06060606060606061,0.09090909090909091,0.0,0.3939393939393939,0.5151515151515151,0.24242424242424243,7.0,13,0.75,1,0,2,django__django-15268,False
