instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
tornadoweb__tornado-4d4c1e0,4,3.0,5,3,4,3,5.0,1.0,4,4,1,4,3,1,4
pandas-dev__pandas-1c2ad16,3,4.0,3,3,4,3,3.0,4.0,4,3,1,3,1,1,3
huggingface__datasets-c5464b3,4,3.0,2,4,4,3,5.0,2.0,4,4,0,4,1,2,4
numpy__numpy-e801e7a,4,4.0,3,2,5,3,3.0,4.0,4,3,1,4,0,4,3
numpy__numpy-ba89ef9,4,4.0,3,3,5,4,4.0,4.0,4,3,1,4,1,1,3
pandas-dev__pandas-2421931,4,4.0,3,4,5,3,4.0,4.0,4,4,1,4,1,2,4
pandas-dev__pandas-71c94af,3,4.0,3,2,4,3,4.0,2.0,3,4,1,3,1,1,3
pandas-dev__pandas-ad3f3f7,3,4.0,1,2,4,4,4.0,4.0,4,3,1,4,1,2,3
numpy__numpy-ef5e545,4,4.0,4,2,5,3,4.0,4.0,4,3,1,4,2,3,3
numpy__numpy-1b861a2,4,4.0,5,3,5,3,4.0,4.0,4,4,1,5,3,1,3
numpy__numpy-cb461ba,4,4.0,5,2,5,3,3.0,4.0,4,3,1,5,3,3,3
uploadcare__pillow-simd-9e60023,4,3.0,1,2,5,3,4.0,4.0,4,3,1,4,3,3,4
numpy__numpy-1fcda82,4,5.0,5,2,5,3,5.0,2.0,4,3,1,5,3,4,3
numpy__numpy-ee75c87,4,5.0,4,2,5,3,3.0,4.0,4,3,1,4,1,4,3
huggingface__tokenizers-fc76ad4,2,3.0,3,2,4,3,4.0,4.0,3,2,1,3,3,2,3
numpy__numpy-780799b,3,5.0,1,2,5,3,4.0,4.0,4,2,1,3,0,3,3
pandas-dev__pandas-2f4c93e,3,4.0,3,2,4,4,4.0,4.0,3,3,1,3,2,2,3
pandas-dev__pandas-2a08b05,3,4.0,1,2,4,3,5.0,4.0,4,3,1,3,1,1,3
pandas-dev__pandas-f1211e7,3,4.0,3,2,4,4,4.0,2.0,3,3,1,3,1,2,3
numpy__numpy-cb0d7cd,4,5.0,5,2,5,3,3.0,4.0,4,3,1,5,3,4,3
abetlen__llama-cpp-python-218d361,4,3.0,5,4,4,2,4.0,4.0,4,4,1,5,1,2,4
numpy__numpy-382b3ff,4,5.0,1,3,5,4,4.0,4.0,3,1,1,2,3,1,4
numpy__numpy-5f94eb8,4,4.0,3,2,5,3,3.0,5.0,4,3,1,4,3,2,4
uploadcare__pillow-simd-7511039,4,3.0,1,2,5,3,4.0,5.0,4,3,1,4,3,1,4
numpy__numpy-be52f19,4,4.0,3,3,5,4,3.0,4.0,4,3,1,4,0,1,3
numpy__numpy-728fedc,4,5.0,5,2,5,3,4.0,4.0,4,3,1,5,3,2,3
pandas-dev__pandas-5d82d8b,1,4.0,1,1,3,4,5.0,3.0,2,1,1,1,3,4,2
tornadoweb__tornado-9a18f6c,3,2.0,1,1,5,3,5.0,4.0,3,3,1,3,3,1,3
pandas-dev__pandas-65bca65,3,4.0,2,2,4,4,4.0,3.0,3,2,1,2,1,2,2
numpy__numpy-22ab9aa,4,5.0,4,2,5,3,3.0,4.0,4,3,1,5,3,2,3
huggingface__transformers-d51b589,4,2.0,1,3,5,4,5.0,2.0,4,2,1,3,2,1,4
pandas-dev__pandas-81b5f1d,3,4.0,2,3,4,4,3.0,4.0,4,3,1,2,1,1,3
numpy__numpy-eb21b25,4,5.0,4,4,5,3,2.0,4.0,4,3,1,4,1,1,3
pandas-dev__pandas-061c2e9,3,4.0,4,3,4,3,4.0,4.0,4,4,1,4,1,1,4
pandas-dev__pandas-233bd83,3,4.0,4,1,5,3,3.0,4.0,4,3,1,4,2,4,3
numpy__numpy-794f474,4,4.0,3,2,5,3,4.0,4.0,4,3,1,4,2,1,4
python-pillow__Pillow-fd8ee84,2,3.0,2,1,4,3,5.0,2.0,2,2,1,1,2,3,2
pydantic__pydantic-addf1f9,3,3.0,3,2,4,4,4.0,2.0,4,3,1,3,3,2,4
numpy__numpy-19bfa3f,4,5.0,4,3,5,3,4.0,4.0,4,3,1,4,3,3,3
pandas-dev__pandas-c34da50,3,4.0,2,2,4,4,4.0,3.0,4,3,1,3,1,3,3
pandas-dev__pandas-c51c2a7,2,5.0,2,2,4,3,4.0,3.0,3,3,1,3,1,3,3
pandas-dev__pandas-37e9e06,2,4.0,3,2,4,4,5.0,2.0,2,1,1,1,1,4,2
pydantic__pydantic-c2647ab,4,3.0,4,3,4,3,4.0,2.0,4,4,1,5,3,1,3
pydantic__pydantic-4a09447,3,2.0,1,2,4,3,5.0,2.0,3,3,1,3,2,1,3
huggingface__transformers-253f9a3,2,5.0,3,2,4,3,5.0,2.0,3,2,1,2,3,2,3
huggingface__transformers-211f93a,4,5.0,2,2,4,3,5.0,1.0,4,3,1,3,1,2,3
huggingface__tokenizers-bfd9cde,4,2.0,3,2,4,4,4.0,4.0,3,3,1,3,3,2,3
pandas-dev__pandas-e8961f1,4,4.0,3,3,5,3,4.0,4.0,4,3,1,4,1,1,3
pandas-dev__pandas-2cdca01,3,5.0,2,2,4,4,5.0,4.0,3,3,1,3,3,1,2
uploadcare__pillow-simd-2818b90,4,3.0,2,2,5,3,5.0,5.0,5,3,1,5,3,1,4
huggingface__transformers-63b90a5,2,4.0,1,2,3,3,5.0,2.0,3,3,1,3,1,3,3
numpy__numpy-7ff7ec7,2,4.0,2,2,4,4,5.0,2.0,3,2,1,2,3,4,3
pandas-dev__pandas-bfaf917,3,5.0,2,1,4,4,5.0,3.0,3,2,1,3,2,1,2
numpy__numpy-68eead8,3,4.0,1,2,5,4,5.0,4.0,3,3,1,2,2,4,4
abetlen__llama-cpp-python-2bc1d97,5,3.0,5,3,5,2,3.0,4.0,4,4,1,5,1,2,4
python-pillow__Pillow-63f398b,3,3.0,1,2,4,3,5.0,4.0,4,3,1,3,1,4,3
pandas-dev__pandas-235113e,2,4.0,1,1,3,4,3.0,3.0,2,3,1,2,2,1,2
pydantic__pydantic-ac9e6ee,4,3.0,4,3,5,3,4.0,2.0,4,4,1,5,3,3,3
numpy__numpy-2540554,4,4.0,1,3,5,3,5.0,2.0,4,3,1,4,3,3,3
pandas-dev__pandas-c6cf37a,3,5.0,2,3,4,4,4.0,3.0,4,3,1,3,1,2,3
pandas-dev__pandas-438b957,3,4.0,3,3,4,3,4.0,3.0,4,3,1,3,1,2,3
uploadcare__pillow-simd-6eacce9,5,4.0,2,3,5,3,4.0,3.0,5,3,1,5,2,1,4
tornadoweb__tornado-ac13ee5,4,3.0,5,3,4,3,5.0,2.0,4,5,1,4,3,2,4
numpy__numpy-567b57d,4,5.0,4,3,5,3,3.0,4.0,4,3,1,4,3,2,3
numpy__numpy-2dfd21e,4,5.0,4,2,5,3,4.0,4.0,4,3,1,4,1,1,4
numpy__numpy-28706af,4,4.0,4,4,5,3,3.0,4.0,4,3,1,4,1,1,4
pandas-dev__pandas-9a6c8f0,3,4.0,1,2,4,4,4.0,3.0,4,3,1,3,2,1,3
tornadoweb__tornado-1b464c4,3,3.0,1,2,4,3,4.0,2.0,4,3,1,4,2,1,3
pandas-dev__pandas-9097263,4,4.0,3,2,5,3,4.0,4.0,3,3,1,3,2,2,3
pandas-dev__pandas-609c3b7,3,4.0,3,2,4,3,4.0,3.0,3,3,1,3,1,1,3
python-pillow__Pillow-d8af3fc,3,3.0,4,2,5,3,4.0,4.0,4,3,1,4,3,4,3
