integration_complexity,solution_complexity,solution_discovery_needed,logical_reasoning_required,atypicality,domain_knowledge_required,verification_difficulty,standard_pattern_available,problem_clarity,solution_hint,solution_prescribed,location_hints_provided,fix_pattern_type,minimal_repro_provided,log_lines_changed,patch_adds,patch_lines_gt20,patch_chars,patch_files_gt2,patch_lines_gt50,test_patch_lines,num_hunks,patch_deletes,num_files_modified,test_patch_chars,patch_files_gt3,test_patch_files,test_patch_hunks,has_code_block,is_django,stmt_lines_gt80,stmt_words,_task_id
2,1,2,2,2,3,2,1,5,3,1,1,1,1,0.4771212547196624,1,0,505,0,0,3,1,1,1,557,0,1,1,1,0,0,64,sympy__sympy-12096
3,1,2,3,3,4,2,0,5,3,1,1,1,1,0.6989700043360189,3,0,733,0,0,12,1,1,1,962,0,1,1,0,1,0,178,django__django-15375
3,3,4,4,3,4,3,1,4,0,0,0,1,1,1.3979400086720375,13,1,3179,0,0,9,6,11,2,664,0,1,1,1,0,1,382,pydata__xarray-6938
4,4,4,4,4,5,3,0,3,2,0,0,1,1,1.8512583487190752,44,1,10210,1,1,61,14,26,6,5072,1,2,4,1,0,0,43,sympy__sympy-16597
2,1,2,2,2,3,2,1,5,2,1,1,0,1,0.4771212547196624,1,0,709,0,0,161,1,1,1,11922,0,2,10,1,0,0,200,astropy__astropy-7336
3,2,3,3,3,4,3,0,4,2,0,0,0,0,1.0791812460476249,6,0,1126,0,0,11,1,5,1,1223,0,1,2,0,1,0,62,django__django-14122
2,1,2,3,3,4,3,1,4,1,0,1,1,0,0.4771212547196624,1,0,754,0,0,11,1,1,1,1801,0,1,2,0,1,0,64,django__django-7530
4,3,4,4,4,5,3,0,4,2,0,1,1,1,1.0791812460476249,8,0,1668,0,0,8,2,3,1,674,0,1,1,0,1,0,263,django__django-11265
1,1,2,1,2,3,2,1,5,3,1,0,1,0,0.6989700043360189,2,0,621,0,0,8,2,2,1,571,0,1,1,1,0,0,122,psf__requests-1766
2,2,1,2,1,3,2,1,5,3,1,1,1,1,1.2041199826559248,13,0,1671,0,0,22,3,2,1,1134,0,1,1,1,0,0,166,matplotlib__matplotlib-25287
3,2,3,3,3,4,2,0,4,1,0,0,1,1,1.2041199826559248,7,0,1331,0,0,19,1,8,1,1254,0,1,1,1,0,1,294,pydata__xarray-3151
4,3,3,3,3,4,3,0,4,2,0,1,2,0,1.5314789170422551,28,1,2723,0,0,24,3,5,2,1622,0,1,2,0,1,0,130,django__django-16631
3,4,4,4,4,5,3,0,4,1,0,1,2,1,1.7075701760979365,47,1,2838,0,0,18,3,3,1,2468,0,2,3,0,0,0,66,sympy__sympy-18199
2,1,1,2,2,3,2,1,5,3,1,1,1,1,0.4771212547196624,1,0,559,0,0,10,1,1,1,801,0,1,1,1,0,1,432,pydata__xarray-4695
2,2,2,3,3,3,2,1,4,2,1,1,1,1,1.3010299956639813,12,0,1016,0,0,28,1,7,1,1488,0,1,1,1,0,0,202,pytest-dev__pytest-5631
2,1,3,3,2,3,2,1,4,0,0,0,1,1,0.4771212547196624,1,0,533,0,0,27,1,1,1,2518,0,1,3,1,0,0,124,sphinx-doc__sphinx-9230
2,1,1,2,1,3,2,1,5,2,0,1,0,1,0.4771212547196624,2,0,529,0,0,16,1,0,1,2112,0,2,5,0,1,0,209,django__django-16667
1,1,1,1,1,2,1,1,5,3,1,1,2,0,0.6020599913279624,3,0,391,0,0,7,1,0,1,702,0,1,2,0,1,0,46,django__django-14089
4,4,4,4,4,5,3,0,4,2,0,1,0,1,1.5185139398778875,27,1,2829,0,0,63,4,5,1,3349,0,1,1,0,1,0,85,django__django-15732
3,3,3,3,3,5,3,0,4,2,1,0,2,1,1.4913616938342726,25,1,2593,0,0,19,4,5,1,1925,0,1,2,1,0,0,261,sympy__sympy-13852
3,1,3,3,3,4,2,0,4,1,0,0,1,1,0.4771212547196624,1,0,680,0,0,35,1,1,1,4224,0,2,5,1,1,0,144,django__django-12262
2,1,2,2,1,3,2,1,4,2,0,1,0,0,0.4771212547196624,1,0,582,0,0,21,1,1,1,1232,0,1,1,0,1,0,81,django__django-13023
2,1,1,2,2,3,2,1,5,3,1,1,0,0,0.4771212547196624,2,0,397,0,0,20,1,0,1,1420,0,1,2,0,1,0,65,django__django-16333
2,1,4,3,3,4,2,1,4,0,0,0,0,1,0.3010299956639812,1,0,360,0,0,8,1,0,1,1055,0,2,2,1,0,0,57,sympy__sympy-13757
3,3,3,3,2,4,2,1,4,1,0,1,0,1,1.5563025007672873,28,1,3095,0,0,120,5,7,2,5953,0,3,4,1,0,0,270,pylint-dev__pylint-6528
4,4,4,4,4,5,3,0,4,1,0,0,2,1,1.724275869600789,47,1,4777,1,1,60,7,5,3,4844,0,4,5,1,0,1,253,sphinx-doc__sphinx-9461
3,2,2,2,2,4,2,1,4,2,1,0,2,0,1.146128035678238,10,0,2530,0,0,67,5,3,1,3290,0,1,1,0,1,0,66,django__django-14725
2,2,3,3,3,4,2,0,4,2,1,1,1,1,1.1760912590556811,5,0,1508,0,0,55,3,9,1,3209,0,1,1,1,0,0,213,sphinx-doc__sphinx-11445
3,2,3,3,3,4,2,1,4,2,0,1,1,1,0.8450980400142568,2,0,728,0,0,18,1,4,1,1001,0,1,1,1,0,0,109,astropy__astropy-14096
2,1,2,2,2,3,2,1,5,3,1,1,1,1,0.6989700043360189,2,0,869,0,0,39,1,2,1,1900,0,1,1,1,0,0,357,astropy__astropy-14995
2,2,2,2,2,4,2,1,4,2,1,0,2,0,1.146128035678238,13,0,906,0,0,24,1,0,1,1139,0,1,1,0,1,0,30,django__django-15499
3,2,2,3,3,4,3,0,4,3,1,1,1,1,0.6989700043360189,3,0,640,0,0,60,1,1,1,3254,0,4,5,1,1,1,366,django__django-15525
3,3,3,3,3,4,3,0,4,2,0,1,1,1,0.9030899869919436,6,0,1187,0,0,16,2,1,2,1270,0,1,2,1,0,1,583,matplotlib__matplotlib-25479
4,4,4,4,3,4,3,0,4,1,0,1,3,1,1.7075701760979365,29,1,3907,0,0,65,4,21,2,2430,0,2,2,0,0,0,39,sphinx-doc__sphinx-8548
3,3,2,3,3,4,2,1,5,3,1,1,2,1,1.1139433523068367,11,0,1290,0,0,32,2,1,1,2808,0,2,4,0,1,1,535,django__django-13449
2,1,2,2,2,3,2,1,4,2,1,1,0,1,0.6989700043360189,2,0,855,0,0,11,2,2,1,742,0,1,1,0,1,0,143,django__django-15572
2,2,2,2,2,3,2,1,4,2,1,1,0,1,1.0,8,0,1156,0,0,15,2,1,1,1011,0,1,1,0,1,0,78,django__django-16145
2,2,2,2,2,3,2,1,5,3,1,1,1,1,0.9030899869919436,4,0,739,0,0,46,1,3,1,4548,0,1,4,1,1,0,244,django__django-11815
4,2,4,4,3,4,3,0,4,1,0,1,0,1,0.4771212547196624,2,0,589,0,0,22,1,0,1,2263,0,2,4,1,0,0,303,sympy__sympy-17630
3,3,3,3,3,4,3,0,4,2,1,0,3,1,1.57978359661681,30,1,2091,0,0,24,2,7,1,763,0,1,1,1,0,1,745,pytest-dev__pytest-10356
2,1,2,2,1,3,2,1,5,3,1,0,1,0,0.4771212547196624,1,0,609,0,0,7,1,1,1,994,0,1,2,0,1,0,42,django__django-10880
3,3,2,3,3,4,3,0,4,2,1,1,1,0,1.0413926851582251,4,0,1519,0,0,26,2,6,1,1504,0,2,2,1,1,0,119,django__django-11141
3,3,3,4,3,4,3,0,4,2,0,1,1,1,1.3424226808222062,11,1,1598,0,0,7,1,10,1,679,0,1,1,1,0,0,207,matplotlib__matplotlib-24970
3,3,2,3,2,3,2,1,4,2,1,1,0,1,1.380211241711606,17,1,1343,0,0,2,1,6,1,545,0,1,1,1,0,0,147,sympy__sympy-13798
2,1,2,2,2,3,2,1,4,2,1,1,1,1,1.146128035678238,9,0,1850,0,0,18,4,4,1,1698,0,1,2,1,0,0,140,scikit-learn__scikit-learn-26194
1,1,2,2,2,3,2,1,5,3,1,1,1,1,0.6989700043360189,2,0,679,0,0,45,1,2,1,2241,0,1,2,1,0,0,136,matplotlib__matplotlib-24570
4,4,4,4,4,5,3,0,4,1,0,0,0,1,1.4313637641589874,23,1,5462,1,0,37,9,3,3,1789,0,4,3,1,0,0,134,sphinx-doc__sphinx-10673
2,1,1,1,1,3,2,1,5,3,1,1,2,1,1.1139433523068367,10,0,1465,0,0,24,2,2,1,1637,0,1,2,1,1,0,295,django__django-14752
3,2,4,4,4,5,3,0,4,1,0,0,1,1,0.4771212547196624,1,0,637,0,0,52,1,1,1,3067,0,1,1,1,0,0,238,matplotlib__matplotlib-24177
2,1,2,2,2,4,2,1,4,2,1,1,0,0,0.3010299956639812,1,0,356,0,0,8,1,0,1,706,0,1,1,0,1,0,48,django__django-16082
3,3,3,4,3,4,2,0,4,2,0,1,4,0,1.1139433523068367,9,0,1400,0,0,1,4,3,1,372,0,1,1,0,0,0,38,sympy__sympy-22456
2,1,3,2,2,3,2,1,4,1,0,0,2,0,0.6989700043360189,4,0,476,0,0,15,1,0,1,1163,0,2,2,0,1,0,83,django__django-13516
2,2,3,3,3,4,3,0,4,1,0,0,0,1,0.8450980400142568,4,0,722,0,0,4,1,2,1,667,0,1,1,1,0,0,166,matplotlib__matplotlib-22871
3,2,4,4,4,4,3,0,4,2,0,0,1,1,0.7781512503836436,4,0,646,0,0,7,2,1,1,709,0,1,1,1,0,0,198,matplotlib__matplotlib-23299
4,3,4,3,3,4,3,0,4,1,0,0,1,1,1.3424226808222062,15,1,2029,0,0,37,2,6,1,2643,0,3,6,0,1,0,165,django__django-14007
2,1,2,2,2,3,2,1,4,1,0,1,1,1,0.4771212547196624,1,0,449,0,0,2,1,1,1,591,0,1,1,0,1,0,27,django__django-16485
2,2,1,2,2,3,2,1,4,3,1,1,0,1,0.6989700043360189,2,0,1122,0,0,9,2,2,1,637,0,1,1,1,0,1,902,matplotlib__matplotlib-22719
3,2,1,2,2,4,2,1,5,3,1,1,2,0,1.7481880270062005,55,1,5054,0,1,88,11,0,2,5401,0,3,5,1,1,0,189,django__django-16256
3,3,2,4,3,4,4,0,5,3,1,1,2,1,1.3979400086720375,24,1,2233,0,0,89,3,0,2,5803,0,2,5,0,1,0,263,django__django-14011
2,1,1,2,2,3,2,1,5,3,1,1,1,1,0.8450980400142568,1,0,665,0,0,11,1,5,1,871,0,1,1,0,1,0,136,django__django-15315
4,3,4,4,3,4,3,0,4,1,0,0,3,1,1.3979400086720375,6,1,1868,0,0,44,3,18,1,1677,0,2,2,1,0,0,226,pytest-dev__pytest-6197
2,1,2,3,2,4,2,1,5,3,1,1,1,1,0.7781512503836436,3,0,692,0,0,26,1,2,1,2210,0,2,5,0,1,0,144,django__django-16493
2,1,3,3,3,4,2,1,4,1,0,0,1,1,0.4771212547196624,1,0,685,0,0,23,1,1,1,1050,0,1,1,0,1,0,90,django__django-14787
3,2,2,3,3,4,2,1,3,2,1,1,2,0,1.0,9,0,1278,0,0,19,2,0,1,2230,0,1,5,0,1,0,59,django__django-13279
2,2,1,2,1,3,2,1,5,3,1,1,3,0,1.0,6,0,1527,0,0,4,2,3,2,1036,0,2,2,0,1,0,40,django__django-12741
2,1,2,2,2,3,2,1,4,1,0,1,1,0,0.4771212547196624,1,0,697,0,0,14,1,1,1,1182,0,1,1,0,1,0,24,django__django-15987
1,1,1,1,1,1,1,1,5,3,1,1,1,1,0.4771212547196624,1,0,556,0,0,2,1,1,1,457,0,1,1,1,0,0,56,sympy__sympy-13480
2,1,2,2,3,3,2,1,4,2,1,1,1,0,1.0413926851582251,3,0,1165,0,0,12,3,7,1,822,0,1,1,0,0,0,18,astropy__astropy-7166
2,1,2,3,2,3,2,1,4,1,0,1,0,1,0.4771212547196624,2,0,410,0,0,9,1,0,1,1016,0,2,2,1,0,0,206,sympy__sympy-17139
2,1,1,2,1,3,2,1,5,3,1,1,0,1,0.6989700043360189,3,0,702,0,0,12,1,1,1,1000,0,1,2,0,1,0,84,django__django-15467
3,2,2,3,3,4,3,0,4,1,1,1,0,1,0.9542425094393248,6,0,1403,0,0,16,1,2,1,1441,0,2,2,1,1,0,86,django__django-15037
3,3,3,3,2,3,3,1,4,1,0,0,2,1,1.255272505103306,15,0,1472,0,0,15,2,2,1,2588,0,2,5,1,0,0,224,sphinx-doc__sphinx-7985
3,2,2,3,3,4,3,0,5,3,1,1,1,1,0.6989700043360189,3,0,1023,0,0,36,2,1,1,1330,0,1,1,1,0,1,621,astropy__astropy-13579
3,2,2,3,4,4,2,0,4,2,1,1,0,1,1.0413926851582251,8,0,1245,0,0,1,3,2,1,367,0,1,1,1,0,0,42,pytest-dev__pytest-7324
4,3,3,3,2,3,3,1,5,3,1,1,1,1,2.0530784434834195,56,1,17385,1,1,121,45,56,21,4276,1,2,2,1,0,0,242,sympy__sympy-13091
2,1,1,1,1,3,2,1,5,3,1,1,2,0,1.0413926851582251,9,0,1285,0,0,22,3,1,1,1151,0,1,1,1,0,0,197,scikit-learn__scikit-learn-13496
2,1,3,3,3,4,2,1,4,0,0,0,1,1,0.4771212547196624,1,0,517,0,0,8,1,1,1,784,0,1,1,1,0,0,197,pydata__xarray-4094
2,1,2,2,1,3,2,1,5,3,1,0,2,1,1.0413926851582251,10,0,628,0,0,59,1,0,1,2195,0,1,1,0,1,0,67,django__django-16877
2,2,4,3,3,4,2,1,4,1,0,0,3,1,0.6989700043360189,3,0,924,0,0,12,2,1,1,1413,0,1,3,1,0,0,101,matplotlib__matplotlib-25311
2,2,2,2,1,3,2,1,5,3,1,1,2,0,1.146128035678238,13,0,2301,0,0,15,5,0,1,1004,0,1,1,0,0,0,191,scikit-learn__scikit-learn-25232
4,3,3,3,3,4,2,0,4,1,0,1,0,1,1.0791812460476249,8,0,1686,0,0,34,4,3,1,1252,0,1,1,1,0,1,241,pytest-dev__pytest-7236
2,2,2,2,2,3,2,1,4,2,1,1,3,1,1.6989700043360187,36,1,4058,0,0,5,5,13,2,1002,0,2,2,1,0,0,132,pydata__xarray-3993
4,4,3,4,4,5,3,0,4,3,1,1,1,1,1.414973347970818,22,1,2588,0,0,12,3,3,2,899,0,1,1,0,1,0,175,django__django-15563
3,3,3,4,3,4,3,0,4,1,0,0,1,1,1.1139433523068367,11,0,871,0,0,4,1,1,1,553,0,1,1,1,0,0,30,sympy__sympy-13615
3,3,3,4,3,4,2,0,4,1,0,0,1,1,1.255272505103306,11,0,1309,0,0,15,1,6,1,1464,0,1,2,1,0,0,208,pydata__xarray-6744
2,2,3,3,3,4,2,0,5,1,0,0,0,1,0.9030899869919436,6,0,697,0,0,7,1,1,1,1003,0,1,2,1,0,0,279,sphinx-doc__sphinx-7454
2,1,3,2,2,4,2,1,4,0,0,0,0,1,0.4771212547196624,2,0,421,0,0,14,1,0,1,1284,0,2,3,1,0,0,124,matplotlib__matplotlib-23314
2,1,1,2,2,3,2,1,5,3,1,1,0,1,0.4771212547196624,1,0,519,0,0,9,1,1,1,604,0,1,1,1,0,0,174,scikit-learn__scikit-learn-12585
1,1,1,2,2,2,3,1,5,3,1,1,0,0,0.9030899869919436,7,0,558,0,0,37,1,0,1,2066,0,1,2,1,0,0,305,pylint-dev__pylint-6903
3,2,3,3,3,4,3,0,4,3,1,1,1,1,0.6020599913279624,3,0,563,0,0,37,1,0,1,2313,0,1,2,0,1,0,106,django__django-12273
2,1,2,2,2,3,2,1,4,2,1,0,1,1,0.9542425094393248,2,0,760,0,0,2,1,6,1,1120,0,1,2,0,0,0,55,sympy__sympy-12481
2,3,2,3,2,3,2,1,4,2,1,1,1,1,0.9030899869919436,4,0,520,0,0,7,1,3,1,943,0,1,1,0,1,0,56,django__django-10999
3,1,2,3,3,4,2,1,4,3,1,1,0,1,0.4771212547196624,2,0,583,0,0,10,1,0,1,832,0,1,2,1,0,1,347,matplotlib__matplotlib-26291
2,1,1,2,2,3,2,1,5,3,1,1,0,1,0.6020599913279624,2,0,653,0,0,24,1,1,1,1235,0,1,1,0,1,0,396,django__django-15277
3,2,3,4,3,4,3,1,4,2,0,1,1,1,0.6989700043360189,2,0,680,0,0,7,1,2,1,601,0,1,1,1,0,0,67,sympy__sympy-13551
2,1,1,1,1,2,2,1,5,3,1,1,2,1,0.4771212547196624,2,0,277,0,0,5,1,0,1,949,0,1,2,1,0,0,84,sympy__sympy-22914
2,1,1,3,2,4,2,1,5,3,1,1,2,1,0.6020599913279624,3,0,510,0,0,10,1,0,1,767,0,1,1,0,1,0,164,django__django-13012
3,2,3,3,3,4,2,1,4,1,0,1,1,1,0.3010299956639812,1,0,675,0,0,3,1,0,1,689,0,1,1,0,1,0,44,django__django-11490
2,2,1,2,2,3,2,1,5,3,1,1,0,1,1.3222192947339193,14,0,1684,0,0,8,2,6,2,1235,0,2,2,1,0,0,128,sphinx-doc__sphinx-7462
2,1,1,2,1,3,2,1,5,3,1,1,0,1,0.6989700043360189,3,0,647,0,0,1,1,1,1,567,0,1,1,0,1,0,196,django__django-16569
2,1,1,2,2,3,2,1,5,3,1,1,1,0,0.6989700043360189,3,0,697,0,0,22,1,1,1,1865,0,1,3,1,1,0,175,django__django-16139
2,2,2,3,2,4,3,1,4,3,1,1,0,1,1.1139433523068367,8,0,1007,0,0,10,2,4,1,776,0,1,1,1,0,0,293,sympy__sympy-21379
2,2,2,3,2,4,2,1,5,3,1,1,1,1,1.0413926851582251,6,0,1327,0,0,8,3,4,1,1010,0,1,3,1,0,0,187,sympy__sympy-12419
2,1,1,2,1,3,2,1,4,3,1,1,2,1,0.6020599913279624,3,0,416,0,0,8,1,0,1,1221,0,1,2,0,1,0,125,django__django-14915
3,3,3,3,3,4,2,0,4,1,0,0,2,1,1.146128035678238,9,0,1878,0,0,28,2,4,1,1620,0,1,2,1,0,0,179,sphinx-doc__sphinx-8056
3,2,2,3,2,4,2,1,4,3,1,1,0,1,1.0,5,0,1427,0,0,8,3,4,2,1004,0,1,2,1,0,0,271,sympy__sympy-17318
2,2,1,2,2,3,3,1,5,3,1,1,0,1,0.7781512503836436,3,0,703,0,0,18,1,2,1,992,0,1,1,1,0,0,143,pylint-dev__pylint-7277
2,1,3,3,2,4,2,1,4,1,0,1,1,1,0.4771212547196624,1,0,655,0,0,16,1,1,1,1027,0,1,1,1,0,0,92,sympy__sympy-24213
4,4,4,4,4,5,3,0,4,1,0,1,1,1,1.2787536009528289,15,0,2269,0,0,25,2,3,1,1419,0,1,1,1,0,0,88,matplotlib__matplotlib-25960
3,2,2,3,2,4,2,1,4,3,1,1,0,1,0.7781512503836436,4,0,1777,0,0,14,3,1,1,1599,0,1,2,1,1,0,219,django__django-11740
3,2,3,3,3,4,2,0,4,1,0,0,1,1,0.6989700043360189,2,0,731,0,0,8,2,2,1,827,0,1,2,1,0,0,85,sympy__sympy-20801
1,1,1,2,1,2,2,1,5,3,1,1,0,1,0.3010299956639812,1,0,530,0,0,16,1,0,1,1385,0,2,2,0,1,0,121,django__django-14493
3,3,3,4,3,4,3,0,4,1,0,0,1,1,0.7781512503836436,3,0,749,0,0,4,1,2,1,701,0,1,1,0,1,0,36,django__django-14539
3,1,1,2,2,4,2,1,5,3,1,1,3,0,0.9030899869919436,0,0,853,0,0,44,1,7,1,3866,0,2,7,1,0,0,323,astropy__astropy-13236
3,2,3,3,3,4,2,1,5,1,0,0,0,1,0.7781512503836436,4,0,908,0,0,50,1,1,1,2690,0,1,3,1,0,1,283,pytest-dev__pytest-10081
3,2,4,3,3,4,3,1,4,0,0,0,0,1,0.8450980400142568,6,0,1421,0,0,21,3,0,1,1381,0,1,2,1,1,0,71,django__django-17084
2,1,1,3,3,4,2,1,4,3,1,1,0,1,0.7781512503836436,4,0,693,0,0,13,1,1,1,2155,0,2,4,1,1,0,239,django__django-13028
3,2,2,3,3,4,2,0,4,0,0,1,1,1,0.6020599913279624,1,0,697,0,0,4,1,2,1,571,0,1,1,1,0,0,140,pydata__xarray-6461
3,2,3,3,3,4,3,0,3,0,0,1,1,0,0.8450980400142568,3,0,928,0,0,19,1,3,1,1474,0,1,1,1,0,0,248,matplotlib__matplotlib-20488
2,1,1,2,1,3,2,1,5,3,1,1,1,1,1.0413926851582251,5,0,2450,0,0,68,5,5,2,2350,0,2,2,1,0,0,130,pytest-dev__pytest-8399
3,2,3,3,3,4,2,0,4,2,0,1,1,1,1.0,7,0,774,0,0,15,1,2,1,798,0,1,1,1,0,0,328,matplotlib__matplotlib-20826
2,1,1,2,1,3,2,1,5,3,1,0,1,1,0.4771212547196624,1,0,514,0,0,2,1,1,1,540,0,1,1,0,1,0,97,django__django-15851
3,3,3,3,3,4,2,0,4,1,0,0,2,1,1.146128035678238,9,0,1218,0,0,14,3,4,2,1456,0,2,3,1,0,0,54,sympy__sympy-19783
3,3,3,3,3,4,4,0,4,2,1,1,1,0,1.4471580313422192,8,1,3526,0,0,27,7,19,2,3242,0,1,6,1,0,0,62,pytest-dev__pytest-5840
2,2,2,3,2,3,2,1,4,2,1,1,0,1,0.4771212547196624,1,0,562,0,0,8,1,1,1,1261,0,2,2,1,1,0,388,django__django-10097
2,2,3,4,3,4,2,0,4,0,0,1,1,1,0.4771212547196624,1,0,669,0,0,7,1,1,1,716,0,1,2,1,0,0,141,sympy__sympy-22714
2,2,1,2,2,3,2,1,4,2,1,1,2,0,1.1139433523068367,12,0,1270,0,0,37,2,0,1,3029,0,1,5,1,1,0,117,django__django-11239
4,4,4,4,4,5,3,0,4,2,0,0,2,1,1.4313637641589874,16,1,3313,0,0,27,6,10,1,1545,0,1,1,1,1,0,189,django__django-15503
