_task_id,solution_discovery_needed,integration_complexity,log_lines_changed,solution_complexity,problem_clarity,atypicality,patch_adds,patch_files_gt2,verification_difficulty,has_code_block,test_patch_files,stmt_words,has_http_link
django__django-13023,2,2,0.4771212547196624,1,4,1,1,0,2,0,1,81,1
django__django-16333,1,2,0.4771212547196624,1,5,2,2,0,2,0,1,65,1
sympy__sympy-13757,4,2,0.3010299956639812,1,4,3,1,0,2,1,2,57,0
pylint-dev__pylint-6528,3,3,1.5563025007672873,3,4,2,28,0,2,1,3,270,0
sphinx-doc__sphinx-9461,4,4,1.724275869600789,4,4,4,47,1,3,1,4,253,1
django__django-14725,2,3,1.146128035678238,2,4,2,10,0,2,0,1,66,0
sphinx-doc__sphinx-11445,3,2,1.1760912590556811,2,4,3,5,0,2,1,1,213,0
astropy__astropy-14096,3,3,0.8450980400142568,2,4,3,2,0,2,1,1,109,0
astropy__astropy-14995,2,2,0.6989700043360189,1,5,2,2,0,2,1,1,357,0
django__django-15499,2,2,1.146128035678238,2,4,2,13,0,2,0,1,30,0
django__django-15525,2,3,0.6989700043360189,2,4,3,3,0,3,1,4,366,1
matplotlib__matplotlib-25479,3,3,0.9030899869919436,3,4,3,6,0,3,1,1,583,0
sphinx-doc__sphinx-8548,4,4,1.7075701760979365,4,4,3,29,0,3,0,2,39,1
django__django-13449,2,3,1.1139433523068367,3,5,3,11,0,2,0,2,535,0
django__django-15572,2,2,0.6989700043360189,1,4,2,2,0,2,0,1,143,1
django__django-16145,2,2,1.0,2,4,2,8,0,2,0,1,78,1
django__django-11815,2,2,0.9030899869919436,2,5,2,4,0,2,1,1,244,0
sympy__sympy-17630,4,4,0.4771212547196624,2,4,3,2,0,3,1,2,303,0
pytest-dev__pytest-10356,3,3,1.57978359661681,3,4,3,30,0,3,1,1,745,1
django__django-10880,2,2,0.4771212547196624,1,5,1,1,0,2,0,1,42,0
django__django-11141,2,3,1.0413926851582251,3,4,3,4,0,3,1,2,119,0
matplotlib__matplotlib-24970,3,3,1.3424226808222062,3,4,3,11,0,3,1,1,207,0
sympy__sympy-13798,2,3,1.380211241711606,3,4,2,17,0,2,1,1,147,0
scikit-learn__scikit-learn-26194,2,2,1.146128035678238,1,4,2,9,0,2,1,1,140,1
matplotlib__matplotlib-24570,2,1,0.6989700043360189,1,5,2,2,0,2,1,1,136,1
sphinx-doc__sphinx-10673,4,4,1.4313637641589874,4,4,4,23,1,3,1,4,134,1
django__django-14752,1,2,1.1139433523068367,1,5,1,10,0,2,1,1,295,0
matplotlib__matplotlib-24177,4,3,0.4771212547196624,2,4,4,1,0,3,1,1,238,1
django__django-16082,2,2,0.3010299956639812,1,4,2,1,0,2,0,1,48,0
sympy__sympy-22456,3,3,1.1139433523068367,3,4,3,9,0,2,0,1,38,0
django__django-13516,3,2,0.6989700043360189,1,4,2,4,0,2,0,2,83,0
matplotlib__matplotlib-22871,3,2,0.8450980400142568,2,4,3,4,0,3,1,1,166,1
matplotlib__matplotlib-23299,4,3,0.7781512503836436,2,4,4,4,0,3,1,1,198,0
django__django-14007,4,4,1.3424226808222062,3,4,3,15,0,3,0,3,165,0
django__django-16485,2,2,0.4771212547196624,1,4,2,1,0,2,0,1,27,0
matplotlib__matplotlib-22719,1,2,0.6989700043360189,2,4,2,2,0,2,1,1,902,1
django__django-16256,1,3,1.7481880270062005,2,5,2,55,0,2,1,3,189,0
django__django-14011,2,3,1.3979400086720375,3,5,3,24,0,4,0,2,263,0
django__django-15315,1,2,0.8450980400142568,1,5,2,1,0,2,0,1,136,0
pytest-dev__pytest-6197,4,4,1.3979400086720375,3,4,3,6,0,3,1,2,226,0
django__django-16493,2,2,0.7781512503836436,1,5,2,3,0,2,0,2,144,0
django__django-14787,3,2,0.4771212547196624,1,4,3,1,0,2,0,1,90,0
django__django-13279,2,3,1.0,2,3,3,9,0,2,0,1,59,0
django__django-12741,1,2,1.0,2,5,1,6,0,2,0,2,40,0
django__django-15987,2,2,0.4771212547196624,1,4,2,1,0,2,0,1,24,0
sympy__sympy-13480,1,1,0.4771212547196624,1,5,1,1,0,1,1,1,56,0
astropy__astropy-7166,2,2,1.0413926851582251,1,4,3,3,0,2,0,1,18,0
sympy__sympy-17139,2,2,0.4771212547196624,1,4,2,2,0,2,1,2,206,0
django__django-15467,1,2,0.6989700043360189,1,5,1,3,0,2,0,1,84,0
django__django-15037,2,3,0.9542425094393248,2,4,3,6,0,3,1,2,86,0
sphinx-doc__sphinx-7985,3,3,1.255272505103306,3,4,2,15,0,3,1,2,224,1
astropy__astropy-13579,2,3,0.6989700043360189,2,5,3,3,0,3,1,1,621,1
pytest-dev__pytest-7324,2,3,1.0413926851582251,2,4,4,8,0,2,1,1,42,1
sympy__sympy-13091,3,4,2.0530784434834195,3,5,2,56,1,3,1,2,242,1
scikit-learn__scikit-learn-13496,1,2,1.0413926851582251,1,5,1,9,0,2,1,1,197,0
pydata__xarray-4094,3,2,0.4771212547196624,1,4,3,1,0,2,1,1,197,0
django__django-16877,2,2,1.0413926851582251,1,5,1,10,0,2,0,1,67,0
matplotlib__matplotlib-25311,4,2,0.6989700043360189,2,4,3,3,0,2,1,1,101,0
scikit-learn__scikit-learn-25232,2,2,1.146128035678238,2,5,1,13,0,2,0,1,191,1
pytest-dev__pytest-7236,3,4,1.0791812460476249,3,4,3,8,0,2,1,1,241,0
pydata__xarray-3993,2,2,1.6989700043360187,2,4,2,36,0,2,1,2,132,1
django__django-15563,3,4,1.414973347970818,4,4,4,22,0,3,0,1,175,0
sympy__sympy-13615,3,3,1.1139433523068367,3,4,3,11,0,3,1,1,30,0
pydata__xarray-6744,3,3,1.255272505103306,3,4,3,11,0,2,1,1,208,1
sphinx-doc__sphinx-7454,3,2,0.9030899869919436,2,5,3,6,0,2,1,1,279,1
matplotlib__matplotlib-23314,3,2,0.4771212547196624,1,4,2,2,0,2,1,2,124,0
scikit-learn__scikit-learn-12585,1,2,0.4771212547196624,1,5,2,1,0,2,1,1,174,1
pylint-dev__pylint-6903,1,1,0.9030899869919436,1,5,2,7,0,3,1,1,305,1
django__django-12273,3,3,0.6020599913279624,2,4,3,3,0,3,0,1,106,0
sympy__sympy-12481,2,2,0.9542425094393248,1,4,2,2,0,2,0,1,55,0
django__django-10999,2,2,0.9030899869919436,3,4,2,4,0,2,0,1,56,1
matplotlib__matplotlib-26291,2,3,0.4771212547196624,1,4,3,2,0,2,1,1,347,1
django__django-15277,1,2,0.6020599913279624,1,5,2,2,0,2,0,1,396,0
sympy__sympy-13551,3,3,0.6989700043360189,2,4,3,2,0,3,1,1,67,1
sympy__sympy-22914,1,2,0.4771212547196624,1,5,1,2,0,2,1,1,84,0
django__django-13012,1,2,0.6020599913279624,1,5,2,3,0,2,0,1,164,0
django__django-11490,3,3,0.3010299956639812,2,4,3,1,0,2,0,1,44,0
sphinx-doc__sphinx-7462,1,2,1.3222192947339193,2,5,2,14,0,2,1,2,128,1
django__django-16569,1,2,0.6989700043360189,1,5,1,3,0,2,0,1,196,1
django__django-16139,1,2,0.6989700043360189,1,5,2,3,0,2,1,1,175,0
sympy__sympy-21379,2,2,1.1139433523068367,2,4,2,8,0,3,1,1,293,0
sympy__sympy-12419,2,2,1.0413926851582251,2,5,2,6,0,2,1,1,187,0
django__django-14915,1,2,0.6020599913279624,1,4,1,3,0,2,0,1,125,0
sphinx-doc__sphinx-8056,3,3,1.146128035678238,3,4,3,9,0,2,1,1,179,1
sympy__sympy-17318,2,3,1.0,2,4,2,5,0,2,1,1,271,0
pylint-dev__pylint-7277,1,2,0.7781512503836436,2,5,2,3,0,3,1,1,143,1
sympy__sympy-24213,3,2,0.4771212547196624,1,4,2,1,0,2,1,1,92,0
matplotlib__matplotlib-25960,4,4,1.2787536009528289,4,4,4,15,0,3,1,1,88,1
django__django-11740,2,3,0.7781512503836436,2,4,2,4,0,2,1,1,219,1
sympy__sympy-20801,3,3,0.6989700043360189,2,4,3,2,0,2,1,1,85,0
django__django-14493,1,1,0.3010299956639812,1,5,1,1,0,2,0,2,121,1
django__django-14539,3,3,0.7781512503836436,3,4,3,3,0,3,0,1,36,1
astropy__astropy-13236,1,3,0.9030899869919436,1,5,2,0,0,2,1,2,323,1
pytest-dev__pytest-10081,3,3,0.7781512503836436,2,5,3,4,0,2,1,1,283,0
django__django-17084,4,3,0.8450980400142568,2,4,3,6,0,3,1,1,71,0
django__django-13028,1,2,0.7781512503836436,1,4,3,4,0,2,1,2,239,0
pydata__xarray-6461,2,3,0.6020599913279624,2,4,3,1,0,2,1,1,140,0
matplotlib__matplotlib-20488,3,3,0.8450980400142568,2,3,3,3,0,3,1,1,248,0
pytest-dev__pytest-8399,1,2,1.0413926851582251,1,5,1,5,0,2,1,2,130,0
matplotlib__matplotlib-20826,3,3,1.0,2,4,3,7,0,2,1,1,328,1
django__django-15851,1,2,0.4771212547196624,1,5,1,1,0,2,0,1,97,0
sympy__sympy-19783,3,3,1.146128035678238,3,4,3,9,0,2,1,2,54,0
pytest-dev__pytest-5840,3,3,1.4471580313422192,3,4,3,8,0,4,1,1,62,0
django__django-10097,2,2,0.4771212547196624,2,4,2,1,0,2,1,2,388,1
sympy__sympy-22714,3,2,0.4771212547196624,2,4,3,1,0,2,1,1,141,0
django__django-11239,1,2,1.1139433523068367,2,4,2,12,0,2,1,1,117,0
django__django-15503,4,4,1.4313637641589874,4,4,4,16,0,3,1,1,189,0
sympy__sympy-24443,3,3,1.7481880270062005,3,4,4,22,0,3,1,1,75,1
django__django-15368,1,2,0.6989700043360189,1,5,2,2,0,2,0,1,153,1
matplotlib__matplotlib-23476,2,3,0.6020599913279624,2,4,3,3,0,3,1,1,352,0
django__django-15104,1,2,0.4771212547196624,1,5,2,1,0,2,0,1,455,0
django__django-15554,4,4,1.6812412373755872,4,4,4,38,0,3,1,1,160,0
django__django-13195,2,3,1.3617278360175928,3,4,2,16,1,2,0,3,333,1
sympy__sympy-15349,2,1,0.4771212547196624,1,4,2,1,0,2,1,1,82,1
scikit-learn__scikit-learn-25747,2,2,0.6989700043360189,1,4,2,1,0,2,1,1,495,0
django__django-16801,2,3,1.0,2,4,2,4,0,2,0,1,116,0
django__django-14580,2,2,0.4771212547196624,1,5,2,1,0,2,1,1,183,0
sympy__sympy-20154,1,2,1.380211241711606,2,4,2,4,0,2,0,1,88,0
pytest-dev__pytest-5787,4,4,2.367355921026019,4,4,3,143,0,3,1,4,310,0
django__django-13212,2,3,1.6532125137753435,2,4,2,19,0,2,0,1,61,1
pylint-dev__pylint-4661,2,2,1.2787536009528289,2,4,2,16,0,2,0,1,133,1
sphinx-doc__sphinx-10435,2,3,0.8450980400142568,2,4,3,3,0,2,1,1,229,1
sympy__sympy-20590,2,2,0.7781512503836436,1,5,3,5,0,2,1,1,80,0
django__django-16315,1,3,1.146128035678238,3,5,2,6,0,2,0,2,150,0
psf__requests-2317,2,2,0.6989700043360189,1,4,2,2,0,2,0,1,131,0
django__django-14017,2,3,0.4771212547196624,2,4,2,1,0,2,0,1,136,0
django__django-13551,2,2,1.0413926851582251,2,4,2,6,0,2,0,4,88,0
matplotlib__matplotlib-26208,4,3,0.4771212547196624,2,4,4,2,0,3,1,1,277,1
sympy__sympy-19346,2,2,1.0413926851582251,2,5,1,10,0,2,1,1,72,0
django__django-15128,4,4,1.462397997898956,4,4,4,20,0,3,0,2,360,0
django__django-13121,4,4,1.8512583487190752,4,3,4,25,1,3,0,2,82,0
scikit-learn__scikit-learn-10844,2,2,0.7781512503836436,2,4,2,3,0,3,1,1,284,1
django__django-12419,1,1,0.4771212547196624,1,5,1,1,0,2,0,1,86,1
django__django-13658,1,2,0.9030899869919436,1,5,1,6,0,3,0,1,153,0
django__django-14349,2,2,0.6020599913279624,2,4,2,3,0,2,0,1,218,1
sphinx-doc__sphinx-7910,2,2,0.6020599913279624,1,4,3,2,0,2,1,2,148,1
django__django-11848,2,2,1.0413926851582251,2,5,2,7,0,3,1,1,102,0
django__django-13033,2,3,0.9030899869919436,2,4,3,6,0,3,0,2,437,0
sympy__sympy-15345,3,3,0.7781512503836436,2,4,2,4,0,2,1,1,41,0
django__django-16661,4,4,1.0413926851582251,4,4,4,6,0,3,1,1,137,0
django__django-12858,3,3,0.6989700043360189,2,4,3,3,0,2,0,1,84,0
scikit-learn__scikit-learn-25931,2,2,1.3979400086720375,2,5,2,16,0,2,1,1,292,1
mwaskom__seaborn-3069,3,3,1.2041199826559248,3,4,3,13,0,3,0,1,210,0
scikit-learn__scikit-learn-11310,1,2,1.1760912590556811,1,5,1,14,0,2,1,1,162,1
sympy__sympy-18189,1,2,0.4771212547196624,1,5,1,1,0,2,1,1,106,0
django__django-12663,2,4,0.6020599913279624,2,4,4,2,0,3,1,2,228,0
scikit-learn__scikit-learn-10297,2,2,1.5440680443502757,2,5,1,20,0,2,1,1,182,0
pylint-dev__pylint-6386,3,4,1.2041199826559248,3,4,3,14,1,2,1,1,98,0
django__django-14534,1,2,0.4771212547196624,1,5,2,1,0,2,0,1,194,0
django__django-14373,1,1,0.6989700043360189,1,4,1,2,0,2,0,1,32,0
django__django-15098,3,2,0.4771212547196624,1,5,2,1,0,2,1,1,330,1
sympy__sympy-23534,3,2,0.4771212547196624,1,4,2,1,0,2,1,1,86,1
django__django-14631,2,4,1.8195439355418688,3,4,2,31,0,3,1,1,207,0
django__django-11433,3,3,0.9030899869919436,2,3,3,5,0,2,0,1,82,1
psf__requests-1921,3,3,0.4771212547196624,2,4,2,2,0,3,1,1,89,1
django__django-16899,1,2,0.7781512503836436,1,5,1,3,0,2,0,1,117,0
psf__requests-2931,3,3,0.7781512503836436,3,4,3,4,0,2,1,1,26,1
astropy__astropy-14182,3,3,1.6232492903979006,3,4,2,31,0,2,1,1,189,0
django__django-12209,2,3,0.3010299956639812,1,4,2,1,0,3,1,2,173,1
django__django-11999,2,3,0.9542425094393248,2,4,2,6,0,2,0,1,66,0
sympy__sympy-15017,2,2,0.4771212547196624,1,4,2,1,0,2,1,1,152,0
sphinx-doc__sphinx-10614,3,3,1.0791812460476249,3,4,3,7,0,3,1,6,347,1
scikit-learn__scikit-learn-13439,1,2,0.8450980400142568,1,5,1,6,0,1,1,1,120,0
sympy__sympy-13878,2,2,2.1958996524092336,3,5,2,142,0,3,1,1,459,1
sphinx-doc__sphinx-11510,4,4,1.568201724066995,4,5,4,36,0,3,1,5,544,1
django__django-14559,1,2,0.8450980400142568,1,5,1,4,0,2,0,1,54,1
django__django-13964,1,3,0.4771212547196624,1,5,2,1,0,2,1,2,243,0
django__django-14608,2,2,0.9030899869919436,1,4,2,5,0,2,1,2,100,0
django__django-13821,1,1,0.8450980400142568,1,5,1,4,0,1,1,1,84,0
django__django-14034,4,3,1.1760912590556811,3,4,3,12,0,2,1,1,159,0
pydata__xarray-6992,4,4,2.093421685162235,4,3,4,85,0,4,1,3,208,1
django__django-16662,2,2,0.7781512503836436,2,5,2,4,0,2,0,1,107,0
django__django-13933,1,2,0.8450980400142568,1,5,1,5,0,2,1,1,158,0
sphinx-doc__sphinx-7440,3,3,0.6989700043360189,2,4,2,2,0,2,1,1,90,1
pytest-dev__pytest-7432,2,3,0.6020599913279624,1,5,3,2,0,2,1,1,99,0
scikit-learn__scikit-learn-14629,2,2,1.3979400086720375,2,4,2,23,0,2,1,1,172,1
sympy__sympy-23262,2,2,0.6989700043360189,1,5,2,2,0,2,1,1,154,0
django__django-13925,3,3,0.7781512503836436,2,4,3,5,0,2,0,1,468,0
astropy__astropy-13453,2,3,0.4771212547196624,1,5,2,2,0,2,1,1,1016,1
sympy__sympy-21930,2,2,0.8450980400142568,1,5,2,3,0,2,1,1,87,0
sympy__sympy-24661,2,2,1.380211241711606,2,5,2,23,0,2,1,1,50,0
sphinx-doc__sphinx-8035,3,4,1.6720978579357175,3,4,2,37,0,3,0,1,99,1
django__django-14999,2,3,1.0791812460476249,2,4,2,6,0,2,0,1,41,0
scikit-learn__scikit-learn-11578,1,2,0.4771212547196624,1,5,2,1,0,2,1,1,785,1
django__django-13837,1,2,1.0413926851582251,2,5,3,5,0,3,1,2,251,0
scikit-learn__scikit-learn-9288,2,2,0.9030899869919436,2,4,2,4,0,2,1,1,373,1
pydata__xarray-7229,4,3,1.4771212547196624,3,4,3,24,0,3,1,1,361,1
scikit-learn__scikit-learn-13142,2,2,1.0413926851582251,1,4,2,5,0,2,1,2,315,0
scikit-learn__scikit-learn-25973,2,3,1.1139433523068367,2,4,2,7,0,2,1,1,212,1
sphinx-doc__sphinx-9673,2,2,0.6989700043360189,1,4,2,2,0,2,1,1,153,1
django__django-15561,2,3,1.5563025007672873,3,4,3,20,0,2,0,1,57,0
sphinx-doc__sphinx-9258,3,2,0.4771212547196624,1,4,2,1,0,2,1,1,65,1
scikit-learn__scikit-learn-12682,3,4,1.9590413923210936,3,4,2,66,0,2,0,1,76,0
django__django-11133,1,2,0.4771212547196624,1,5,2,1,0,2,0,1,110,0
django__django-11099,1,1,0.6989700043360189,1,5,2,2,0,2,0,1,121,0
pylint-dev__pylint-4551,4,4,2.103803720955957,4,4,3,99,1,3,1,1,100,1
sphinx-doc__sphinx-8721,3,2,0.6989700043360189,2,4,2,4,0,2,1,1,78,0
sympy__sympy-16792,3,3,1.230448921378274,3,5,3,11,0,2,1,1,285,0
sympy__sympy-18763,2,1,0.4771212547196624,1,5,1,1,0,2,1,1,60,1
django__django-12965,4,3,0.4771212547196624,2,4,3,2,0,2,0,1,349,1
django__django-15127,2,3,1.0791812460476249,2,4,3,11,0,2,0,2,38,0
matplotlib__matplotlib-26342,1,2,0.9030899869919436,1,4,1,2,0,2,1,1,58,1
sympy__sympy-23413,3,2,1.0791812460476249,2,4,3,7,0,2,0,2,59,0
django__django-15629,3,4,1.6334684555795864,4,4,3,34,1,4,1,2,247,0
pydata__xarray-7233,3,3,0.7781512503836436,2,4,3,4,0,2,1,1,261,1
astropy__astropy-14508,1,2,1.3979400086720375,2,5,2,5,0,2,1,1,358,1
django__django-15916,3,3,1.146128035678238,3,4,3,3,0,2,1,1,233,0
matplotlib__matplotlib-25775,2,4,1.6020599913279625,3,4,2,34,1,3,0,1,98,0
django__django-14311,3,2,1.0,2,4,4,7,0,3,1,2,79,1
sphinx-doc__sphinx-9281,3,2,0.9030899869919436,2,4,2,5,0,2,1,1,95,1
pydata__xarray-3677,2,2,0.3010299956639812,1,5,1,1,0,2,1,1,147,0
sympy__sympy-19040,2,2,0.4771212547196624,1,4,2,1,0,2,1,1,210,1
django__django-13315,4,3,1.1139433523068367,4,3,4,10,0,4,0,2,47,0
sympy__sympy-15599,2,3,1.2787536009528289,3,4,3,15,0,3,1,1,224,1
pytest-dev__pytest-7982,1,1,0.4771212547196624,1,5,1,1,0,2,0,1,71,0
django__django-11451,1,2,0.4771212547196624,1,5,1,2,0,2,0,1,249,0
sympy__sympy-15976,2,2,1.5314789170422551,2,4,2,14,0,2,0,1,125,1
django__django-15957,4,4,1.5314789170422551,4,4,4,26,0,3,0,1,129,0
django__django-12050,2,3,1.3010299956639813,2,4,2,4,0,2,0,1,52,0
django__django-15280,4,4,0.7781512503836436,2,4,3,3,0,3,1,1,293,0
pytest-dev__pytest-7490,3,4,1.3424226808222062,3,4,3,11,0,3,1,1,826,0
django__django-13568,2,2,0.7781512503836436,2,4,3,4,0,2,0,1,97,0
django__django-11555,3,3,0.6020599913279624,2,4,3,3,0,2,1,2,115,1
scikit-learn__scikit-learn-13135,2,2,0.4771212547196624,1,4,2,2,0,2,1,1,596,0
django__django-13513,2,3,1.6532125137753435,3,5,3,23,0,3,0,1,120,1
django__django-10554,4,4,1.0791812460476249,4,4,4,10,0,3,1,1,245,0
pydata__xarray-4075,1,2,1.0,2,5,2,8,0,2,1,1,263,1
matplotlib__matplotlib-24627,3,3,0.6989700043360189,2,4,2,3,0,2,1,1,59,0
django__django-13401,2,3,1.4313637641589874,3,5,2,23,0,2,0,1,189,0
astropy__astropy-13977,3,4,1.9822712330395684,4,4,4,56,0,3,1,2,455,1
django__django-11095,1,2,0.8450980400142568,1,5,1,5,0,2,0,1,59,0
django__django-12713,2,2,1.4913616938342726,2,4,2,19,0,2,1,1,30,0
django__django-13417,2,2,0.9030899869919436,2,4,3,6,0,2,0,1,134,0
sympy__sympy-13031,3,3,1.1139433523068367,3,4,3,8,0,2,1,1,108,0
sympy__sympy-15809,1,2,0.4771212547196624,1,4,2,0,0,2,0,1,43,1
sympy__sympy-13877,4,3,1.5440680443502757,3,4,3,20,0,3,1,1,328,0
django__django-13786,2,3,0.8450980400142568,2,4,3,5,0,2,0,1,92,0
django__django-16642,2,2,0.4771212547196624,1,4,2,2,0,2,0,1,35,0
pytest-dev__pytest-6202,1,2,0.6020599913279624,1,5,2,1,0,2,1,1,148,1
django__django-11885,3,4,2.1172712956557644,4,4,3,70,0,3,0,1,199,0
sphinx-doc__sphinx-7748,4,4,1.9590413923210936,4,3,3,63,0,3,0,2,62,0
matplotlib__matplotlib-24149,2,2,0.9542425094393248,2,5,2,8,0,2,1,1,361,0
django__django-15741,2,2,0.3010299956639812,1,4,2,1,0,2,0,2,42,0
django__django-14500,3,2,0.7781512503836436,1,3,3,2,0,3,1,1,40,0
scikit-learn__scikit-learn-25102,4,4,1.4771212547196624,4,4,3,22,0,3,1,2,345,0
sympy__sympy-20438,4,4,1.3222192947339193,4,3,3,12,1,3,1,1,123,1
sympy__sympy-16766,1,2,0.7781512503836436,1,5,1,5,0,2,1,1,82,0
django__django-13512,2,2,0.7781512503836436,2,4,2,3,0,2,1,2,60,1
astropy__astropy-7606,2,3,1.0413926851582251,2,4,3,7,0,2,1,1,103,0
sympy__sympy-14976,2,2,0.9030899869919436,2,4,2,7,0,2,1,2,78,1
django__django-14238,2,2,0.4771212547196624,1,5,3,1,0,2,0,2,207,0
django__django-10914,1,1,0.4771212547196624,1,5,1,1,0,2,0,1,151,0
django__django-14404,1,2,0.7781512503836436,1,4,2,2,0,3,1,1,34,1
psf__requests-6028,2,2,0.6989700043360189,1,4,2,4,0,2,1,1,151,1
django__django-13569,3,2,0.6020599913279624,2,4,3,3,0,3,0,1,245,0
pylint-dev__pylint-4970,2,2,0.4771212547196624,1,4,1,2,0,2,0,1,91,0
matplotlib__matplotlib-24870,2,3,1.5314789170422551,3,4,3,19,0,2,1,1,165,1
matplotlib__matplotlib-25332,4,2,1.146128035678238,3,4,3,13,0,2,1,1,105,0
sphinx-doc__sphinx-8595,2,2,0.4771212547196624,1,5,2,1,0,2,1,2,90,0
scikit-learn__scikit-learn-12973,1,2,1.0413926851582251,2,5,2,7,0,2,1,1,241,1
django__django-17087,1,2,0.4771212547196624,1,5,2,1,0,2,1,1,100,0
django__django-14351,4,4,1.0,3,3,4,9,0,3,1,1,698,0
