instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
django__django-11951,2,4,1,1,3,4,4,2,2,2,1,1,3,3,2
django__django-13346,4,4,2,4,4,4,4,2,4,3,1,3,1,4,4
scikit-learn__scikit-learn-14894,3,3,1,2,4,5,4,3,2,2,1,2,2,3,2
django__django-13809,2,4,2,2,3,3,4,1,2,2,1,2,2,2,2
sympy__sympy-16450,2,3,1,2,3,4,4,1,2,3,1,1,2,2,2
django__django-14765,2,4,1,1,3,4,5,1,2,3,1,1,3,2,1
matplotlib__matplotlib-21568,3,4,2,2,4,4,4,3,3,3,1,2,3,3,2
sphinx-doc__sphinx-7757,3,3,1,3,3,4,4,2,3,2,1,2,1,2,2
django__django-15973,4,5,2,4,4,5,4,2,3,2,1,1,1,2,2
sphinx-doc__sphinx-8621,2,3,1,2,2,5,4,1,3,2,1,1,2,3,2
matplotlib__matplotlib-13989,3,4,1,2,4,4,4,2,2,2,1,1,1,2,2
sphinx-doc__sphinx-9698,2,3,1,2,3,4,5,2,2,1,1,1,2,1,1
sympy__sympy-12096,2,3,1,2,4,4,5,1,2,3,1,2,3,1,2
django__django-15375,4,5,2,4,4,5,4,2,3,2,1,2,3,3,2
pydata__xarray-6938,4,2,2,4,4,4,4,1,3,3,1,3,1,2,2
sympy__sympy-16597,4,4,4,4,4,4,4,1,4,4,1,4,2,4,4
astropy__astropy-7336,3,4,2,2,3,5,5,2,2,2,1,1,2,4,2
django__django-14122,3,4,2,4,4,4,4,2,3,3,1,2,2,2,2
django__django-7530,3,4,2,2,4,4,4,2,3,2,1,1,2,3,3
django__django-11265,4,4,2,4,4,5,4,2,4,3,0,4,3,2,4
psf__requests-1766,2,2,1,1,4,4,5,1,2,2,1,1,3,1,2
matplotlib__matplotlib-25287,2,4,1,1,3,4,4,2,2,2,1,2,3,2,2
pydata__xarray-3151,3,2,1,2,4,5,4,1,3,2,1,2,2,2,2
django__django-16631,3,4,2,2,4,4,4,1,4,3,1,3,2,2,3
sympy__sympy-18199,4,4,2,3,5,4,4,2,4,4,1,4,1,4,4
pydata__xarray-4695,3,2,1,1,3,5,4,1,2,2,1,1,3,2,2
pytest-dev__pytest-5631,3,2,1,2,3,5,5,1,2,2,1,2,3,3,2
sphinx-doc__sphinx-9230,2,3,1,2,3,4,4,2,2,2,1,1,1,2,2
django__django-16667,2,4,1,1,3,5,4,1,2,2,1,1,3,4,2
django__django-14089,1,4,1,1,2,4,5,1,1,2,1,1,3,1,1
django__django-15732,4,5,2,4,4,5,4,2,4,3,0,3,2,4,3
sympy__sympy-13852,4,4,2,3,5,5,4,1,4,3,0,3,2,4,3
django__django-12262,3,4,1,2,4,5,4,1,3,2,1,1,1,4,2
django__django-13023,2,4,1,2,2,4,5,1,2,2,1,1,3,4,2
django__django-16333,2,4,1,1,3,4,4,2,2,2,1,1,3,1,2
sympy__sympy-13757,4,4,2,3,4,4,4,2,3,3,1,1,1,3,2
pylint-dev__pylint-6528,2,4,2,2,3,4,4,2,3,3,1,2,2,4,2
sphinx-doc__sphinx-9461,4,4,3,4,4,4,4,1,4,3,1,4,2,3,3
django__django-14725,3,4,2,3,4,3,4,2,4,3,1,2,2,4,3
sphinx-doc__sphinx-11445,3,4,2,3,4,4,4,2,3,2,1,2,3,4,2
astropy__astropy-14096,4,4,1,3,3,5,4,2,3,3,1,2,2,2,2
astropy__astropy-14995,2,3,1,2,3,5,4,2,2,2,1,1,3,4,2
django__django-15499,2,4,2,2,4,4,4,2,2,2,1,2,2,1,2
django__django-15525,4,4,2,3,4,5,4,1,3,2,1,2,3,2,3
matplotlib__matplotlib-25479,4,4,2,3,4,5,4,2,3,3,1,3,2,3,3
sphinx-doc__sphinx-8548,3,3,2,4,4,4,4,2,3,3,1,3,2,2,2
django__django-13449,4,5,2,3,4,5,4,2,3,3,1,3,3,2,2
django__django-15572,2,4,1,2,3,4,5,1,2,2,1,1,3,2,2
django__django-16145,2,4,1,2,3,5,4,1,2,2,1,2,2,2,2
django__django-11815,3,4,1,2,4,5,5,1,2,3,1,2,3,4,2
sympy__sympy-17630,4,3,2,4,4,5,4,1,3,3,1,2,1,3,2
pytest-dev__pytest-10356,3,3,2,3,4,4,4,1,3,4,1,3,2,2,3
django__django-10880,2,5,1,2,3,4,4,2,2,2,1,1,2,2,2
django__django-11141,3,4,2,2,4,4,4,2,3,3,1,2,3,3,2
matplotlib__matplotlib-24970,3,4,2,3,4,5,5,2,3,3,1,2,3,3,2
sympy__sympy-13798,2,4,2,2,3,4,4,1,3,3,1,2,2,2,2
scikit-learn__scikit-learn-26194,2,3,2,1,3,4,4,2,2,3,1,2,2,3,2
matplotlib__matplotlib-24570,2,4,1,2,3,4,4,2,2,4,1,1,3,3,2
sphinx-doc__sphinx-10673,3,3,3,4,4,5,4,2,4,3,1,3,2,2,3
django__django-14752,2,4,2,2,3,4,4,1,2,2,1,2,3,2,2
matplotlib__matplotlib-24177,4,5,2,4,4,4,4,4,3,3,0,1,3,3,3
django__django-16082,2,4,1,2,4,4,4,1,2,2,1,1,2,3,2
sympy__sympy-22456,4,3,1,2,4,4,4,1,3,3,0,2,2,1,2
django__django-13516,2,5,1,2,2,4,4,1,2,2,1,1,2,1,2
matplotlib__matplotlib-22871,3,5,2,3,4,4,4,2,3,2,1,2,1,3,2
matplotlib__matplotlib-23299,4,5,2,3,4,5,4,3,3,3,1,2,2,2,2
django__django-14007,4,4,2,4,4,4,4,1,3,3,1,3,1,2,3
django__django-16485,2,5,1,2,3,5,4,2,2,2,1,1,1,2,2
matplotlib__matplotlib-22719,2,4,1,2,3,5,4,3,2,2,1,2,3,2,2
django__django-16256,3,4,2,2,4,4,4,2,3,3,1,3,3,3,2
django__django-14011,4,4,3,4,4,5,4,2,4,3,1,3,3,3,5
django__django-15315,3,4,1,2,3,5,4,1,2,3,1,1,3,2,2
pytest-dev__pytest-6197,4,2,2,3,4,5,4,2,4,3,1,3,1,3,3
django__django-16493,3,4,2,2,4,4,5,1,2,2,1,2,3,3,2
django__django-14787,3,5,1,2,3,5,4,1,2,2,1,1,2,2,2
django__django-13279,3,5,2,3,4,4,4,1,3,3,1,2,2,3,2
django__django-12741,2,4,2,1,3,4,4,2,2,2,1,2,3,1,2
django__django-15987,2,4,1,2,3,4,4,2,2,2,1,1,2,3,2
sympy__sympy-13480,2,4,1,1,2,5,5,1,1,1,1,1,3,2,1
astropy__astropy-7166,2,4,1,2,2,4,4,2,2,2,1,2,3,2,2
sympy__sympy-17139,3,3,2,2,4,5,5,1,3,2,1,1,1,3,2
django__django-15467,2,4,1,1,3,4,5,1,2,2,1,1,3,2,2
django__django-15037,3,4,2,2,4,4,4,2,3,2,1,2,2,2,2
sphinx-doc__sphinx-7985,2,3,2,2,3,4,4,2,3,3,1,2,1,3,2
astropy__astropy-13579,4,4,1,2,4,4,4,2,3,2,1,2,3,2,2
pytest-dev__pytest-7324,4,3,2,3,3,5,4,1,3,2,1,2,3,3,2
sympy__sympy-13091,3,3,4,2,3,4,4,1,4,4,1,3,3,4,3
scikit-learn__scikit-learn-13496,2,4,2,2,3,4,4,2,2,2,1,1,3,1,2
pydata__xarray-4094,3,2,1,2,4,5,4,1,3,2,1,1,1,2,2
django__django-16877,2,4,1,2,3,4,4,1,2,2,1,1,2,3,2
matplotlib__matplotlib-25311,4,4,2,3,4,5,4,3,3,2,1,2,1,2,3
scikit-learn__scikit-learn-25232,2,3,2,2,3,4,4,2,2,2,1,2,2,1,2
pytest-dev__pytest-7236,4,3,2,4,4,5,4,2,3,3,1,2,1,4,3
pydata__xarray-3993,2,2,2,2,3,4,4,1,2,3,1,2,2,2,2
django__django-15563,4,5,2,4,4,5,4,2,4,3,0,4,3,2,3
sympy__sympy-13615,4,3,2,3,4,4,4,1,4,3,1,3,2,2,3
pydata__xarray-6744,3,2,2,3,4,4,4,1,3,3,1,2,2,4,3
sphinx-doc__sphinx-7454,3,3,1,2,3,4,4,2,2,2,1,1,2,2,2
matplotlib__matplotlib-23314,2,4,2,2,3,4,4,3,2,2,1,1,1,1,2
scikit-learn__scikit-learn-12585,4,4,1,2,3,5,5,2,2,2,1,1,3,2,2
pylint-dev__pylint-6903,2,4,1,2,2,5,4,1,2,2,1,1,3,3,2
django__django-12273,4,5,2,4,4,4,4,2,4,3,0,2,3,3,4
sympy__sympy-12481,2,3,1,2,3,4,4,1,2,3,1,1,2,2,2
django__django-10999,3,4,1,2,2,4,5,1,3,3,1,2,3,4,3
matplotlib__matplotlib-26291,4,4,2,4,4,5,4,3,3,2,1,1,3,2,2
django__django-15277,2,4,1,2,4,5,5,1,2,2,1,1,3,4,2
sympy__sympy-13551,4,4,1,2,4,5,4,2,3,3,1,2,3,1,2
sympy__sympy-22914,1,4,1,1,2,5,5,1,1,2,1,1,3,1,1
django__django-13012,3,5,1,2,4,5,5,2,2,2,1,1,3,2,2
django__django-11490,4,4,2,3,4,4,4,2,3,2,1,2,1,2,2
sphinx-doc__sphinx-7462,2,3,2,2,3,5,5,1,2,2,1,2,3,3,2
django__django-16569,2,4,1,1,3,5,5,1,2,1,1,1,3,2,2
django__django-16139,3,4,1,1,3,4,4,1,2,2,1,1,3,2,2
sympy__sympy-21379,4,4,2,4,4,5,4,1,4,2,0,2,3,2,3
sympy__sympy-12419,4,3,2,2,4,5,4,1,3,3,1,2,3,2,2
django__django-14915,2,4,1,2,3,5,4,1,2,2,1,1,3,2,2
sphinx-doc__sphinx-8056,2,3,2,2,4,4,4,2,3,2,1,2,2,2,2
sympy__sympy-17318,3,3,2,2,4,5,4,1,3,2,1,2,3,3,2
pylint-dev__pylint-7277,3,4,1,2,2,4,4,1,3,3,1,2,3,4,3
sympy__sympy-24213,3,4,1,2,4,5,4,2,3,3,1,1,1,2,2
matplotlib__matplotlib-25960,3,5,2,4,4,4,4,3,4,3,0,3,2,2,3
django__django-11740,3,4,2,2,4,5,4,1,3,2,1,2,3,2,2
sympy__sympy-20801,3,3,1,2,4,4,4,1,3,3,1,2,1,2,2
django__django-14493,2,4,1,1,3,5,5,1,2,1,1,1,3,3,2
django__django-14539,3,4,1,3,3,4,4,2,3,2,1,2,1,2,2
astropy__astropy-13236,3,4,2,2,4,4,4,3,2,3,0,2,3,3,2
pytest-dev__pytest-10081,3,3,2,3,4,5,4,2,3,2,1,2,1,3,2
django__django-17084,4,4,2,4,4,5,4,2,3,3,0,2,1,2,3
django__django-13028,4,4,2,2,4,5,4,2,2,2,1,1,3,2,2
pydata__xarray-6461,2,2,1,2,3,5,4,1,2,2,1,1,1,2,2
matplotlib__matplotlib-20488,3,4,2,3,4,5,4,2,3,2,1,2,1,4,3
pytest-dev__pytest-8399,2,3,2,1,3,5,4,1,2,2,1,1,3,3,2
matplotlib__matplotlib-20826,3,4,2,3,4,4,4,3,3,3,1,2,3,2,2
django__django-15851,2,4,1,1,2,5,5,1,2,2,1,1,3,1,1
sympy__sympy-19783,3,4,2,3,4,4,4,1,3,3,1,2,1,2,2
pytest-dev__pytest-5840,4,2,2,4,4,5,4,1,3,3,1,3,3,4,3
django__django-10097,2,4,2,2,4,4,4,2,3,3,1,2,2,4,2
sympy__sympy-22714,3,3,2,3,4,5,4,1,3,2,1,1,1,2,2
django__django-11239,2,4,1,1,3,4,4,1,2,2,1,1,2,3,2
django__django-15503,4,4,2,3,4,5,4,2,4,3,1,3,2,4,3
sympy__sympy-24443,3,4,1,2,4,5,4,2,3,2,1,3,2,2,2
django__django-15368,2,4,1,2,3,5,5,2,2,2,1,1,3,1,2
matplotlib__matplotlib-23476,4,4,2,2,4,5,4,4,3,2,1,1,2,2,2
django__django-15104,4,5,1,2,4,5,5,2,2,1,1,1,3,2,2
django__django-15554,4,4,2,4,4,4,4,2,4,3,0,4,1,2,3
django__django-13195,2,4,3,2,3,5,4,1,3,3,1,2,3,3,2
sympy__sympy-15349,2,3,1,2,4,4,4,1,2,3,1,1,2,2,2
scikit-learn__scikit-learn-25747,4,4,1,2,4,5,4,2,3,3,1,1,3,2,2
django__django-16801,2,5,1,2,4,4,4,2,3,2,1,2,3,2,2
django__django-14580,3,4,1,2,4,5,4,1,2,1,1,1,3,2,2
sympy__sympy-20154,2,4,1,2,2,4,4,1,2,3,1,2,2,3,2
pytest-dev__pytest-5787,4,2,2,4,4,5,4,1,3,3,1,4,1,4,3
django__django-13212,2,4,3,2,3,4,4,1,3,3,1,3,2,4,3
pylint-dev__pylint-4661,2,3,2,2,2,4,4,1,2,4,1,2,3,2,2
sphinx-doc__sphinx-10435,3,3,1,2,4,4,4,2,2,2,1,2,3,1,2
sympy__sympy-20590,3,4,2,2,3,5,4,1,2,3,1,1,3,2,2
django__django-16315,3,5,2,2,4,5,4,2,3,2,1,2,3,2,2
psf__requests-2317,2,2,1,1,3,4,4,1,2,2,1,1,3,2,2
django__django-14017,3,4,1,2,4,5,4,2,2,3,1,1,3,4,2
django__django-13551,2,5,2,2,3,4,4,2,2,3,1,2,3,4,2
matplotlib__matplotlib-26208,4,4,2,4,4,5,4,3,3,2,0,1,1,2,2
sympy__sympy-19346,1,3,1,2,2,4,5,1,2,2,1,2,2,4,2
django__django-15128,4,5,2,4,4,5,4,2,4,3,0,3,3,3,4
django__django-13121,4,4,3,4,4,5,4,1,4,3,1,4,1,2,3
scikit-learn__scikit-learn-10844,2,3,2,2,3,5,5,2,3,2,1,2,3,3,2
django__django-12419,1,4,1,1,2,4,4,1,1,4,1,1,2,1,1
django__django-13658,2,4,1,1,3,4,5,1,2,2,1,1,3,2,2
django__django-14349,2,4,2,2,2,5,4,1,2,3,1,2,2,4,2
sphinx-doc__sphinx-7910,3,3,1,2,3,5,4,2,2,2,1,2,3,2,2
django__django-11848,3,4,2,2,4,4,4,1,3,3,1,2,3,4,3
django__django-13033,4,5,2,4,4,5,4,2,3,3,1,2,3,2,3
sympy__sympy-15345,2,3,2,2,3,4,4,1,2,2,1,2,2,1,2
django__django-16661,4,4,2,4,4,4,4,1,4,3,0,3,2,3,3
django__django-12858,3,5,2,3,4,5,4,2,3,2,1,2,1,2,2
scikit-learn__scikit-learn-25931,3,4,2,2,4,5,4,2,3,2,1,2,3,2,2
mwaskom__seaborn-3069,3,2,2,3,4,4,4,1,3,3,0,2,2,2,2
scikit-learn__scikit-learn-11310,2,3,2,2,3,4,4,2,2,2,1,2,2,2,2
sympy__sympy-18189,2,4,1,1,3,4,4,1,2,2,1,1,3,2,2
django__django-12663,4,4,2,4,4,5,4,2,3,3,0,2,3,2,2
scikit-learn__scikit-learn-10297,2,4,2,2,3,5,4,4,2,2,1,1,2,2,2
pylint-dev__pylint-6386,3,4,3,3,3,5,4,2,3,3,1,3,1,2,2
django__django-14534,2,5,1,1,3,4,5,1,2,2,1,1,3,2,2
django__django-14373,1,4,1,1,2,4,5,1,2,2,1,1,2,3,1
django__django-15098,3,4,1,2,4,4,4,2,3,3,1,1,1,4,2
sympy__sympy-23534,3,4,1,2,3,4,4,1,2,2,1,1,2,2,2
django__django-14631,3,4,2,3,4,4,4,1,3,3,0,3,3,3,3
django__django-11433,3,4,1,2,4,4,4,1,3,3,1,2,2,4,2
psf__requests-1921,2,2,1,2,3,4,4,1,2,3,1,2,2,2,2
django__django-16899,2,4,2,2,3,5,5,1,2,2,1,1,2,2,1
psf__requests-2931,3,2,2,2,3,4,5,1,3,3,1,2,1,2,2
astropy__astropy-14182,3,4,2,3,4,5,4,2,3,3,1,3,2,2,3
django__django-12209,3,5,2,4,4,4,4,2,3,3,1,1,3,2,3
django__django-11999,3,4,2,4,4,4,4,2,3,3,1,2,3,2,2
sympy__sympy-15017,2,3,1,2,3,4,4,1,2,3,1,1,2,3,2
sphinx-doc__sphinx-10614,3,4,2,3,4,4,4,2,4,3,1,2,2,4,3
scikit-learn__scikit-learn-13439,1,3,1,1,2,4,5,2,1,2,1,1,2,1,1
sympy__sympy-13878,3,4,2,2,4,5,4,2,3,3,1,4,3,4,3
sphinx-doc__sphinx-11510,4,3,2,4,4,4,4,2,4,3,0,4,3,3,3
django__django-14559,2,4,2,2,3,4,4,2,3,3,1,2,3,4,2
django__django-13964,4,4,2,3,4,5,4,2,3,3,1,1,3,2,2
django__django-14608,2,4,2,2,3,4,4,1,2,2,1,1,2,3,2
django__django-13821,1,4,1,1,2,4,4,1,1,4,1,1,2,3,1
django__django-14034,3,4,2,3,4,4,4,1,3,3,1,2,3,3,2
pydata__xarray-6992,4,2,3,4,4,5,4,1,4,4,0,4,1,4,4
django__django-16662,2,5,1,2,2,4,4,1,2,2,1,1,2,2,2
django__django-13933,2,4,1,2,3,4,5,1,2,2,1,1,3,2,2
sphinx-doc__sphinx-7440,2,3,2,2,3,5,4,2,2,3,1,2,1,2,2
pytest-dev__pytest-7432,3,3,1,2,4,5,5,2,3,2,1,1,2,2,2
scikit-learn__scikit-learn-14629,2,3,2,2,3,5,4,2,2,2,1,2,3,2,2
sympy__sympy-23262,2,4,1,2,2,5,4,1,2,2,1,1,2,2,2
django__django-13925,3,4,2,3,4,5,4,2,3,2,1,2,2,4,2
astropy__astropy-13453,2,4,2,2,4,4,4,3,2,2,1,2,3,2,2
sympy__sympy-21930,2,4,2,2,3,4,4,1,2,3,1,1,3,2,2
sympy__sympy-24661,2,3,1,2,3,4,4,2,2,2,1,2,3,2,2
sphinx-doc__sphinx-8035,3,3,2,3,4,4,4,2,3,3,1,3,2,2,3
django__django-14999,2,4,2,2,4,4,4,2,2,2,1,2,2,2,2
scikit-learn__scikit-learn-11578,2,3,2,2,4,5,5,2,3,2,1,1,3,3,2
django__django-13837,3,4,2,2,3,4,4,1,3,3,1,2,3,3,2
scikit-learn__scikit-learn-9288,3,3,2,2,4,4,4,4,3,3,1,2,3,1,2
pydata__xarray-7229,4,3,2,4,4,4,4,1,4,3,1,3,3,4,3
scikit-learn__scikit-learn-13142,3,3,2,2,4,5,5,3,3,2,1,2,3,2,2
scikit-learn__scikit-learn-25973,3,3,2,3,4,5,4,2,3,2,1,2,3,2,2
sphinx-doc__sphinx-9673,2,3,1,2,3,4,4,1,2,2,1,1,2,2,2
django__django-15561,3,5,2,2,4,4,4,2,3,3,1,2,3,2,3
sphinx-doc__sphinx-9258,2,4,1,2,3,4,4,2,2,2,1,1,2,2,2
scikit-learn__scikit-learn-12682,2,4,2,2,3,4,4,3,3,3,1,3,3,2,2
django__django-11133,2,4,1,2,2,4,5,1,2,2,1,1,3,1,1
django__django-11099,2,4,1,1,2,4,4,1,2,2,1,1,3,3,1
pylint-dev__pylint-4551,3,3,3,4,4,4,4,2,3,3,1,4,1,4,3
sphinx-doc__sphinx-8721,2,3,1,2,3,4,4,2,2,2,1,2,2,3,2
sympy__sympy-16792,4,4,1,2,4,5,4,2,3,2,1,2,2,2,2
sympy__sympy-18763,2,4,1,2,3,4,4,1,2,3,1,1,2,2,2
django__django-12965,3,4,2,3,4,4,4,2,3,3,1,2,2,2,2
django__django-15127,2,4,2,2,4,4,4,1,2,2,1,2,3,2,2
matplotlib__matplotlib-26342,2,5,1,1,2,4,4,4,2,2,1,1,3,1,2
sympy__sympy-23413,4,4,2,3,4,4,4,1,4,3,1,2,1,3,3
django__django-15629,4,5,3,4,4,4,4,2,4,3,1,4,3,3,4
pydata__xarray-7233,3,2,2,3,4,4,4,2,3,3,1,2,1,3,2
astropy__astropy-14508,2,4,1,2,3,5,4,3,2,3,1,2,3,2,2
django__django-15916,3,4,2,2,4,4,4,2,3,3,1,2,2,2,2
matplotlib__matplotlib-25775,3,4,3,3,4,4,4,3,3,3,1,3,3,3,3
django__django-14311,3,4,1,2,3,4,5,1,3,3,1,2,3,3,2
sphinx-doc__sphinx-9281,2,3,1,2,2,4,4,1,2,3,1,2,3,1,2
pydata__xarray-3677,2,3,1,2,3,5,4,2,2,2,1,1,2,1,2
sympy__sympy-19040,3,4,1,2,4,4,4,1,2,2,1,1,3,2,2
django__django-13315,4,4,2,4,4,4,4,2,4,3,1,3,1,3,4
sympy__sympy-15599,3,3,2,4,4,4,4,1,4,4,1,4,3,3,3
pytest-dev__pytest-7982,2,3,1,1,3,4,5,1,2,3,1,1,3,1,2
django__django-11451,2,5,1,1,3,5,5,1,2,2,1,1,3,4,2
sympy__sympy-15976,3,3,1,2,4,4,4,1,3,3,1,2,3,4,2
django__django-15957,4,4,2,4,5,5,4,2,4,3,0,4,2,3,4
django__django-12050,3,4,1,2,4,4,5,1,3,3,1,2,2,1,2
django__django-15280,4,4,2,4,4,5,4,2,4,3,0,2,2,2,3
pytest-dev__pytest-7490,3,3,2,3,4,5,4,1,3,3,1,3,1,3,2
django__django-13568,3,4,2,2,4,5,4,2,3,2,1,2,2,4,2
django__django-11555,4,5,2,3,4,4,4,2,3,2,1,2,2,2,2
scikit-learn__scikit-learn-13135,2,3,2,2,3,5,4,2,2,2,1,1,2,3,2
django__django-13513,4,4,2,2,4,4,5,1,4,3,1,3,3,4,3
django__django-10554,4,4,2,4,4,5,4,2,4,3,1,3,1,4,3
pydata__xarray-4075,3,3,1,1,3,5,5,1,2,2,1,2,3,2,2
matplotlib__matplotlib-24627,2,5,1,2,4,4,4,3,2,3,1,2,2,2,2
django__django-13401,3,4,2,2,4,4,4,2,4,3,1,3,3,3,3
astropy__astropy-13977,4,4,2,4,5,5,4,3,4,3,1,4,3,4,4
django__django-11095,2,4,2,2,3,3,4,1,2,2,1,2,3,2,2
django__django-12713,2,4,1,2,3,3,4,1,2,2,1,2,2,2,2
django__django-13417,2,4,2,2,4,4,4,2,3,2,1,2,2,3,2
sympy__sympy-13031,4,4,2,3,4,4,4,1,3,3,1,2,3,3,2
sympy__sympy-15809,2,3,1,1,3,5,4,1,2,3,1,1,2,2,2
sympy__sympy-13877,4,4,2,4,4,5,4,2,4,3,0,3,3,3,3
django__django-13786,3,4,2,2,4,4,4,2,3,2,1,2,3,3,2
django__django-16642,2,4,1,2,2,4,4,1,2,2,1,1,2,2,2
pytest-dev__pytest-6202,3,2,1,1,3,5,5,1,2,2,1,1,3,2,2
django__django-11885,4,4,3,4,4,4,4,2,4,3,1,4,2,2,3
sphinx-doc__sphinx-7748,4,3,2,3,4,4,4,2,3,3,1,3,1,2,3
matplotlib__matplotlib-24149,3,4,2,2,3,5,4,3,2,2,1,2,3,3,2
django__django-15741,2,5,2,2,3,5,4,1,2,2,1,1,2,2,2
django__django-14500,3,4,2,2,4,4,4,2,3,3,1,2,2,2,2
scikit-learn__scikit-learn-25102,4,4,3,4,4,4,4,3,4,3,0,3,2,3,3
sympy__sympy-20438,3,4,3,4,4,5,4,1,4,3,1,3,1,4,3
sympy__sympy-16766,1,4,1,1,2,5,4,1,2,2,1,1,3,1,1
django__django-13512,2,4,2,2,3,4,4,1,2,2,1,1,3,3,2
astropy__astropy-7606,2,4,2,2,3,5,5,3,3,3,1,2,1,3,2
sympy__sympy-14976,2,3,2,2,4,5,4,2,2,2,1,2,2,2,2
django__django-14238,3,4,2,2,4,5,4,2,2,2,1,1,3,3,2
django__django-10914,2,4,1,2,2,4,4,1,2,4,1,1,3,1,1
django__django-14404,2,4,1,2,3,4,4,2,2,2,1,2,3,3,2
psf__requests-6028,3,2,2,3,4,4,4,1,3,3,1,1,3,2,2
django__django-13569,4,4,2,4,4,5,4,1,3,3,1,2,3,2,3
pylint-dev__pylint-4970,2,3,1,2,2,4,4,2,2,2,1,1,2,3,1
matplotlib__matplotlib-24870,3,4,2,3,4,4,4,3,3,3,1,3,3,3,3
matplotlib__matplotlib-25332,4,5,2,4,4,5,4,3,3,3,1,2,1,2,2
sphinx-doc__sphinx-8595,2,3,1,2,3,4,5,1,2,2,1,1,2,2,2
scikit-learn__scikit-learn-12973,2,3,1,1,3,4,4,2,2,3,1,2,3,2,2
django__django-17087,3,5,1,1,3,4,4,2,2,2,1,1,3,2,2
django__django-14351,4,4,2,4,4,5,4,2,4,3,0,3,2,2,3
sympy__sympy-19954,3,3,2,3,4,5,4,2,3,2,1,2,1,2,2
django__django-16100,2,4,2,2,3,4,4,2,2,3,1,2,2,4,2
django__django-12143,2,4,1,1,3,4,5,1,2,1,1,1,3,2,2
django__django-16950,4,4,2,3,4,5,4,2,4,3,1,2,3,4,3
sphinx-doc__sphinx-10323,3,3,1,2,3,5,4,2,3,2,1,1,2,2,2
django__django-12155,2,4,2,2,2,5,5,1,2,3,1,2,3,3,2
django__django-16116,2,4,1,2,3,4,4,2,2,3,1,2,2,2,2
django__django-13590,3,4,1,2,3,5,5,1,2,2,1,2,3,2,2
django__django-17029,2,4,1,2,3,4,5,1,2,1,1,1,3,2,2
sympy__sympy-22080,4,4,2,3,4,5,4,1,4,3,1,3,2,3,3
django__django-15278,3,5,2,2,4,5,4,2,3,3,1,2,1,2,2
django__django-16454,3,5,2,2,3,5,4,2,3,2,1,2,2,4,2
django__django-13343,3,4,2,2,3,4,4,2,2,2,1,2,2,2,2
django__django-16136,2,4,2,2,3,5,4,1,2,2,1,2,3,3,2
django__django-13158,4,4,2,4,4,4,4,1,3,3,1,2,1,2,2
pylint-dev__pylint-8898,3,4,2,2,3,5,4,1,3,3,1,2,3,4,2
sympy__sympy-24066,3,3,2,3,4,5,4,1,3,3,1,2,1,2,2
django__django-14672,3,4,1,2,4,5,5,2,2,1,1,1,3,3,2
sympy__sympy-23824,2,4,1,1,4,5,5,1,2,2,1,1,3,2,2
django__django-13363,2,4,1,1,3,4,5,1,2,2,1,1,3,2,2
scikit-learn__scikit-learn-14983,2,3,2,2,3,5,4,2,2,2,1,2,3,1,2
